Batch	scan001
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	04/02/2025
Time Collected	11:28:23
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	1.528
208.0	1.445
208.5	1.388
209.0	1.339
209.5	1.289
210.0	1.243
210.5	1.204
211.0	1.170
211.5	1.139
212.0	1.107
212.5	1.075
213.0	1.044
213.5	1.015
214.0	0.989
214.5	0.964
215.0	0.940
215.5	0.917
216.0	0.895
216.5	0.875
217.0	0.854
217.5	0.834
218.0	0.814
218.5	0.795
219.0	0.777
219.5	0.759
220.0	0.741
220.5	0.725
221.0	0.708
221.5	0.692
222.0	0.676
222.5	0.661
223.0	0.647
223.5	0.634
224.0	0.621
224.5	0.608
225.0	0.596
225.5	0.584
226.0	0.574
226.5	0.565
227.0	0.556
227.5	0.548
228.0	0.540
228.5	0.533
229.0	0.526
229.5	0.519
230.0	0.513
230.5	0.506
231.0	0.500
231.5	0.494
232.0	0.489
232.5	0.483
233.0	0.477
233.5	0.472
234.0	0.467
234.5	0.461
235.0	0.456
235.5	0.451
236.0	0.446
236.5	0.442
237.0	0.438
237.5	0.434
238.0	0.431
238.5	0.427
239.0	0.424
239.5	0.421
240.0	0.418
240.5	0.415
241.0	0.413
241.5	0.411
242.0	0.409
242.5	0.407
243.0	0.405
243.5	0.403
244.0	0.402
244.5	0.401
245.0	0.400
245.5	0.399
246.0	0.398
246.5	0.397
247.0	0.397
247.5	0.396
248.0	0.396
248.5	0.395
249.0	0.395
249.5	0.395
250.0	0.395
250.5	0.395
251.0	0.395
251.5	0.395
252.0	0.395
252.5	0.394
253.0	0.394
253.5	0.394
254.0	0.395
254.5	0.396
255.0	0.397
255.5	0.399
256.0	0.400
256.5	0.401
257.0	0.402
257.5	0.404
258.0	0.406
258.5	0.408
259.0	0.409
259.5	0.411
260.0	0.413
260.5	0.415
261.0	0.417
261.5	0.420
262.0	0.423
262.5	0.426
263.0	0.429
263.5	0.432
264.0	0.434
264.5	0.437
265.0	0.439
265.5	0.441
266.0	0.443
266.5	0.445
267.0	0.446
267.5	0.447
268.0	0.449
268.5	0.452
269.0	0.454
269.5	0.457
270.0	0.459
270.5	0.461
271.0	0.462
271.5	0.463
272.0	0.464
272.5	0.465
273.0	0.466
273.5	0.467
274.0	0.467
274.5	0.466
275.0	0.465
275.5	0.464
276.0	0.464
276.5	0.464
277.0	0.464
277.5	0.464
278.0	0.463
278.5	0.462
279.0	0.461
279.5	0.460
280.0	0.458
280.5	0.456
281.0	0.455
281.5	0.454
282.0	0.452
282.5	0.450
283.0	0.447
283.5	0.444
284.0	0.441
284.5	0.439
285.0	0.436
285.5	0.433
286.0	0.430
286.5	0.426
287.0	0.423
287.5	0.419
288.0	0.415
288.5	0.412
289.0	0.409
289.5	0.406
290.0	0.404
290.5	0.401
291.0	0.397
291.5	0.395
292.0	0.393
292.5	0.390
293.0	0.387
293.5	0.384
294.0	0.380
294.5	0.378
295.0	0.376
295.5	0.376
296.0	0.374
296.5	0.372
297.0	0.370
297.5	0.368
298.0	0.367
298.5	0.365
299.0	0.363
299.5	0.361
300.0	0.360
300.5	0.360
301.0	0.359
301.5	0.358
302.0	0.357
302.5	0.356
303.0	0.355
303.5	0.355
304.0	0.354
304.5	0.353
305.0	0.353
305.5	0.353
306.0	0.353
306.5	0.353
307.0	0.354
307.5	0.354
308.0	0.355
308.5	0.356
309.0	0.356
309.5	0.356
310.0	0.356
310.5	0.355
311.0	0.355
311.5	0.355
312.0	0.355
312.5	0.356
313.0	0.358
313.5	0.359
314.0	0.359
314.5	0.358
315.0	0.357
315.5	0.357
316.0	0.358
316.5	0.360
317.0	0.361
317.5	0.362
318.0	0.362
318.5	0.362
319.0	0.362
319.5	0.362
320.0	0.363
320.5	0.363
321.0	0.363
321.5	0.363
322.0	0.362
322.5	0.362
323.0	0.362
323.5	0.361
324.0	0.360
324.5	0.359
325.0	0.358
325.5	0.357
326.0	0.356
326.5	0.354
327.0	0.352
327.5	0.350
328.0	0.349
328.5	0.347
329.0	0.345
329.5	0.343
330.0	0.341
330.5	0.339
331.0	0.338
331.5	0.336
332.0	0.334
332.5	0.331
333.0	0.328
333.5	0.326
334.0	0.323
334.5	0.320
335.0	0.316
335.5	0.312
336.0	0.309
336.5	0.306
337.0	0.302
337.5	0.300
338.0	0.296
338.5	0.294
339.0	0.292
339.5	0.292
340.0	0.292
340.5	0.292
341.0	0.288
341.5	0.280
342.0	0.271
342.5	0.264
343.0	0.261
343.5	0.260
344.0	0.258
344.5	0.253
345.0	0.248
345.5	0.246
346.0	0.246
346.5	0.245
347.0	0.242
347.5	0.236
348.0	0.228
348.5	0.219
349.0	0.213
349.5	0.209
350.0	0.208
350.5	0.206
351.0	0.202
351.5	0.198
352.0	0.196
352.5	0.198
353.0	0.200
353.5	0.200
354.0	0.196
354.5	0.188
355.0	0.180
355.5	0.172
356.0	0.165
356.5	0.161
357.0	0.161
357.5	0.162
358.0	0.160
358.5	0.157
359.0	0.153
359.5	0.151
360.0	0.150
360.5	0.150
361.0	0.149
361.5	0.144
362.0	0.138
362.5	0.131
363.0	0.128
363.5	0.131
364.0	0.140
364.5	0.146
365.0	0.147
365.5	0.141
366.0	0.133
366.5	0.127
367.0	0.124
367.5	0.125
368.0	0.128
368.5	0.130
369.0	0.129
369.5	0.123
370.0	0.118
370.5	0.116
371.0	0.116
371.5	0.116
372.0	0.117
