nm,A
200.0,
200.5,
201.0,
201.5,
202.0,
202.5,
203.0,
203.5,
204.0,
204.5,
205.0,
205.5,
206.0,
206.5,
207.0,
207.5,
208.0,
208.5,
209.0,
209.5,
210.0,
210.5,
211.0,
211.5,
212.0,
212.5,
213.0,
213.5,
214.0,
214.5,
215.0,
215.5,
216.0,
216.5,
217.0,1.913
217.5,1.852
218.0,1.797
218.5,1.748
219.0,1.704
219.5,1.661
220.0,1.619
220.5,1.578
221.0,1.539
221.5,1.502
222.0,1.468
222.5,1.435
223.0,1.405
223.5,1.377
224.0,1.35
224.5,1.323
225.0,1.297
225.5,1.272
226.0,1.25
226.5,1.23
227.0,1.21
227.5,1.192
228.0,1.175
228.5,1.158
229.0,1.142
229.5,1.127
230.0,1.113
230.5,1.098
231.0,1.084
231.5,1.07
232.0,1.055
232.5,1.041
233.0,1.027
233.5,1.014
234.0,1.001
234.5,0.989
235.0,0.977
235.5,0.965
236.0,0.954
236.5,0.943
237.0,0.933
237.5,0.923
238.0,0.914
238.5,0.905
239.0,0.898
239.5,0.89
240.0,0.884
240.5,0.877
241.0,0.871
241.5,0.865
242.0,0.859
242.5,0.855
243.0,0.851
243.5,0.847
244.0,0.843
244.5,0.84
245.0,0.837
245.5,0.834
246.0,0.832
246.5,0.83
247.0,0.828
247.5,0.827
248.0,0.826
248.5,0.826
249.0,0.825
249.5,0.825
250.0,0.825
250.5,0.825
251.0,0.825
251.5,0.825
252.0,0.825
252.5,0.826
253.0,0.826
253.5,0.827
254.0,0.829
254.5,0.831
255.0,0.834
255.5,0.837
256.0,0.84
256.5,0.843
257.0,0.846
257.5,0.85
258.0,0.853
258.5,0.857
259.0,0.86
259.5,0.863
260.0,0.866
260.5,0.87
261.0,0.875
261.5,0.881
262.0,0.887
262.5,0.893
263.0,0.898
263.5,0.903
264.0,0.908
264.5,0.913
265.0,0.917
265.5,0.921
266.0,0.924
266.5,0.926
267.0,0.929
267.5,0.932
268.0,0.935
268.5,0.938
269.0,0.941
269.5,0.944
270.0,0.947
270.5,0.95
271.0,0.951
271.5,0.952
272.0,0.953
272.5,0.953
273.0,0.952
273.5,0.951
274.0,0.949
274.5,0.947
275.0,0.944
275.5,0.941
276.0,0.938
276.5,0.936
277.0,0.933
277.5,0.93
278.0,0.926
278.5,0.922
279.0,0.918
279.5,0.915
280.0,0.91
280.5,0.906
281.0,0.9
281.5,0.895
282.0,0.889
282.5,0.883
283.0,0.877
283.5,0.87
284.0,0.862
284.5,0.855
285.0,0.848
285.5,0.842
286.0,0.835
286.5,0.828
287.0,0.82
287.5,0.813
288.0,0.805
288.5,0.797
289.0,0.79
289.5,0.783
290.0,0.776
290.5,0.769
291.0,0.762
291.5,0.756
292.0,0.75
292.5,0.746
293.0,0.741
293.5,0.736
294.0,0.731
294.5,0.727
295.0,0.722
295.5,0.718
296.0,0.714
296.5,0.71
297.0,0.707
297.5,0.704
298.0,0.702
298.5,0.699
299.0,0.696
299.5,0.693
300.0,0.691
300.5,0.689
301.0,0.687
301.5,0.686
302.0,0.684
302.5,0.682
303.0,0.681
303.5,0.681
304.0,0.68
304.5,0.679
305.0,0.677
305.5,0.676
306.0,0.675
306.5,0.674
307.0,0.673
307.5,0.672
308.0,0.671
308.5,0.671
