nm,15,Mh
200.0,0.0,0
200.5,0.0,0
201.0,0.0,0
201.5,0.0,0
202.0,0.0,0
202.5,0.0,0
203.0,0.0,0
203.5,0.0,0
204.0,0.0,0
204.5,0.0,0
205.0,0.0,0
205.5,0.0,0
206.0,0.0,0
206.5,0.0,0
207.0,0.0,0
207.5,0.0,0
208.0,0.0,0
208.5,0.0,0
209.0,0.0,0
209.5,0.0,0
210.0,0.0,0
210.5,0.0,0
211.0,0.0,0
211.5,0.0,0
212.0,0.0,0
212.5,0.0,0
213.0,0.0,0
213.5,0.0,0
214.0,0.0,0
214.5,1.519,1.451
215.0,1.461,1.404
215.5,1.408,1.361
216.0,1.363,1.322
216.5,1.323,1.286
217.0,1.287,1.251
217.5,1.253,1.219
218.0,1.22,1.188
218.5,1.188,1.159
219.0,1.158,1.131
219.5,1.131,1.105
220.0,1.105,1.08
220.5,1.08,1.057
221.0,1.057,1.035
221.5,1.034,1.013
222.0,1.013,0.993
222.5,0.993,0.973
223.0,0.973,0.955
223.5,0.955,0.938
224.0,0.938,0.921
224.5,0.921,0.905
225.0,0.905,0.89
225.5,0.89,0.875
226.0,0.876,0.861
226.5,0.863,0.849
227.0,0.85,0.837
227.5,0.839,0.826
228.0,0.828,0.816
228.5,0.817,0.805
229.0,0.808,0.796
229.5,0.798,0.786
230.0,0.788,0.778
230.5,0.779,0.769
231.0,0.769,0.76
231.5,0.76,0.751
232.0,0.751,0.742
232.5,0.741,0.733
233.0,0.732,0.725
233.5,0.723,0.716
234.0,0.715,0.707
234.5,0.706,0.699
235.0,0.697,0.691
235.5,0.689,0.683
236.0,0.681,0.676
236.5,0.674,0.668
237.0,0.666,0.661
237.5,0.659,0.654
238.0,0.653,0.648
238.5,0.646,0.641
239.0,0.64,0.636
239.5,0.635,0.63
240.0,0.63,0.626
240.5,0.626,0.621
241.0,0.621,0.617
241.5,0.617,0.613
242.0,0.613,0.609
242.5,0.61,0.606
243.0,0.607,0.603
243.5,0.605,0.601
244.0,0.602,0.599
244.5,0.6,0.597
245.0,0.599,0.596
245.5,0.598,0.594
246.0,0.598,0.594
246.5,0.597,0.593
247.0,0.597,0.593
247.5,0.597,0.593
248.0,0.597,0.593
248.5,0.598,0.594
249.0,0.599,0.594
249.5,0.6,0.595
250.0,0.601,0.596
250.5,0.603,0.597
251.0,0.604,0.598
251.5,0.605,0.599
252.0,0.607,0.6
252.5,0.609,0.602
253.0,0.611,0.603
253.5,0.614,0.605
254.0,0.616,0.607
254.5,0.619,0.61
255.0,0.622,0.612
255.5,0.626,0.615
256.0,0.629,0.619
256.5,0.633,0.622
257.0,0.636,0.625
257.5,0.64,0.628
258.0,0.644,0.631
258.5,0.648,0.634
259.0,0.652,0.637
259.5,0.656,0.641
260.0,0.66,0.645
260.5,0.665,0.649
261.0,0.669,0.653
261.5,0.673,0.658
262.0,0.678,0.662
262.5,0.682,0.666
263.0,0.687,0.669
263.5,0.691,0.673
264.0,0.694,0.677
264.5,0.697,0.68
265.0,0.698,0.682
265.5,0.7,0.684
266.0,0.701,0.685
266.5,0.703,0.687
267.0,0.704,0.688
267.5,0.706,0.689
268.0,0.707,0.69
268.5,0.707,0.692
269.0,0.709,0.693
269.5,0.71,0.695
270.0,0.712,0.696
270.5,0.713,0.697
271.0,0.713,0.697
271.5,0.712,0.696
272.0,0.71,0.694
272.5,0.706,0.692
273.0,0.702,0.689
273.5,0.698,0.686
274.0,0.694,0.682
274.5,0.689,0.678
275.0,0.685,0.674
275.5,0.68,0.669
276.0,0.675,0.665
276.5,0.67,0.661
277.0,0.665,0.657
277.5,0.66,0.653
278.0,0.656,0.648
278.5,0.651,0.644
279.0,0.647,0.64
279.5,0.642,0.636
280.0,0.637,0.632
280.5,0.633,0.628
281.0,0.628,0.624
281.5,0.624,0.619
282.0,0.619,0.614
282.5,0.613,0.608
283.0,0.608,0.603
283.5,0.602,0.599
284.0,0.596,0.594
284.5,0.589,0.589
285.0,0.584,0.584
