nm,15,Mh
390.0,0.0,0.0
391.0,0.0,0.0
392.0,0.0,0.0
393.0,0.0,0.0
394.0,75.654,73.456
395.0,75.661,75.632
396.0,76.301,78.385
397.0,76.991,78.387
398.0,76.758,76.559
399.0,77.756,75.027
400.0,79.461,73.966
401.0,78.852,74.849
402.0,76.472,77.606
403.0,74.194,78.215
404.0,74.557,74.679
405.0,77.812,71.931
406.0,78.057,73.587
407.0,74.673,74.989
408.0,74.606,73.722
409.0,76.539,72.975
410.0,75.406,73.059
411.0,74.587,73.492
412.0,75.602,73.356
413.0,75.339,71.006
414.0,74.051,69.718
415.0,73.767,71.668
416.0,74.832,73.808
417.0,74.663,74.441
418.0,73.044,73.729
419.0,72.718,72.621
420.0,73.041,73.255
421.0,73.163,73.82
422.0,73.999,72.34
423.0,73.821,72.004
424.0,71.044,72.736
425.0,69.89,72.978
426.0,72.725,74.092
427.0,74.57,75.226
428.0,74.129,75.091
429.0,74.517,73.993
430.0,73.71,73.349
431.0,70.983,73.777
432.0,71.354,74.271
433.0,74.12,75.38
434.0,74.993,76.742
435.0,74.742,76.299
436.0,73.975,74.512
437.0,72.816,73.327
438.0,73.06,73.038
439.0,74.171,73.415
440.0,74.536,74.367
441.0,73.784,74.941
442.0,72.451,74.897
443.0,72.218,74.38
444.0,73.557,73.599
445.0,74.669,74.017
446.0,74.67,75.742
447.0,74.563,77.325
448.0,75.03,77.887
449.0,75.394,77.295
450.0,74.67,77.132
451.0,73.81,78.041
452.0,74.973,77.952
453.0,76.798,77.011
454.0,76.297,76.971
455.0,74.548,77.408
456.0,73.816,77.702
457.0,73.977,77.554
458.0,74.41,77.04
459.0,75.069,77.143
460.0,75.946,77.606
461.0,76.76,77.519
462.0,77.283,77.342
463.0,77.575,78.007
464.0,77.232,79.2
465.0,76.376,79.448
466.0,76.415,78.583
467.0,77.331,78.288
468.0,77.692,79.378
469.0,77.534,80.601
470.0,77.601,80.408
471.0,78.15,79.786
472.0,79.187,80.491
473.0,79.483,81.213
474.0,78.42,80.686
475.0,77.791,80.1
476.0,78.392,80.31
477.0,78.74,81.177
478.0,78.278,81.892
479.0,78.193,81.453
480.0,78.9,80.509
481.0,79.491,80.78
482.0,79.442,81.652
483.0,79.414,81.396
484.0,79.61,81.35
485.0,79.397,82.499
486.0,79.155,82.767
487.0,79.434,81.992
488.0,80.374,82.206
489.0,81.33,83.345
490.0,81.244,83.936
491.0,80.886,83.45
492.0,81.136,82.566
493.0,81.303,82.297
494.0,81.087,82.847
495.0,80.998,83.948
496.0,81.128,84.584
497.0,81.293,83.882
498.0,81.682,83.255
499.0,82.352,83.929
500.0,82.47,84.994
501.0,82.054,85.134
502.0,82.375,84.496
503.0,82.995,84.655
504.0,82.897,85.535
505.0,82.817,85.713
506.0,83.132,85.135
507.0,83.131,84.798
508.0,82.944,85.293
509.0,83.041,85.681
510.0,83.063,85.296
511.0,82.977,85.183
512.0,83.268,85.587
513.0,83.665,85.718
514.0,83.616,85.824
515.0,83.637,86.265
516.0,84.081,86.254
517.0,84.145,85.773
518.0,83.932,85.923
519.0,84.009,86.413
520.0,83.922,86.149
521.0,83.99,85.404
522.0,84.542,85.347
523.0,84.595,86.049
524.0,84.16,86.431
525.0,84.251,86.417
526.0,84.82,86.62
527.0,85.048,86.934
528.0,84.848,87.026
529.0,84.937,86.953
530.0,85.155,87.124
531.0,84.96,87.281
532.0,84.89,86.946
533.0,85.236,86.871
534.0,85.573,87.422
535.0,85.593,87.831
536.0,85.612,87.706
537.0,85.976,87.251
538.0,86.189,87.083
539.0,86.255,87.471
540.0,86.241,87.972
541.0,85.796,88.336
542.0,85.575,88.244
543.0,85.652,87.752
544.0,85.631,87.778
545.0,86.032,88.243
546.0,86.371,88.191
547.0,86.053,87.751
548.0,85.829,87.757
549.0,85.931,88.379
550.0,86.329,88.918
551.0,87.041,88.764
552.0,87.377,88.399
553.0,87.209,88.443
554.0,86.784,88.687
555.0,86.243,88.796
556.0,86.341,88.624
557.0,87.063,88.711
558.0,87.227,89.357
559.0,86.773,89.72
560.0,86.675,89.895
561.0,86.873,90.189
562.0,87.02,89.792
563.0,87.368,89.173
564.0,87.846,89.603
565.0,88.016,90.251
566.0,87.602,90.224
567.0,87.106,90.193
568.0,87.262,89.793
569.0,87.648,89.272
570.0,87.574,89.825
571.0,87.526,90.231
572.0,87.906,89.956
573.0,87.976,90.08
574.0,87.086,90.048
575.0,86.146,89.59
576.0,86.844,89.563
577.0,88.239,90.115
578.0,88.06,90.795
579.0,87.156,90.945
580.0,87.083,90.634
581.0,87.366,90.618
582.0,87.673,90.678
583.0,87.99,90.422
584.0,88.015,90.242
585.0,87.951,90.258
586.0,87.965,90.252
587.0,87.877,90.225
588.0,87.809,90.258
589.0,87.862,90.397
590.0,87.908,90.572
591.0,88.013,90.534
592.0,88.05,90.315
593.0,87.792,90.274
594.0,87.623,90.611
595.0,87.777,91.134
596.0,88.053,91.254
597.0,88.477,90.916
598.0,88.586,90.673
599.0,88.148,90.668
600.0,88.081,90.89
601.0,88.373,91.191
602.0,88.37,91.172
603.0,88.401,90.832
604.0,88.54,90.657
605.0,88.517,90.912
606.0,88.511,91.027
607.0,88.627,90.646
608.0,88.577,90.422
609.0,88.24,90.665
610.0,88.201,90.929
611.0,88.673,91.056
612.0,89.016,91.152
613.0,88.99,91.135
614.0,88.888,90.88
615.0,88.749,90.592
616.0,88.557,90.775
617.0,88.582,91.132
618.0,88.757,91.049
619.0,88.719,91.025
620.0,88.549,91.443
621.0,88.603,91.843
622.0,88.796,91.877
623.0,88.922,91.516
624.0,89.176,91.119
625.0,89.309,91.045
626.0,88.997,91.053
627.0,88.755,91.071
628.0,88.952,91.414
629.0,89.232,91.717
630.0,89.185,91.47
631.0,88.943,91.104
632.0,89.016,91.315
633.0,89.329,91.884
634.0,89.276,92.052
635.0,88.972,91.758
636.0,89.018,91.486
637.0,89.356,91.423
638.0,89.459,91.542
639.0,89.203,91.706
640.0,89.038,91.608
641.0,89.176,91.4
642.0,89.22,91.554
643.0,89.065,91.869
644.0,89.112,91.876
645.0,89.415,91.71
646.0,89.68,91.731
647.0,89.609,91.791
648.0,89.37,91.584
649.0,89.539,91.437
650.0,89.751,91.569
651.0,89.535,91.666
652.0,89.481,91.792
653.0,89.68,92.09
654.0,89.506,92.229
655.0,89.046,92.005
656.0,88.963,91.776
657.0,89.266,91.857
658.0,89.538,92.021
659.0,89.594,91.968
660.0,89.458,91.832
661.0,89.52,91.869
662.0,89.777,91.93
663.0,89.845,91.909
664.0,89.81,92.036
665.0,89.754,92.207
666.0,89.688,92.024
667.0,89.663,91.711
668.0,89.607,91.855
669.0,89.667,92.222
670.0,89.784,92.195
671.0,89.62,91.894
672.0,89.452,91.768
673.0,89.65,91.808
674.0,89.971,91.764
675.0,90.152,91.733
676.0,90.087,91.917
677.0,89.86,91.979
678.0,89.837,91.815
679.0,89.993,91.908
680.0,89.989,92.075
681.0,89.883,91.868
682.0,89.816,91.663
683.0,89.761,91.771
684.0,89.696,92.004
685.0,89.666,92.271
686.0,89.863,92.18
687.0,90.149,91.766
688.0,90.089,91.933
689.0,89.882,92.448
690.0,90.012,92.349
691.0,90.21,91.865
692.0,90.144,91.824
693.0,90.123,92.269
694.0,90.239,92.383
695.0,90.309,92.052
696.0,90.244,91.926
697.0,90.047,91.939
698.0,90.074,91.962
699.0,90.303,92.194
700.0,90.309,92.337
701.0,90.127,92.05
702.0,90.046,91.673
703.0,90.15,91.853
704.0,90.225,92.304
705.0,90.15,92.325
706.0,89.989,92.203
707.0,89.893,92.184
708.0,89.945,92.063
709.0,89.98,91.952
710.0,90.033,91.949
711.0,90.219,92.061
712.0,90.454,92.131
713.0,90.598,91.885
714.0,90.55,91.727
715.0,90.474,92.018
716.0,90.486,92.04
717.0,90.442,91.637
718.0,90.286,91.723
719.0,90.123,91.986
720.0,90.029,91.808
721.0,89.978,91.895
722.0,89.933,92.239
723.0,89.894,92.166
724.0,90.084,91.942
725.0,90.666,91.892
726.0,90.993,92.0
727.0,90.689,92.326
728.0,90.424,92.59
729.0,90.457,92.445
730.0,90.514,92.349
731.0,90.449,92.554
732.0,90.378,92.462
733.0,90.426,92.084
734.0,90.217,91.973
735.0,89.86,92.178
