Batch, scan005
Instrument ID,	084303
Data Mode,	%T
Sample,	Sample001
Cycle,	Cycle01
Date Collected,	18/06/2025
Time Collected,	04:28:03
Entries,	Data Points
nm,%T
390.0,
390.5,
391.0,
391.5,
392.0,
392.5,
393.0,
393.5,
394.0,31.261
394.5,31.071
395.0,31.411
395.5,32.101
396.0,32.831
396.5,33.478
397.0,34.095
397.5,34.682
398.0,35.125
398.5,35.318
399.0,35.302
399.5,35.265
400.0,35.371
400.5,35.607
401.0,35.879
401.5,36.214
402.0,36.72
402.5,37.384
403.0,38.002
403.5,38.335
404.0,38.323
404.5,38.191
405.0,38.284
405.5,38.756
406.0,39.45
406.5,40.119
407.0,40.678
407.5,41.202
408.0,41.762
408.5,42.337
409.0,42.851
409.5,43.21
410.0,43.333
410.5,43.243
411.0,43.141
411.5,43.284
412.0,43.729
412.5,44.282
413.0,44.71
413.5,44.958
414.0,45.134
414.5,45.331
415.0,45.524
415.5,45.689
416.0,45.912
416.5,46.262
417.0,46.611
417.5,46.741
418.0,46.661
418.5,46.69
419.0,47.106
419.5,47.803
420.0,48.442
420.5,48.857
421.0,49.118
421.5,49.279
422.0,49.344
422.5,49.455
423.0,49.825
423.5,50.427
424.0,50.945
424.5,51.142
425.0,51.163
425.5,51.321
426.0,51.654
426.5,51.905
427.0,51.994
427.5,52.306
428.0,53.309
428.5,54.93
429.0,56.369
429.5,56.459
430.0,54.417
430.5,50.781
431.0,47.616
431.5,47.006
432.0,49.026
432.5,51.685
433.0,52.933
433.5,52.354
434.0,51.104
434.5,50.705
435.0,51.889
435.5,54.143
436.0,56.087
436.5,56.475
437.0,55.249
437.5,53.632
438.0,52.961
438.5,53.498
439.0,54.564
439.5,55.543
440.0,56.37
440.5,57.199
441.0,58.031
441.5,58.71
442.0,59.059
442.5,59.006
443.0,58.698
443.5,58.47
444.0,58.574
444.5,58.954
445.0,59.376
445.5,59.715
446.0,60.025
446.5,60.389
447.0,60.819
447.5,61.279
448.0,61.689
448.5,61.917
449.0,61.857
449.5,61.555
450.0,61.239
450.5,61.164
451.0,61.382
451.5,61.699
452.0,61.934
452.5,62.166
453.0,62.592
453.5,63.196
454.0,63.698
454.5,63.845
455.0,63.68
455.5,63.502
456.0,63.589
456.5,63.932
457.0,64.279
457.5,64.414
458.0,64.344
458.5,64.214
459.0,64.151
459.5,64.24
460.0,64.538
460.5,64.968
461.0,65.275
461.5,65.232
462.0,64.915
462.5,64.634
463.0,64.609
463.5,64.837
464.0,65.234
464.5,65.736
465.0,66.245
465.5,66.625
