Batch	scan004
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	18/06/2025
Time Collected	04:19:57
Entries	Data Points
nm	%T
390.0	XXX.XXX
390.5	XXX.XXX
391.0	XXX.XXX
391.5	XXX.XXX
392.0	XXX.XXX
392.5	XXX.XXX
393.0	XXX.XXX
393.5	XXX.XXX
394.0	100.784
394.5	99.634
395.0	99.481
395.5	100.125
396.0	101.058
396.5	102.159
397.0	103.547
397.5	104.931
398.0	105.443
398.5	104.286
399.0	101.703
399.5	99.205
400.0	98.338
400.5	99.168
401.0	100.420
401.5	101.107
402.0	101.407
402.5	101.877
403.0	102.382
403.5	102.231
404.0	101.106
404.5	99.427
405.0	97.899
405.5	97.079
406.0	97.282
406.5	98.433
407.0	100.014
407.5	101.407
408.0	102.255
408.5	102.505
409.0	102.358
409.5	102.195
410.0	102.227
410.5	102.262
411.0	102.138
411.5	102.176
412.0	102.705
412.5	103.365
413.0	103.437
413.5	102.791
414.0	102.038
414.5	101.719
415.0	101.749
415.5	101.702
416.0	101.325
416.5	100.634
417.0	99.751
417.5	98.846
418.0	98.190
418.5	98.095
419.0	98.662
419.5	99.559
420.0	100.196
420.5	100.296
421.0	100.158
421.5	100.259
422.0	100.775
422.5	101.567
423.0	102.369
423.5	102.816
424.0	102.511
424.5	101.364
425.0	99.896
425.5	98.937
426.0	98.825
426.5	99.074
427.0	99.172
427.5	99.547
428.0	101.181
428.5	104.091
429.0	106.585
429.5	106.191
430.0	101.504
430.5	93.895
431.0	87.526
431.5	86.417
432.0	90.689
432.5	96.287
433.0	98.751
433.5	96.975
434.0	93.525
434.5	91.958
435.0	93.872
435.5	97.934
436.0	101.190
436.5	101.399
437.0	98.755
437.5	95.557
438.0	93.983
438.5	94.315
439.0	95.480
439.5	96.664
440.0	97.802
440.5	98.983
441.0	100.074
441.5	100.885
442.0	101.271
442.5	101.158
443.0	100.707
443.5	100.351
444.0	100.394
444.5	100.651
445.0	100.764
445.5	100.729
446.0	100.783
446.5	100.930
447.0	100.992
447.5	101.043
448.0	101.417
448.5	102.206
449.0	102.987
449.5	103.218
450.0	102.810
450.5	102.137
451.0	101.512
451.5	100.929
452.0	100.377
452.5	100.048
453.0	100.059
453.5	100.232
454.0	100.307
454.5	100.234
455.0	100.178
455.5	100.368
456.0	100.912
456.5	101.616
457.0	102.075
457.5	102.074
458.0	101.827
458.5	101.673
459.0	101.640
459.5	101.475
460.0	101.077
460.5	100.661
461.0	100.425
461.5	100.288
462.0	100.111
