Batch,scan008
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,04:32:20
Entries,Data Points
nm,A
190.0,XXX.XXX
190.5,XXX.XXX
191.0,XXX.XXX
191.5,XXX.XXX
192.0,XXX.XXX
192.5,XXX.XXX
193.0,XXX.XXX
193.5,XXX.XXX
194.0,XXX.XXX
194.5,XXX.XXX
195.0,XXX.XXX
195.5,XXX.XXX
196.0,XXX.XXX
196.5,XXX.XXX
197.0,XXX.XXX
197.5,XXX.XXX
198.0,XXX.XXX
198.5,XXX.XXX
199.0,XXX.XXX
199.5,XXX.XXX
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,XXX.XXX
225.5,XXX.XXX
226.0,XXX.XXX
226.5,XXX.XXX
227.0,XXX.XXX
227.5,XXX.XXX
228.0,XXX.XXX
228.5,XXX.XXX
229.0,XXX.XXX
229.5,XXX.XXX
230.0,XXX.XXX
230.5,XXX.XXX
231.0,XXX.XXX
231.5,XXX.XXX
232.0,XXX.XXX
232.5,XXX.XXX
233.0,XXX.XXX
233.5,XXX.XXX
234.0,XXX.XXX
234.5,XXX.XXX
235.0,XXX.XXX
235.5,XXX.XXX
236.0,XXX.XXX
236.5,XXX.XXX
237.0,XXX.XXX
237.5,XXX.XXX
238.0,XXX.XXX
238.5,XXX.XXX
239.0,XXX.XXX
239.5,XXX.XXX
240.0,XXX.XXX
240.5,XXX.XXX
241.0,XXX.XXX
241.5,XXX.XXX
242.0,XXX.XXX
242.5,XXX.XXX
243.0,XXX.XXX
243.5,2.550
244.0,2.501
244.5,2.461
245.0,2.431
245.5,2.405
246.0,2.379
246.5,2.350
247.0,2.321
247.5,2.297
248.0,2.277
248.5,2.260
249.0,2.245
249.5,2.232
250.0,2.220
250.5,2.204
251.0,2.185
251.5,2.168
252.0,2.156
252.5,2.153
253.0,2.153
253.5,2.151
254.0,2.145
254.5,2.138
255.0,2.133
255.5,2.130
256.0,2.129
256.5,2.129
257.0,2.133
257.5,2.140
258.0,2.146
258.5,2.155
259.0,2.169
259.5,2.193
260.0,2.226
260.5,2.265
261.0,2.303
261.5,2.335
262.0,2.365
262.5,2.399
263.0,2.440
263.5,XXX.XXX
264.0,XXX.XXX
264.5,XXX.XXX
265.0,XXX.XXX
265.5,XXX.XXX
266.0,XXX.XXX
266.5,XXX.XXX
267.0,XXX.XXX
267.5,XXX.XXX
268.0,XXX.XXX
268.5,XXX.XXX
269.0,XXX.XXX
269.5,XXX.XXX
270.0,XXX.XXX
270.5,XXX.XXX
271.0,XXX.XXX
271.5,XXX.XXX
272.0,XXX.XXX
272.5,XXX.XXX
273.0,XXX.XXX
273.5,XXX.XXX
274.0,XXX.XXX
274.5,XXX.XXX
275.0,XXX.XXX
275.5,XXX.XXX
276.0,XXX.XXX
276.5,XXX.XXX
277.0,XXX.XXX
277.5,XXX.XXX
278.0,XXX.XXX
278.5,XXX.XXX
279.0,XXX.XXX
279.5,XXX.XXX
280.0,XXX.XXX
280.5,XXX.XXX
281.0,XXX.XXX
281.5,XXX.XXX
282.0,XXX.XXX
282.5,XXX.XXX
283.0,XXX.XXX
283.5,XXX.XXX
284.0,XXX.XXX
284.5,XXX.XXX
285.0,XXX.XXX
285.5,XXX.XXX
286.0,XXX.XXX
286.5,XXX.XXX
287.0,XXX.XXX
287.5,XXX.XXX
288.0,XXX.XXX
288.5,XXX.XXX
289.0,XXX.XXX
289.5,XXX.XXX
290.0,XXX.XXX
290.5,XXX.XXX
291.0,XXX.XXX
291.5,XXX.XXX
292.0,2.408
292.5,2.353
293.0,2.326
293.5,2.320
294.0,2.317
294.5,2.302
295.0,2.269
295.5,2.228
296.0,2.195
296.5,2.181
297.0,2.176
297.5,2.168
298.0,2.153
298.5,2.136
299.0,2.119
299.5,2.103
300.0,2.087
300.5,2.070
301.0,2.056
301.5,2.049
302.0,2.047
302.5,2.042
303.0,2.031
303.5,2.022
304.0,2.021
304.5,2.026
305.0,2.028
305.5,2.019
306.0,2.007
306.5,2.000
307.0,2.003
307.5,2.011
308.0,2.013
308.5,2.001
309.0,1.980
309.5,1.965
310.0,1.969
310.5,1.990
311.0,2.012
311.5,2.022
312.0,2.022
312.5,2.021
313.0,2.021
313.5,2.018
314.0,2.010
314.5,2.003
315.0,1.999
315.5,1.995
316.0,1.993
316.5,1.996
317.0,2.004
317.5,2.015
318.0,2.026
318.5,2.035
319.0,2.034
319.5,2.026
320.0,2.025
320.5,2.040
321.0,2.060
321.5,2.061
322.0,2.036
322.5,2.000
323.0,1.974
323.5,1.966
324.0,1.970
324.5,1.974
