Batch,scan010
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,19/06/2025
Time Collected,04:51:47
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,100.178
395.0,103.828
396.0,102.864
397.0,99.960
398.0,99.700
399.0,102.797
400.0,105.041
401.0,102.967
402.0,99.048
403.0,96.031
404.0,94.396
405.0,95.172
406.0,97.540
407.0,100.846
408.0,103.747
409.0,101.506
410.0,97.218
411.0,96.832
412.0,97.751
413.0,99.024
414.0,100.524
415.0,100.384
416.0,100.724
417.0,101.535
418.0,100.952
419.0,99.997
420.0,99.374
421.0,98.193
422.0,97.439
423.0,98.385
424.0,97.513
425.0,96.291
426.0,99.156
427.0,100.959
428.0,100.055
429.0,100.088
430.0,99.891
431.0,98.993
432.0,97.778
433.0,96.107
434.0,95.999
435.0,98.218
436.0,99.805
437.0,99.206
438.0,97.665
439.0,96.767
440.0,98.514
441.0,100.277
442.0,99.177
443.0,98.767
444.0,98.999
445.0,97.790
446.0,98.508
447.0,99.947
448.0,97.735
449.0,95.812
450.0,96.728
451.0,97.351
452.0,98.150
453.0,98.492
454.0,97.305
455.0,97.402
456.0,98.827
457.0,100.120
458.0,100.687
459.0,99.705
460.0,99.183
461.0,99.958
462.0,99.259
463.0,98.041
464.0,98.578
465.0,99.428
466.0,99.784
467.0,99.866
468.0,99.231
469.0,98.288
470.0,98.270
471.0,99.032
472.0,98.929
473.0,98.607
474.0,99.253
475.0,99.349
476.0,98.920
477.0,99.076
478.0,98.903
479.0,98.553
480.0,98.845
481.0,98.638
482.0,97.790
483.0,97.956
484.0,98.835
485.0,98.859
486.0,98.664
487.0,99.081
488.0,98.970
489.0,98.453
490.0,98.517
491.0,98.580
492.0,98.697
493.0,99.181
494.0,99.467
495.0,99.352
496.0,98.772
497.0,98.595
498.0,99.029
499.0,98.913
500.0,98.637
501.0,98.522
502.0,98.782
503.0,99.631
504.0,99.420
505.0,98.525
506.0,98.712
507.0,99.097
508.0,98.903
509.0,98.611
510.0,98.485
511.0,98.854
512.0,99.570
513.0,99.857
514.0,99.468
515.0,99.043
516.0,98.749
517.0,98.461
518.0,98.894
519.0,99.877
520.0,100.014
521.0,99.097
522.0,98.609
523.0,99.161
524.0,99.661
525.0,99.719
526.0,99.631
527.0,99.336
528.0,99.087
529.0,99.131
530.0,98.908
531.0,98.121
532.0,97.595
533.0,97.736
534.0,97.991
535.0,98.106
536.0,98.369
