nm,A
190.0,
190.5,
191.0,
191.5,
192.0,
192.5,
193.0,
193.5,
194.0,
194.5,
195.0,
195.5,
196.0,
196.5,
197.0,
197.5,
198.0,
198.5,
199.0,
199.5,
200.0,
200.5,
201.0,
201.5,
202.0,
202.5,
203.0,
203.5,
204.0,
204.5,
205.0,
205.5,
206.0,
206.5,
207.0,
207.5,
208.0,
208.5,
209.0,
209.5,
210.0,
210.5,
211.0,
211.5,
212.0,
212.5,
213.0,
213.5,
214.0,
214.5,
215.0,
215.5,
216.0,1.272
216.5,1.194
217.0,1.121
217.5,1.054
218.0,0.991
218.5,0.933
219.0,0.881
219.5,0.834
220.0,0.792
220.5,0.753
221.0,0.718
221.5,0.686
222.0,0.659
222.5,0.634
223.0,0.613
223.5,0.594
224.0,0.578
224.5,0.564
225.0,0.552
225.5,0.542
226.0,0.532
226.5,0.524
227.0,0.517
227.5,0.51
228.0,0.503
228.5,0.496
229.0,0.489
229.5,0.483
230.0,0.476
230.5,0.468
231.0,0.461
231.5,0.453
232.0,0.444
232.5,0.435
233.0,0.425
233.5,0.414
234.0,0.403
234.5,0.392
235.0,0.381
235.5,0.37
236.0,0.358
236.5,0.347
237.0,0.336
237.5,0.326
238.0,0.315
238.5,0.305
239.0,0.295
239.5,0.286
240.0,0.278
240.5,0.27
241.0,0.263
241.5,0.257
242.0,0.251
242.5,0.246
243.0,0.243
243.5,0.24
244.0,0.239
244.5,0.238
245.0,0.239
245.5,0.241
246.0,0.243
246.5,0.247
247.0,0.252
247.5,0.258
248.0,0.265
248.5,0.273
249.0,0.282
249.5,0.291
250.0,0.301
250.5,0.311
251.0,0.322
251.5,0.334
252.0,0.347
252.5,0.36
253.0,0.374
253.5,0.388
254.0,0.403
254.5,0.418
255.0,0.433
255.5,0.449
256.0,0.465
256.5,0.482
257.0,0.499
257.5,0.515
258.0,0.532
258.5,0.549
259.0,0.566
259.5,0.583
260.0,0.602
260.5,0.621
261.0,0.64
261.5,0.658
262.0,0.675
262.5,0.692
263.0,0.707
263.5,0.723
264.0,0.739
264.5,0.754
265.0,0.769
265.5,0.783
266.0,0.797
266.5,0.81
267.0,0.822
267.5,0.835
268.0,0.846
268.5,0.855
269.0,0.863
269.5,0.87
270.0,0.876
270.5,0.883
271.0,0.888
271.5,0.892
272.0,0.893
272.5,0.892
273.0,0.89
273.5,0.887
274.0,0.883
274.5,0.878
275.0,0.872
275.5,0.865
276.0,0.856
276.5,0.845
277.0,0.833
277.5,0.82
278.0,0.805
278.5,0.788
279.0,0.771
279.5,0.753
280.0,0.736
280.5,0.717
281.0,0.698
281.5,0.677
282.0,0.654
282.5,0.629
283.0,0.602
283.5,0.575
284.0,0.549
284.5,0.524
285.0,0.497
285.5,0.469
286.0,0.44
286.5,0.411
287.0,0.384
287.5,0.357
288.0,0.331
288.5,0.306
289.0,0.282
289.5,0.258
290.0,0.235
290.5,0.213
291.0,0.192
291.5,0.173
292.0,0.155
292.5,0.138
293.0,0.123
293.5,0.108
294.0,0.094
294.5,0.082
295.0,0.072
295.5,0.062
296.0,0.054
296.5,0.047
297.0,0.04
297.5,0.035
298.0,0.031
298.5,0.027
299.0,0.024
299.5,0.021
300.0,0.019
300.5,0.016
301.0,0.014
301.5,0.012
302.0,0.011
302.5,0.01
303.0,0.009
303.5,0.008
304.0,0.008
304.5,0.008
305.0,0.008
305.5,0.007
306.0,0.006
306.5,0.005
307.0,0.004
307.5,0.004
308.0,0.004
308.5,0.003
309.0,0.003
309.5,0.003
310.0,0.003
310.5,0.003
311.0,0.004
311.5,0.004
312.0,0.005
312.5,0.006
313.0,0.006
313.5,0.005
314.0,0.003
314.5,0.002
315.0,0.002
315.5,0.004
316.0,0.006
316.5,0.007
317.0,0.006
317.5,0.003
318.0,0.002
318.5,0.002
319.0,0.002
319.5,0.002
320.0,0.002
320.5,0.003
321.0,0.005
321.5,0.006
322.0,0.006
322.5,0.006
323.0,0.004
323.5,0.003
324.0,0.002
324.5,0.003
325.0,0.004
325.5,0.005
326.0,0.005
326.5,0.004
327.0,0.003
327.5,0.002
328.0,0.003
328.5,0.004
329.0,0.005
329.5,0.004
330.0,0.004
330.5,0.004
331.0,0.005
331.5,0.004
332.0,0.003
332.5,0.001
333.0,0.0
333.5,0.001
334.0,0.003
334.5,0.005
335.0,0.007
335.5,0.01
336.0,0.014
336.5,0.019
337.0,0.023
337.5,0.022
338.0,0.016
338.5,0.009
339.0,0.001
339.5,-0.008
340.0,-0.013
340.5,-0.01
341.0,-0.001
341.5,0.007
342.0,0.01
342.5,0.005
343.0,0.001
343.5,0.001
344.0,0.005
344.5,0.009
345.0,0.011
345.5,0.011
346.0,0.011
346.5,0.01
347.0,0.006
347.5,-0.002
348.0,-0.01
348.5,-0.013
349.0,-0.011
349.5,-0.005
350.0,0.003
350.5,0.009
351.0,0.014
351.5,0.016
352.0,0.013
352.5,0.008
353.0,0.003
353.5,-0.001
354.0,-0.004
354.5,-0.005
355.0,-0.005
355.5,-0.002
356.0,0.003
356.5,0.006
357.0,0.008
357.5,0.008
358.0,0.005
358.5,0.001
359.0,-0.003
359.5,-0.006
360.0,-0.005
360.5,-0.002
361.0,0.0
361.5,0.0
362.0,-0.002
362.5,-0.003
363.0,-0.004
363.5,-0.004
364.0,-0.004
364.5,-0.004
365.0,-0.004
365.5,-0.004
366.0,-0.003
366.5,-0.001
367.0,0.001
367.5,0.003
368.0,0.003
368.5,0.002
369.0,0.002
369.5,0.001
370.0,0.002
370.5,0.004
371.0,0.006
371.5,0.008
372.0,0.009
372.5,0.01
373.0,0.007
373.5,0.002
374.0,-0.005
374.5,-0.007
375.0,-0.002
375.5,0.006
376.0,0.01
376.5,0.007
377.0,0.001
377.5,-0.003
378.0,-0.002
378.5,0.004
379.0,0.009
379.5,0.009
380.0,0.004
380.5,-0.002
381.0,-0.006
381.5,-0.009
382.0,-0.01
382.5,-0.009
383.0,-0.003
383.5,0.004
384.0,0.005
384.5,0.0
385.0,-0.006
385.5,-0.006
386.0,0.004
386.5,0.018
387.0,0.024
387.5,0.02
388.0,0.01
388.5,0.0
389.0,-0.004
389.5,-0.004
390.0,-0.001
390.5,0.0
391.0,0.002
391.5,0.004
392.0,0.004
392.5,0.003
393.0,0.0
393.5,-0.005
394.0,-0.009
394.5,-0.011
395.0,-0.009
395.5,-0.004
396.0,0.005
396.5,0.014
397.0,0.022
397.5,0.023
398.0,0.015
398.5,0.002
399.0,-0.007
399.5,-0.01
400.0,-0.007
400.5,0.003
401.0,0.027
401.5,0.067
402.0,0.104
402.5,0.11
403.0,0.08
403.5,0.038
404.0,0.009
404.5,0.0
405.0,0.002
405.5,0.016
406.0,0.042
406.5,
407.0,
407.5,
408.0,
408.5,
409.0,
409.5,
410.0,
