Batch,scan003
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,07:48:15
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,1.964
225.5,1.907
226.0,1.861
226.5,1.823
227.0,1.789
227.5,1.756
228.0,1.725
228.5,1.696
229.0,1.671
229.5,1.649
230.0,1.628
230.5,1.608
231.0,1.587
231.5,1.567
232.0,1.547
232.5,1.528
233.0,1.509
233.5,1.491
234.0,1.474
234.5,1.457
235.0,1.441
235.5,1.424
236.0,1.408
236.5,1.394
237.0,1.380
237.5,1.367
238.0,1.354
238.5,1.341
239.0,1.330
239.5,1.319
240.0,1.309
240.5,1.299
241.0,1.290
241.5,1.281
242.0,1.273
242.5,1.265
243.0,1.257
243.5,1.249
244.0,1.240
244.5,1.233
245.0,1.226
245.5,1.220
246.0,1.214
246.5,1.209
247.0,1.203
247.5,1.197
248.0,1.192
248.5,1.186
249.0,1.180
249.5,1.175
250.0,1.170
250.5,1.165
251.0,1.160
251.5,1.155
252.0,1.150
252.5,1.146
253.0,1.143
253.5,1.140
254.0,1.137
254.5,1.134
255.0,1.133
255.5,1.132
256.0,1.131
256.5,1.132
257.0,1.133
257.5,1.134
258.0,1.137
258.5,1.141
259.0,1.145
259.5,1.151
260.0,1.157
260.5,1.164
261.0,1.171
261.5,1.180
262.0,1.189
262.5,1.199
263.0,1.209
263.5,1.219
264.0,1.229
264.5,1.238
265.0,1.247
265.5,1.255
266.0,1.263
266.5,1.272
267.0,1.281
267.5,1.292
268.0,1.302
268.5,1.312
269.0,1.323
269.5,1.335
270.0,1.347
270.5,1.360
271.0,1.370
271.5,1.379
272.0,1.386
272.5,1.392
273.0,1.397
273.5,1.402
274.0,1.406
274.5,1.409
275.0,1.411
275.5,1.414
276.0,1.417
276.5,1.420
277.0,1.423
277.5,1.426
278.0,1.429
278.5,1.431
279.0,1.432
279.5,1.433
280.0,1.434
280.5,1.435
281.0,1.435
281.5,1.433
282.0,1.430
282.5,1.428
283.0,1.426
283.5,1.424
284.0,1.422
284.5,1.418
285.0,1.412
285.5,1.405
286.0,1.399
286.5,1.393
287.0,1.388
287.5,1.381
288.0,1.374
288.5,1.365
289.0,1.357
289.5,1.349
290.0,1.342
290.5,1.335
291.0,1.328
291.5,1.322
292.0,1.316
292.5,1.311
293.0,1.304
293.5,1.297
294.0,1.290
294.5,1.285
295.0,1.279
295.5,1.273
296.0,1.267
296.5,1.261
297.0,1.256
297.5,1.252
298.0,1.249
298.5,1.246
299.0,1.242
299.5,1.237
300.0,1.233
300.5,1.229
301.0,1.226
301.5,1.222
302.0,1.218
302.5,1.215
303.0,1.213
303.5,1.211
304.0,1.210
304.5,1.209
305.0,1.208
305.5,1.206
306.0,1.205
306.5,1.203
307.0,1.203
307.5,1.202
308.0,1.203
308.5,1.203
309.0,1.204
309.5,1.205
310.0,1.206
310.5,1.209
311.0,1.211
311.5,1.214
312.0,1.217
312.5,1.219
313.0,1.221
313.5,1.223
314.0,1.225
314.5,1.227
315.0,1.229
315.5,1.232
316.0,1.235
316.5,1.237
317.0,1.237
317.5,1.237
318.0,1.238
318.5,1.240
319.0,1.242
319.5,1.243
320.0,1.243
320.5,1.241
321.0,1.240
321.5,1.240
322.0,1.241
322.5,1.242
323.0,1.241
323.5,1.239
324.0,1.235
324.5,1.231
325.0,1.227
325.5,1.223
326.0,1.218
326.5,1.214
327.0,1.208
327.5,1.201
328.0,1.194
328.5,1.186
329.0,1.178
329.5,1.169
330.0,1.160
330.5,1.151
331.0,1.142
331.5,1.132
332.0,1.122
332.5,1.110
333.0,1.098
333.5,1.086
334.0,1.074
334.5,1.062
335.0,1.050
335.5,1.037
336.0,1.024
336.5,1.009
337.0,0.995
337.5,0.980
338.0,0.965
338.5,0.950
339.0,0.933
339.5,0.914
340.0,0.896
340.5,0.879
341.0,0.863
341.5,0.847
342.0,0.829
342.5,0.811
343.0,0.795
343.5,0.782
344.0,0.769
344.5,0.755
345.0,0.739
345.5,0.723
346.0,0.708
346.5,0.695
347.0,0.681
347.5,0.664
348.0,0.646
348.5,0.630
349.0,0.615
349.5,0.603
350.0,0.589
350.5,0.574
351.0,0.559
351.5,0.545
352.0,0.533
352.5,0.523
353.0,0.512
353.5,0.501
354.0,0.490
354.5,0.478
355.0,0.464
355.5,0.450
356.0,0.438
356.5,0.430
357.0,0.424
357.5,0.417
358.0,0.411
358.5,0.403
359.0,0.394
359.5,0.384
360.0,0.374
360.5,0.363
361.0,0.353
361.5,0.345
362.0,0.336
362.5,0.328
363.0,0.320
