nm,A
231.0,2.386
231.5,2.34
232.0,2.299
232.5,2.26
233.0,2.224
233.5,2.187
234.0,2.151
234.5,2.116
235.0,2.084
235.5,2.054
236.0,2.026
236.5,1.999
237.0,1.973
237.5,1.949
238.0,1.925
238.5,1.904
239.0,1.885
239.5,1.868
240.0,1.853
240.5,1.839
241.0,1.825
241.5,1.811
242.0,1.797
242.5,1.784
243.0,1.772
243.5,1.76
244.0,1.749
244.5,1.737
245.0,1.726
245.5,1.715
246.0,1.706
246.5,1.698
247.0,1.69
247.5,1.682
248.0,1.673
248.5,1.664
249.0,1.655
249.5,1.646
250.0,1.637
250.5,1.629
251.0,1.622
251.5,1.615
252.0,1.608
252.5,1.602
253.0,1.595
253.5,1.59
254.0,1.587
254.5,1.584
255.0,1.582
255.5,1.581
256.0,1.582
256.5,1.583
257.0,1.584
257.5,1.587
258.0,1.59
258.5,1.596
259.0,1.602
259.5,1.609
260.0,1.617
260.5,1.627
261.0,1.639
261.5,1.654
262.0,1.669
262.5,1.685
263.0,1.701
263.5,1.716
264.0,1.732
264.5,1.747
265.0,1.761
265.5,1.774
266.0,1.786
266.5,1.798
267.0,1.81
267.5,1.824
268.0,1.839
268.5,1.856
269.0,1.875
269.5,1.896
270.0,1.915
270.5,1.931
271.0,1.943
271.5,1.953
272.0,1.964
272.5,1.978
273.0,1.994
273.5,2.01
274.0,2.021
274.5,2.028
275.0,2.03
275.5,2.03
276.0,2.029
276.5,2.031
277.0,2.036
277.5,2.042
278.0,2.047
278.5,2.051
279.0,2.054
279.5,2.057
280.0,2.059
280.5,2.06
281.0,2.058
281.5,2.057
282.0,2.058
282.5,2.058
283.0,2.054
283.5,2.046
284.0,2.036
284.5,2.029
285.0,2.023
285.5,2.014
286.0,2.001
286.5,1.986
287.0,1.975
287.5,1.966
288.0,1.959
288.5,1.95
289.0,1.939
289.5,1.925
290.0,1.912
290.5,1.9
291.0,1.89
291.5,1.881
292.0,1.87
292.5,1.859
293.0,1.847
293.5,1.836
294.0,1.827
294.5,1.818
295.0,1.81
295.5,1.802
296.0,1.794
296.5,1.788
297.0,1.78
297.5,1.772
298.0,1.765
298.5,1.759
299.0,1.754
299.5,1.748
300.0,1.74
300.5,1.731
301.0,1.723
301.5,1.717
302.0,1.713
302.5,1.71
303.0,1.707
303.5,1.707
304.0,1.706
304.5,1.704
305.0,1.701
305.5,1.698
306.0,1.697
306.5,1.698
307.0,1.698
307.5,1.698
308.0,1.698
308.5,1.698
309.0,1.699
309.5,1.7
310.0,1.7
310.5,1.699
311.0,1.7
311.5,1.704
312.0,1.711
312.5,1.718
313.0,1.722
313.5,1.725
314.0,1.727
314.5,1.73
315.0,1.734
315.5,1.738
316.0,1.741
316.5,1.743
317.0,1.744
317.5,1.747
318.0,1.751
318.5,1.756
319.0,1.759
319.5,1.761
320.0,1.763
320.5,1.765
321.0,1.764
321.5,1.761
322.0,1.755
322.5,1.749
323.0,1.746
323.5,1.745
324.0,1.743
324.5,1.739
325.0,1.733
325.5,1.726
326.0,1.719
326.5,1.712
327.0,1.704
327.5,1.691
328.0,1.675
328.5,1.66
329.0,1.649
329.5,1.641
330.0,1.631
330.5,1.618
331.0,1.603
331.5,1.587
332.0,1.569
332.5,1.552
333.0,1.536
333.5,1.519
334.0,1.503
334.5,1.487
335.0,1.469
335.5,1.448
336.0,1.425
336.5,1.402
337.0,1.379
337.5,1.358
338.0,1.339
338.5,1.319
339.0,1.298
339.5,1.275
340.0,1.251
340.5,1.226
341.0,1.2
341.5,1.175
342.0,1.152
342.5,1.134
343.0,1.119
343.5,1.102
344.0,1.078
344.5,1.049
345.0,1.02
345.5,0.992
346.0,0.969
346.5,0.95
347.0,0.935
347.5,0.917
348.0,0.896
348.5,0.872
349.0,0.849
349.5,0.828
350.0,0.808
350.5,0.787
351.0,0.767
351.5,0.749
352.0,0.733
352.5,0.716
353.0,0.697
353.5,0.679
354.0,0.662
354.5,0.646
355.0,0.628
355.5,0.609
356.0,0.593
356.5,0.582
357.0,0.572
357.5,0.561
358.0,0.547
358.5,0.531
359.0,0.515
359.5,0.499
360.0,0.484
360.5,0.472
361.0,0.461
361.5,0.451
362.0,0.442
362.5,0.434
363.0,0.425
363.5,0.415
364.0,0.404
364.5,0.393
365.0,0.384
365.5,0.376
366.0,0.369
366.5,0.364
367.0,0.358
367.5,0.35
368.0,0.341
368.5,0.331
369.0,0.323
369.5,0.32
370.0,0.32
370.5,0.321
371.0,0.318
371.5,0.31
372.0,0.301
372.5,0.297
373.0,0.298
373.5,0.299
374.0,0.296
374.5,0.29
375.0,0.282
375.5,0.273
376.0,0.264
376.5,0.26
377.0,0.259
377.5,0.258
378.0,0.256
378.5,0.254
379.0,0.253
379.5,0.253
380.0,0.254
380.5,0.254
381.0,0.252
381.5,0.248
382.0,0.242
382.5,0.237
383.0,0.233
383.5,0.228
384.0,0.223
384.5,0.218
385.0,0.213
385.5,0.207
386.0,0.2
386.5,0.196
387.0,0.196
387.5,0.199
388.0,0.202
388.5,0.205
389.0,0.205
389.5,0.203
390.0,0.198
390.5,0.193
391.0,0.189
391.5,0.188
392.0,0.189
392.5,0.19
393.0,0.191
393.5,0.191
394.0,0.189
394.5,0.183
395.0,0.175
395.5,0.167
396.0,0.162
396.5,0.164
397.0,0.169
397.5,0.172
398.0,0.17
398.5,0.165
399.0,0.162
399.5,0.165
400.0,0.17
400.5,0.171
401.0,0.165
401.5,0.159
402.0,0.157
402.5,0.159
403.0,0.16
403.5,0.159
404.0,0.155
404.5,0.15
405.0,0.146
405.5,0.145
406.0,0.145
