Batch,scan002
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,07:43:11
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,1.919
224.5,1.863
225.0,1.811
225.5,1.765
226.0,1.725
226.5,1.691
227.0,1.661
227.5,1.633
228.0,1.607
228.5,1.584
229.0,1.563
229.5,1.543
230.0,1.524
230.5,1.505
231.0,1.486
231.5,1.468
232.0,1.451
232.5,1.434
233.0,1.417
233.5,1.401
234.0,1.385
234.5,1.369
235.0,1.353
235.5,1.338
236.0,1.324
236.5,1.310
237.0,1.296
237.5,1.284
238.0,1.273
238.5,1.262
239.0,1.252
239.5,1.242
240.0,1.232
240.5,1.223
241.0,1.214
241.5,1.205
242.0,1.197
242.5,1.189
243.0,1.181
243.5,1.174
244.0,1.168
244.5,1.161
245.0,1.154
245.5,1.148
246.0,1.142
246.5,1.136
247.0,1.130
247.5,1.125
248.0,1.119
248.5,1.113
249.0,1.108
249.5,1.102
250.0,1.097
250.5,1.092
251.0,1.087
251.5,1.082
252.0,1.077
252.5,1.072
253.0,1.068
253.5,1.064
254.0,1.061
254.5,1.058
255.0,1.056
255.5,1.054
256.0,1.053
256.5,1.053
257.0,1.053
257.5,1.055
258.0,1.057
258.5,1.060
259.0,1.063
259.5,1.066
260.0,1.071
260.5,1.076
261.0,1.084
261.5,1.092
262.0,1.100
262.5,1.108
263.0,1.116
263.5,1.124
264.0,1.133
264.5,1.141
265.0,1.149
265.5,1.157
266.0,1.164
266.5,1.172
267.0,1.180
267.5,1.188
268.0,1.197
268.5,1.207
269.0,1.217
269.5,1.228
270.0,1.239
270.5,1.251
271.0,1.261
271.5,1.270
272.0,1.277
272.5,1.282
273.0,1.287
273.5,1.291
274.0,1.294
274.5,1.298
275.0,1.300
275.5,1.303
276.0,1.306
276.5,1.309
277.0,1.312
277.5,1.316
278.0,1.321
278.5,1.324
279.0,1.326
279.5,1.326
280.0,1.326
280.5,1.325
281.0,1.325
281.5,1.325
282.0,1.325
282.5,1.325
283.0,1.323
283.5,1.320
284.0,1.318
284.5,1.314
285.0,1.309
285.5,1.304
286.0,1.298
286.5,1.292
287.0,1.286
287.5,1.280
288.0,1.275
288.5,1.270
289.0,1.265
289.5,1.259
290.0,1.253
290.5,1.246
291.0,1.239
291.5,1.233
292.0,1.227
292.5,1.221
293.0,1.215
293.5,1.210
294.0,1.205
294.5,1.200
295.0,1.195
295.5,1.190
296.0,1.185
296.5,1.180
297.0,1.175
297.5,1.171
298.0,1.168
298.5,1.164
299.0,1.162
299.5,1.160
300.0,1.158
300.5,1.155
301.0,1.152
301.5,1.148
302.0,1.145
302.5,1.143
303.0,1.140
303.5,1.138
304.0,1.137
304.5,1.136
305.0,1.135
305.5,1.134
306.0,1.134
306.5,1.133
307.0,1.133
307.5,1.133
308.0,1.133
308.5,1.133
309.0,1.134
309.5,1.136
310.0,1.138
310.5,1.140
311.0,1.142
311.5,1.144
312.0,1.146
312.5,1.149
313.0,1.150
313.5,1.151
314.0,1.152
314.5,1.154
315.0,1.157
315.5,1.160
316.0,1.163
316.5,1.165
317.0,1.167
317.5,1.169
318.0,1.171
318.5,1.172
319.0,1.173
319.5,1.174
320.0,1.174
320.5,1.174
321.0,1.173
321.5,1.171
322.0,1.170
322.5,1.168
323.0,1.167
323.5,1.165
324.0,1.163
324.5,1.160
325.0,1.158
325.5,1.154
326.0,1.149
326.5,1.144
327.0,1.140
327.5,1.135
328.0,1.129
328.5,1.122
329.0,1.114
329.5,1.105
330.0,1.097
330.5,1.088
331.0,1.079
331.5,1.070
332.0,1.060
332.5,1.051
333.0,1.042
333.5,1.031
334.0,1.020
334.5,1.007
335.0,0.994
335.5,0.981
336.0,0.968
336.5,0.955
337.0,0.942
337.5,0.929
338.0,0.914
338.5,0.900
339.0,0.885
339.5,0.869
340.0,0.854
340.5,0.839
341.0,0.824
341.5,0.811
342.0,0.799
342.5,0.787
343.0,0.777
343.5,0.764
344.0,0.747
344.5,0.725
345.0,0.703
345.5,0.684
346.0,0.670
346.5,0.658
347.0,0.648
347.5,0.635
348.0,0.621
348.5,0.608
349.0,0.597
349.5,0.587
350.0,0.575
350.5,0.560
351.0,0.547
351.5,0.535
352.0,0.524
352.5,0.511
353.0,0.495
353.5,0.478
354.0,0.464
354.5,0.454
355.0,0.446
355.5,0.437
356.0,0.430
356.5,0.424
357.0,0.417
357.5,0.406
358.0,0.395
358.5,0.386
359.0,0.379
359.5,0.373
360.0,0.364
360.5,0.352
361.0,0.340
361.5,0.331
362.0,0.326
362.5,0.323
363.0,0.319
363.5,0.311
