nm,A_7_5g,A_15g,A_18g,A_22_5g
231.0,1.486,1.62,1.587,2.386
231.5,1.468,1.6,1.567,2.34
232.0,1.451,1.58,1.547,2.299
232.5,1.434,1.561,1.528,2.26
233.0,1.417,1.542,1.509,2.224
233.5,1.401,1.524,1.491,2.187
234.0,1.385,1.506,1.474,2.151
234.5,1.369,1.488,1.457,2.116
235.0,1.353,1.47,1.441,2.084
235.5,1.338,1.453,1.424,2.054
236.0,1.324,1.437,1.408,2.026
236.5,1.31,1.422,1.394,1.999
237.0,1.296,1.407,1.38,1.973
237.5,1.284,1.393,1.367,1.949
238.0,1.273,1.38,1.354,1.925
238.5,1.262,1.368,1.341,1.904
239.0,1.252,1.357,1.33,1.885
239.5,1.242,1.346,1.319,1.868
240.0,1.232,1.336,1.309,1.853
240.5,1.223,1.325,1.299,1.839
241.0,1.214,1.316,1.29,1.825
241.5,1.205,1.307,1.281,1.811
242.0,1.197,1.298,1.273,1.797
242.5,1.189,1.29,1.265,1.784
243.0,1.181,1.282,1.257,1.772
243.5,1.174,1.274,1.249,1.76
244.0,1.168,1.266,1.24,1.749
244.5,1.161,1.259,1.233,1.737
245.0,1.154,1.251,1.226,1.726
245.5,1.148,1.244,1.22,1.715
246.0,1.142,1.237,1.214,1.706
246.5,1.136,1.231,1.209,1.698
247.0,1.13,1.225,1.203,1.69
247.5,1.125,1.219,1.197,1.682
248.0,1.119,1.213,1.192,1.673
248.5,1.113,1.208,1.186,1.664
249.0,1.108,1.202,1.18,1.655
249.5,1.102,1.197,1.175,1.646
250.0,1.097,1.192,1.17,1.637
250.5,1.092,1.186,1.165,1.629
251.0,1.087,1.181,1.16,1.622
251.5,1.082,1.176,1.155,1.615
252.0,1.077,1.171,1.15,1.608
252.5,1.072,1.167,1.146,1.602
253.0,1.068,1.163,1.143,1.595
253.5,1.064,1.159,1.14,1.59
254.0,1.061,1.156,1.137,1.587
254.5,1.058,1.154,1.134,1.584
