Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,07:37:32
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,-0.006
204.5,-0.007
205.0,-0.006
205.5,-0.006
206.0,-0.005
206.5,-0.004
207.0,-0.004
207.5,-0.004
208.0,-0.004
208.5,-0.004
209.0,-0.003
209.5,-0.003
210.0,-0.003
210.5,-0.003
211.0,-0.004
211.5,-0.004
212.0,-0.004
212.5,-0.003
213.0,-0.003
213.5,-0.002
214.0,-0.002
214.5,-0.002
215.0,-0.002
215.5,-0.002
216.0,-0.002
216.5,-0.001
217.0,-0.001
217.5,-0.001
218.0,-0.001
218.5,-0.001
219.0,-0.001
219.5,-0.001
220.0,-0.001
220.5,0.000
221.0,0.000
221.5,0.000
222.0,0.000
222.5,0.000
223.0,0.000
223.5,0.000
224.0,0.000
224.5,0.000
225.0,0.001
225.5,0.001
226.0,0.001
226.5,0.001
227.0,0.000
227.5,0.000
228.0,0.000
228.5,0.001
229.0,0.001
229.5,0.001
230.0,0.001
230.5,0.001
231.0,0.000
231.5,0.000
232.0,0.000
232.5,0.000
233.0,0.000
233.5,0.000
234.0,0.001
234.5,0.001
235.0,0.001
235.5,0.001
236.0,0.000
236.5,0.000
237.0,0.000
237.5,0.000
238.0,0.000
238.5,0.000
239.0,0.000
239.5,0.000
240.0,0.000
240.5,0.000
241.0,0.000
241.5,0.000
242.0,0.000
242.5,0.000
243.0,0.000
243.5,0.000
244.0,0.000
244.5,0.000
245.0,0.000
245.5,0.000
246.0,0.001
246.5,0.001
247.0,0.001
247.5,0.000
248.0,0.000
248.5,0.000
249.0,0.000
249.5,0.000
250.0,0.000
250.5,0.000
251.0,0.000
251.5,0.000
252.0,0.000
252.5,0.000
253.0,0.001
253.5,0.001
254.0,0.001
254.5,0.001
255.0,0.000
255.5,0.000
256.0,0.000
256.5,0.000
257.0,-0.001
257.5,-0.001
258.0,0.000
258.5,0.000
259.0,0.001
259.5,0.001
260.0,0.001
260.5,0.001
261.0,0.001
261.5,0.001
262.0,0.002
262.5,0.002
263.0,0.002
263.5,0.002
264.0,0.002
264.5,0.001
265.0,0.001
265.5,0.001
266.0,0.000
266.5,0.000
267.0,0.000
267.5,0.000
268.0,0.000
268.5,0.000
269.0,0.000
269.5,0.001
270.0,0.001
270.5,0.002
271.0,0.002
271.5,0.002
272.0,0.001
272.5,0.001
273.0,0.001
273.5,0.001
274.0,0.001
274.5,0.001
275.0,0.000
275.5,-0.001
276.0,-0.001
276.5,-0.001
277.0,0.000
277.5,0.001
278.0,0.001
278.5,0.002
279.0,0.001
279.5,0.001
280.0,0.001
280.5,0.001
281.0,0.001
281.5,0.000
282.0,0.000
282.5,0.000
283.0,0.001
283.5,0.001
284.0,0.002
284.5,0.002
285.0,0.001
285.5,0.001
286.0,0.000
286.5,0.000
287.0,0.000
287.5,0.000
288.0,0.000
288.5,0.000
289.0,0.001
289.5,0.001
290.0,0.002
290.5,0.002
291.0,0.001
291.5,0.001
292.0,0.001
292.5,0.001
293.0,0.001
293.5,0.000
294.0,-0.001
294.5,-0.001
295.0,0.000
295.5,0.001
296.0,0.001
296.5,0.001
297.0,0.000
297.5,0.000
298.0,0.000
298.5,0.000
299.0,0.001
299.5,0.001
300.0,0.001
300.5,0.001
301.0,0.001
301.5,0.001
302.0,0.000
302.5,-0.001
303.0,-0.003
303.5,-0.003
304.0,-0.002
304.5,-0.002
305.0,-0.002
305.5,-0.002
306.0,-0.001
306.5,-0.001
307.0,-0.001
307.5,0.000
308.0,-0.001
308.5,-0.001
309.0,0.000
309.5,0.000
310.0,0.000
310.5,0.000
311.0,-0.001
311.5,-0.001
312.0,-0.001
312.5,0.000
313.0,0.001
313.5,0.001
314.0,0.000
314.5,-0.001
315.0,-0.001
315.5,-0.001
316.0,-0.001
316.5,-0.001
317.0,-0.001
317.5,-0.001
318.0,-0.001
318.5,-0.001
319.0,0.000
319.5,0.000
320.0,0.001
320.5,0.001
321.0,0.000
321.5,0.000
322.0,-0.001
322.5,-0.001
323.0,0.000
323.5,0.000
324.0,0.001
324.5,0.002
325.0,0.003
325.5,0.003
326.0,0.002
326.5,0.001
327.0,0.001
327.5,0.001
328.0,0.002
328.5,0.002
329.0,0.002
329.5,0.000
330.0,0.000
330.5,0.000
331.0,0.000
331.5,0.001
332.0,0.001
332.5,0.001
333.0,0.001
333.5,0.001
334.0,0.001
334.5,0.001
335.0,0.002
335.5,0.002
336.0,0.002
336.5,0.001
337.0,0.000
337.5,-0.001
338.0,-0.001
338.5,-0.001
339.0,-0.003
339.5,-0.006
340.0,-0.008
340.5,-0.006
341.0,-0.002
341.5,0.002
342.0,0.004
342.5,0.005
343.0,0.006
343.5,0.007
344.0,0.005
344.5,-0.002
345.0,-0.009
345.5,-0.014
346.0,-0.014
346.5,-0.009
347.0,-0.004
347.5,-0.001
348.0,0.000
348.5,-0.001
349.0,-0.001
349.5,-0.002
350.0,-0.004
350.5,-0.004
351.0,-0.004
351.5,-0.003
352.0,-0.002
352.5,-0.002
353.0,-0.003
353.5,-0.006
354.0,-0.007
354.5,-0.006
355.0,-0.004
355.5,-0.002
356.0,0.002
356.5,0.007
357.0,0.011
357.5,0.012
358.0,0.011
358.5,0.010
359.0,0.008
359.5,0.004
360.0,0.000
360.5,-0.004
361.0,-0.005
361.5,-0.005
362.0,-0.006
362.5,-0.009
363.0,-0.012
363.5,-0.014
364.0,-0.011
364.5,-0.004
365.0,0.003
365.5,0.009
366.0,0.012
366.5,0.013
367.0,0.009
