nm,A
204.0,-0.006
204.5,-0.007
205.0,-0.006
205.5,-0.006
206.0,-0.005
206.5,-0.004
207.0,-0.004
207.5,-0.004
208.0,-0.004
208.5,-0.004
209.0,-0.003
209.5,-0.003
210.0,-0.003
210.5,-0.003
211.0,-0.004
211.5,-0.004
212.0,-0.004
212.5,-0.003
213.0,-0.003
213.5,-0.002
214.0,-0.002
214.5,-0.002
215.0,-0.002
215.5,-0.002
216.0,-0.002
216.5,-0.001
217.0,-0.001
217.5,-0.001
218.0,-0.001
218.5,-0.001
219.0,-0.001
219.5,-0.001
220.0,-0.001
220.5,0.0
221.0,0.0
221.5,0.0
222.0,0.0
222.5,0.0
223.0,0.0
223.5,0.0
224.0,0.0
224.5,0.0
225.0,0.001
225.5,0.001
226.0,0.001
226.5,0.001
227.0,0.0
227.5,0.0
228.0,0.0
228.5,0.001
229.0,0.001
229.5,0.001
230.0,0.001
230.5,0.001
231.0,0.0
231.5,0.0
232.0,0.0
232.5,0.0
233.0,0.0
233.5,0.0
234.0,0.001
234.5,0.001
235.0,0.001
235.5,0.001
236.0,0.0
236.5,0.0
237.0,0.0
237.5,0.0
238.0,0.0
238.5,0.0
239.0,0.0
239.5,0.0
240.0,0.0
240.5,0.0
241.0,0.0
241.5,0.0
242.0,0.0
242.5,0.0
243.0,0.0
243.5,0.0
244.0,0.0
244.5,0.0
245.0,0.0
245.5,0.0
246.0,0.001
246.5,0.001
247.0,0.001
247.5,0.0
248.0,0.0
248.5,0.0
249.0,0.0
249.5,0.0
250.0,0.0
250.5,0.0
251.0,0.0
251.5,0.0
252.0,0.0
252.5,0.0
253.0,0.001
253.5,0.001
254.0,0.001
254.5,0.001
255.0,0.0
255.5,0.0
256.0,0.0
256.5,0.0
257.0,-0.001
257.5,-0.001
258.0,0.0
258.5,0.0
259.0,0.001
259.5,0.001
260.0,0.001
260.5,0.001
261.0,0.001
261.5,0.001
262.0,0.002
262.5,0.002
263.0,0.002
263.5,0.002
264.0,0.002
264.5,0.001
265.0,0.001
265.5,0.001
266.0,0.0
266.5,0.0
267.0,0.0
267.5,0.0
268.0,0.0
268.5,0.0
269.0,0.0
269.5,0.001
270.0,0.001
270.5,0.002
271.0,0.002
271.5,0.002
272.0,0.001
272.5,0.001
273.0,0.001
273.5,0.001
274.0,0.001
274.5,0.001
275.0,0.0
275.5,-0.001
276.0,-0.001
276.5,-0.001
277.0,0.0
277.5,0.001
278.0,0.001
278.5,0.002
279.0,0.001
279.5,0.001
280.0,0.001
280.5,0.001
281.0,0.001
281.5,0.0
282.0,0.0
282.5,0.0
283.0,0.001
283.5,0.001
284.0,0.002
284.5,0.002
285.0,0.001
285.5,0.001
286.0,0.0
286.5,0.0
287.0,0.0
287.5,0.0
288.0,0.0
288.5,0.0
289.0,0.001
289.5,0.001
290.0,0.002
290.5,0.002
291.0,0.001
291.5,0.001
292.0,0.001
292.5,0.001
293.0,0.001
293.5,0.0
294.0,-0.001
294.5,-0.001
295.0,0.0
295.5,0.001
296.0,0.001
296.5,0.001
297.0,0.0
297.5,0.0
298.0,0.0
298.5,0.0
299.0,0.001
299.5,0.001
300.0,0.001
300.5,0.001
301.0,0.001
301.5,0.001
302.0,0.0
302.5,-0.001
303.0,-0.003
303.5,-0.003
304.0,-0.002
304.5,-0.002
305.0,-0.002
305.5,-0.002
306.0,-0.001
306.5,-0.001
307.0,-0.001
307.5,0.0
308.0,-0.001
308.5,-0.001
309.0,0.0
309.5,0.0
310.0,0.0
310.5,0.0
311.0,-0.001
311.5,-0.001
312.0,-0.001
312.5,0.0
313.0,0.001
313.5,0.001
314.0,0.0
314.5,-0.001
315.0,-0.001
315.5,-0.001
316.0,-0.001
316.5,-0.001
317.0,-0.001
317.5,-0.001
318.0,-0.001
318.5,-0.001
319.0,0.0
319.5,0.0
320.0,0.001
320.5,0.001
321.0,0.0
321.5,0.0
322.0,-0.001
322.5,-0.001
323.0,0.0
323.5,0.0
324.0,0.001
324.5,0.002
325.0,0.003
325.5,0.003
326.0,0.002
326.5,0.001
327.0,0.001
327.5,0.001
328.0,0.002
328.5,0.002
329.0,0.002
329.5,0.0
330.0,0.0
330.5,0.0
331.0,0.0
331.5,0.001
332.0,0.001
332.5,0.001
333.0,0.001
333.5,0.001
334.0,0.001
334.5,0.001
335.0,0.002
335.5,0.002
336.0,0.002
336.5,0.001
337.0,0.0
337.5,-0.001
338.0,-0.001
338.5,-0.001
339.0,-0.003
339.5,-0.006
340.0,-0.008
340.5,-0.006
341.0,-0.002
341.5,0.002
342.0,0.004
342.5,0.005
343.0,0.006
343.5,0.007
344.0,0.005
344.5,-0.002
345.0,-0.009
345.5,-0.014
346.0,-0.014
346.5,-0.009
347.0,-0.004
347.5,-0.001
348.0,0.0
348.5,-0.001
349.0,-0.001
349.5,-0.002
350.0,-0.004
350.5,-0.004
351.0,-0.004
351.5,-0.003
352.0,-0.002
352.5,-0.002
353.0,-0.003
353.5,-0.006
354.0,-0.007
354.5,-0.006
355.0,-0.004
355.5,-0.002
356.0,0.002
356.5,0.007
357.0,0.011
357.5,0.012
358.0,0.011
358.5,0.01
359.0,0.008
359.5,0.004
360.0,0.0
360.5,-0.004
361.0,-0.005
361.5,-0.005
362.0,-0.006
362.5,-0.009
363.0,-0.012
363.5,-0.014
364.0,-0.011
364.5,-0.004
365.0,0.003
365.5,0.009
366.0,0.012
366.5,0.013
367.0,0.009
367.5,0.002
368.0,-0.005
368.5,-0.009
369.0,-0.009
369.5,-0.005
370.0,-0.003
370.5,-0.002
371.0,-0.002
371.5,0.001
372.0,0.009
372.5,0.019
373.0,0.024
373.5,0.019
374.0,0.006
374.5,-0.007
375.0,-0.011
375.5,-0.003
376.0,0.01
376.5,0.02
377.0,0.017
377.5,0.006
378.0,-0.004
378.5,-0.006
379.0,-0.002
379.5,0.001
380.0,-0.002
380.5,-0.007
381.0,-0.012
381.5,-0.015
382.0,-0.018
382.5,-0.019
383.0,-0.016
383.5,-0.009
384.0,-0.001
384.5,0.004
385.0,0.005
385.5,0.003
386.0,0.003
386.5,0.003
387.0,0.004
387.5,0.004
388.0,0.004
388.5,0.006
389.0,0.008
389.5,0.007
