Batch,scan003
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,03/10/2025
Time Collected,06:25:49
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,XXX.XXX
225.5,XXX.XXX
226.0,XXX.XXX
226.5,XXX.XXX
227.0,XXX.XXX
227.5,XXX.XXX
228.0,XXX.XXX
228.5,XXX.XXX
229.0,XXX.XXX
229.5,XXX.XXX
230.0,XXX.XXX
230.5,XXX.XXX
231.0,XXX.XXX
231.5,XXX.XXX
232.0,XXX.XXX
232.5,XXX.XXX
233.0,XXX.XXX
233.5,XXX.XXX
234.0,XXX.XXX
234.5,XXX.XXX
235.0,2.476
235.5,2.423
236.0,2.370
236.5,2.321
237.0,2.278
237.5,2.243
238.0,2.210
238.5,2.178
239.0,2.148
239.5,2.120
240.0,2.096
240.5,2.074
241.0,2.053
241.5,2.031
242.0,2.011
242.5,1.992
243.0,1.974
243.5,1.958
244.0,1.943
244.5,1.930
245.0,1.917
245.5,1.907
246.0,1.898
246.5,1.890
247.0,1.881
247.5,1.872
248.0,1.864
248.5,1.857
249.0,1.852
249.5,1.848
250.0,1.844
250.5,1.839
251.0,1.833
251.5,1.828
252.0,1.824
252.5,1.820
253.0,1.816
253.5,1.812
254.0,1.810
254.5,1.809
255.0,1.809
255.5,1.812
256.0,1.815
256.5,1.821
257.0,1.828
257.5,1.834
258.0,1.840
258.5,1.844
259.0,1.848
259.5,1.852
260.0,1.857
260.5,1.864
261.0,1.872
261.5,1.884
262.0,1.897
262.5,1.911
263.0,1.924
263.5,1.937
264.0,1.951
264.5,1.966
265.0,1.981
265.5,1.994
266.0,2.002
266.5,2.008
267.0,2.015
267.5,2.024
268.0,2.034
268.5,2.044
269.0,2.052
269.5,2.060
270.0,2.071
270.5,2.083
271.0,2.097
271.5,2.112
272.0,2.124
272.5,2.131
273.0,2.133
273.5,2.134
274.0,2.135
274.5,2.137
275.0,2.137
275.5,2.136
276.0,2.134
276.5,2.132
277.0,2.132
277.5,2.132
278.0,2.131
278.5,2.130
279.0,2.130
279.5,2.128
280.0,2.121
280.5,2.110
281.0,2.098
281.5,2.086
282.0,2.075
282.5,2.063
283.0,2.051
283.5,2.038
284.0,2.026
284.5,2.012
285.0,1.997
285.5,1.979
286.0,1.960
286.5,1.941
287.0,1.924
287.5,1.909
288.0,1.895
288.5,1.881
289.0,1.866
289.5,1.850
290.0,1.832
290.5,1.814
291.0,1.795
291.5,1.778
292.0,1.761
292.5,1.744
293.0,1.729
293.5,1.716
294.0,1.704
294.5,1.693
295.0,1.680
295.5,1.666
296.0,1.653
296.5,1.642
297.0,1.631
297.5,1.620
298.0,1.610
298.5,1.601
299.0,1.591
299.5,1.582
300.0,1.573
300.5,1.565
301.0,1.558
301.5,1.551
302.0,1.546
302.5,1.540
303.0,1.535
303.5,1.528
304.0,1.523
304.5,1.519
305.0,1.516
305.5,1.514
306.0,1.512
306.5,1.510
307.0,1.507
307.5,1.504
308.0,1.500
308.5,1.496
309.0,1.493
309.5,1.490
310.0,1.489
310.5,1.489
311.0,1.489
311.5,1.490
312.0,1.491
312.5,1.492
313.0,1.493
313.5,1.492
314.0,1.490
314.5,1.488
315.0,1.488
315.5,1.491
316.0,1.495
316.5,1.498
317.0,1.499
317.5,1.498
318.0,1.496
318.5,1.494
319.0,1.493
319.5,1.491
320.0,1.489
320.5,1.486
321.0,1.482
321.5,1.478
322.0,1.476
322.5,1.475
323.0,1.474
323.5,1.472
324.0,1.468
324.5,1.461
325.0,1.454
325.5,1.447
326.0,1.440
326.5,1.434
327.0,1.427
327.5,1.420
328.0,1.411
328.5,1.403
329.0,1.395
329.5,1.388
330.0,1.379
330.5,1.368
331.0,1.356
331.5,1.345
332.0,1.335
332.5,1.325
333.0,1.311
333.5,1.296
334.0,1.280
334.5,1.265
335.0,1.251
335.5,1.237
336.0,1.221
336.5,1.206
337.0,1.191
337.5,1.177
338.0,1.163
338.5,1.148
339.0,1.134
339.5,1.119
340.0,1.103
340.5,1.084
341.0,1.061
341.5,1.036
342.0,1.005
342.5,0.969
343.0,0.936
343.5,0.919
344.0,0.920
344.5,0.928
345.0,0.928
345.5,0.915
346.0,0.893
346.5,0.870
347.0,0.852
347.5,0.838
348.0,0.827
348.5,0.816
349.0,0.805
349.5,0.795
350.0,0.786
350.5,0.774
351.0,0.758
351.5,0.740
352.0,0.722
352.5,0.702
353.0,0.681
353.5,0.662
354.0,0.644
354.5,0.631
355.0,0.620
355.5,0.611
356.0,0.601
356.5,0.589
357.0,0.575
357.5,0.561
358.0,0.550
