Batch,scan004
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,06:55:59
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,1.917
225.5,1.866
226.0,1.819
226.5,1.778
227.0,1.746
227.5,1.718
228.0,1.690
228.5,1.660
229.0,1.630
229.5,1.603
230.0,1.578
230.5,1.555
231.0,1.533
231.5,1.510
232.0,1.488
232.5,1.467
233.0,1.446
233.5,1.426
234.0,1.407
234.5,1.387
235.0,1.369
235.5,1.351
236.0,1.334
236.5,1.318
237.0,1.303
237.5,1.288
238.0,1.275
238.5,1.261
239.0,1.249
239.5,1.238
240.0,1.226
240.5,1.216
241.0,1.206
241.5,1.196
242.0,1.188
242.5,1.180
243.0,1.172
243.5,1.164
244.0,1.157
244.5,1.151
245.0,1.145
245.5,1.139
246.0,1.134
246.5,1.130
247.0,1.125
247.5,1.122
248.0,1.118
248.5,1.115
249.0,1.112
249.5,1.109
250.0,1.106
250.5,1.104
251.0,1.102
251.5,1.100
252.0,1.098
252.5,1.096
253.0,1.095
253.5,1.094
254.0,1.093
254.5,1.093
255.0,1.094
255.5,1.095
256.0,1.097
256.5,1.099
257.0,1.101
257.5,1.104
258.0,1.107
258.5,1.110
259.0,1.112
259.5,1.115
260.0,1.118
260.5,1.122
261.0,1.127
261.5,1.133
262.0,1.139
262.5,1.146
263.0,1.153
263.5,1.159
264.0,1.165
264.5,1.171
265.0,1.177
265.5,1.183
266.0,1.188
266.5,1.192
267.0,1.196
267.5,1.200
268.0,1.204
268.5,1.208
269.0,1.214
269.5,1.219
270.0,1.224
270.5,1.230
271.0,1.235
271.5,1.239
272.0,1.243
272.5,1.245
273.0,1.247
273.5,1.248
274.0,1.249
274.5,1.250
275.0,1.251
275.5,1.250
276.0,1.249
276.5,1.248
277.0,1.247
277.5,1.246
278.0,1.245
278.5,1.244
279.0,1.242
279.5,1.239
280.0,1.236
280.5,1.232
281.0,1.229
281.5,1.225
282.0,1.220
282.5,1.215
283.0,1.208
283.5,1.201
284.0,1.195
284.5,1.187
285.0,1.179
285.5,1.170
286.0,1.160
286.5,1.152
287.0,1.143
287.5,1.135
288.0,1.127
288.5,1.117
289.0,1.107
289.5,1.097
290.0,1.087
290.5,1.078
291.0,1.069
291.5,1.060
292.0,1.051
292.5,1.042
293.0,1.035
293.5,1.028
294.0,1.021
294.5,1.014
295.0,1.007
295.5,1.000
296.0,0.994
296.5,0.987
297.0,0.982
297.5,0.977
298.0,0.971
298.5,0.966
299.0,0.962
299.5,0.958
300.0,0.954
300.5,0.951
301.0,0.946
301.5,0.942
302.0,0.937
302.5,0.933
303.0,0.930
303.5,0.928
304.0,0.925
304.5,0.923
305.0,0.921
305.5,0.919
306.0,0.918
306.5,0.916
307.0,0.914
307.5,0.913
308.0,0.912
308.5,0.912
309.0,0.911
309.5,0.910
310.0,0.909
310.5,0.908
311.0,0.908
311.5,0.908
312.0,0.909
312.5,0.910
313.0,0.910
313.5,0.910
314.0,0.910
314.5,0.911
315.0,0.911
315.5,0.912
316.0,0.913
316.5,0.913
317.0,0.912
317.5,0.912
318.0,0.912
318.5,0.912
319.0,0.911
319.5,0.910
320.0,0.909
320.5,0.908
321.0,0.908
321.5,0.907
322.0,0.906
322.5,0.904
323.0,0.901
323.5,0.897
324.0,0.894
324.5,0.890
325.0,0.888
325.5,0.885
326.0,0.882
326.5,0.877
327.0,0.873
327.5,0.868
328.0,0.865
328.5,0.861
329.0,0.857
329.5,0.851
330.0,0.845
330.5,0.838
331.0,0.831
331.5,0.824
332.0,0.815
332.5,0.807
333.0,0.799
333.5,0.792
334.0,0.785
334.5,0.778
335.0,0.769
335.5,0.760
336.0,0.752
336.5,0.744
337.0,0.736
337.5,0.727
338.0,0.716
338.5,0.705
339.0,0.695
339.5,0.687
340.0,0.679
340.5,0.670
341.0,0.658
341.5,0.643
342.0,0.630
342.5,0.619
343.0,0.610
343.5,0.603
344.0,0.595
344.5,0.586
345.0,0.575
345.5,0.564
346.0,0.553
346.5,0.543
347.0,0.536
347.5,0.530
348.0,0.523
348.5,0.513
349.0,0.503
349.5,0.494
350.0,0.488
350.5,0.480
351.0,0.469
351.5,0.454
352.0,0.441
352.5,0.430
353.0,0.423
353.5,0.419
354.0,0.415
354.5,0.411
355.0,0.405
355.5,0.397
356.0,0.385
356.5,0.372
357.0,0.361
357.5,0.355
358.0,0.351
358.5,0.349
359.0,0.346
359.5,0.344
360.0,0.341
360.5,0.337
361.0,0.329
361.5,0.317
362.0,0.305
362.5,0.296
363.0,0.291
