nm,A
215.5,1.516
216.0,1.476
216.5,1.439
217.0,1.402
217.5,1.365
218.0,1.328
218.5,1.292
219.0,1.259
219.5,1.229
220.0,1.2
220.5,1.172
221.0,1.145
221.5,1.119
222.0,1.094
222.5,1.07
223.0,1.048
223.5,1.026
224.0,1.005
224.5,0.985
225.0,0.965
225.5,0.947
226.0,0.93
226.5,0.915
227.0,0.901
227.5,0.887
228.0,0.873
228.5,0.861
229.0,0.849
229.5,0.837
230.0,0.826
230.5,0.815
231.0,0.804
231.5,0.794
232.0,0.783
232.5,0.773
233.0,0.763
233.5,0.753
234.0,0.744
234.5,0.735
235.0,0.726
235.5,0.717
236.0,0.709
236.5,0.701
237.0,0.693
237.5,0.686
238.0,0.679
238.5,0.672
239.0,0.665
239.5,0.659
240.0,0.653
240.5,0.647
241.0,0.642
241.5,0.638
242.0,0.633
242.5,0.629
243.0,0.625
243.5,0.621
244.0,0.617
244.5,0.613
245.0,0.61
245.5,0.607
246.0,0.604
246.5,0.602
247.0,0.599
247.5,0.597
248.0,0.595
248.5,0.593
249.0,0.592
249.5,0.59
250.0,0.589
250.5,0.587
251.0,0.586
251.5,0.584
252.0,0.583
252.5,0.581
253.0,0.58
253.5,0.579
254.0,0.579
254.5,0.579
255.0,0.579
255.5,0.58
256.0,0.58
256.5,0.581
257.0,0.581
257.5,0.582
258.0,0.583
258.5,0.584
259.0,0.586
259.5,0.587
260.0,0.588
260.5,0.59
261.0,0.593
261.5,0.596
262.0,0.599
262.5,0.602
263.0,0.605
263.5,0.609
264.0,0.612
264.5,0.615
265.0,0.618
265.5,0.621
266.0,0.623
266.5,0.625
267.0,0.627
267.5,0.628
268.0,0.631
268.5,0.633
269.0,0.636
269.5,0.639
270.0,0.642
270.5,0.645
271.0,0.649
271.5,0.651
272.0,0.653
272.5,0.654
273.0,0.654
273.5,0.655
274.0,0.655
274.5,0.656
275.0,0.656
275.5,0.656
276.0,0.656
276.5,0.656
277.0,0.657
277.5,0.657
278.0,0.656
278.5,0.655
279.0,0.654
279.5,0.652
280.0,0.65
280.5,0.649
281.0,0.647
281.5,0.645
282.0,0.644
282.5,0.642
283.0,0.639
283.5,0.635
284.0,0.631
284.5,0.627
285.0,0.622
285.5,0.618
286.0,0.613
286.5,0.609
287.0,0.605
287.5,0.601
288.0,0.596
288.5,0.592
289.0,0.588
289.5,0.583
290.0,0.578
290.5,0.573
291.0,0.567
291.5,0.563
292.0,0.558
292.5,0.554
293.0,0.55
293.5,0.546
294.0,0.543
294.5,0.54
295.0,0.537
295.5,0.533
296.0,0.53
296.5,0.527
297.0,0.524
297.5,0.521
298.0,0.519
298.5,0.517
299.0,0.515
299.5,0.513
300.0,0.512
300.5,0.51
301.0,0.507
301.5,0.505
302.0,0.503
302.5,0.5
303.0,0.499
303.5,0.498
304.0,0.497
304.5,0.496
305.0,0.496
305.5,0.495
306.0,0.493
306.5,0.492
307.0,0.492
307.5,0.492
308.0,0.492
308.5,0.492
309.0,0.492
309.5,0.491
310.0,0.49
310.5,0.489
311.0,0.488
311.5,0.488
312.0,0.488
312.5,0.488
313.0,0.489
313.5,0.489
314.0,0.49
314.5,0.49
315.0,0.49
315.5,0.49
316.0,0.491
316.5,0.491
317.0,0.491
317.5,0.491
318.0,0.491
318.5,0.491
319.0,0.491
319.5,0.49
320.0,0.49
320.5,0.489
321.0,0.488
321.5,0.488
322.0,0.488
322.5,0.488
323.0,0.487
323.5,0.485
324.0,0.483
324.5,0.481
325.0,0.48
325.5,0.478
326.0,0.475
326.5,0.473
327.0,0.47
327.5,0.468
328.0,0.467
328.5,0.465
329.0,0.463
329.5,0.461
330.0,0.458
330.5,0.456
331.0,0.452
331.5,0.448
332.0,0.442
332.5,0.436
333.0,0.43
333.5,0.427
334.0,0.425
334.5,0.423
335.0,0.419
335.5,0.413
336.0,0.407
336.5,0.402
337.0,0.398
337.5,0.394
338.0,0.389
338.5,0.384
339.0,0.377
339.5,0.369
340.0,0.362
340.5,0.355
341.0,0.35
341.5,0.344
342.0,0.338
342.5,0.333
343.0,0.33
343.5,0.328
344.0,0.326
344.5,0.322
345.0,0.316
345.5,0.307
346.0,0.297
346.5,0.289
347.0,0.285
347.5,0.284
348.0,0.283
348.5,0.281
349.0,0.278
349.5,0.276
350.0,0.273
350.5,0.268
351.0,0.26
351.5,0.251
352.0,0.243
352.5,0.236
353.0,0.232
353.5,0.23
354.0,0.228
354.5,0.226
355.0,0.223
355.5,0.217
356.0,0.212
356.5,0.208
357.0,0.203
357.5,0.2
358.0,0.196
358.5,0.191
359.0,0.188
359.5,0.185
360.0,0.184
360.5,0.181
361.0,0.174
361.5,0.166
362.0,0.159
362.5,0.156
363.0,0.156
363.5,0.158
364.0,0.16
364.5,0.161
365.0,0.162
365.5,0.158
366.0,0.149
366.5,0.139
367.0,0.13
367.5,0.126
368.0,0.125
368.5,0.125
369.0,0.125
369.5,0.127
370.0,0.129
370.5,0.133
371.0,0.136
371.5,0.136
372.0,0.132
372.5,0.125
373.0,0.118
373.5,0.113
374.0,0.114
374.5,0.121
375.0,0.13
375.5,0.137
376.0,0.139
376.5,0.134
377.0,0.127
377.5,0.12
378.0,0.115
378.5,0.112
379.0,0.106
379.5,0.1
380.0,0.096
380.5,0.099
381.0,0.109
381.5,0.118
382.0,0.123
382.5,0.121
383.0,0.113
383.5,0.103
384.0,0.095
384.5,0.096
385.0,0.106
385.5,0.121
386.0,0.129
386.5,0.125
387.0,0.112
387.5,0.1
388.0,0.096
388.5,0.098
389.0,0.096
389.5,0.09
390.0,0.085
390.5,0.084
391.0,0.087
391.5,0.09
392.0,0.088
392.5,0.08
393.0,0.073
393.5,0.072
394.0,0.079
394.5,0.087
395.0,0.091
395.5,0.091
396.0,0.09
396.5,0.09
397.0,0.088
397.5,0.082
398.0,0.075
398.5,0.073
399.0,0.074
399.5,0.077
400.0,0.08
400.5,0.082
401.0,0.084
401.5,0.084
402.0,0.081
402.5,0.078
403.0,0.077
403.5,0.077
404.0,0.078
404.5,0.077
405.0,0.074
405.5,0.072
406.0,0.07
