nm,A_7_5g,A_15g,A_18g,A_22_5g
235.0,0.726,2.476,1.47,1.369
235.5,0.717,2.423,1.45,1.351
236.0,0.709,2.37,1.432,1.334
236.5,0.701,2.321,1.415,1.318
237.0,0.693,2.278,1.399,1.303
237.5,0.686,2.243,1.384,1.288
238.0,0.679,2.21,1.369,1.275
238.5,0.672,2.178,1.354,1.261
239.0,0.665,2.148,1.339,1.249
239.5,0.659,2.12,1.326,1.238
240.0,0.653,2.096,1.314,1.226
240.5,0.647,2.074,1.303,1.216
241.0,0.642,2.053,1.292,1.206
241.5,0.638,2.031,1.282,1.196
242.0,0.633,2.011,1.272,1.188
242.5,0.629,1.992,1.263,1.18
243.0,0.625,1.974,1.255,1.172
243.5,0.621,1.958,1.247,1.164
244.0,0.617,1.943,1.239,1.157
244.5,0.613,1.93,1.232,1.151
245.0,0.61,1.917,1.226,1.145
245.5,0.607,1.907,1.22,1.139
246.0,0.604,1.898,1.215,1.134
246.5,0.602,1.89,1.21,1.13
247.0,0.599,1.881,1.205,1.125
247.5,0.597,1.872,1.201,1.122
248.0,0.595,1.864,1.196,1.118
248.5,0.593,1.857,1.193,1.115
249.0,0.592,1.852,1.19,1.112
249.5,0.59,1.848,1.187,1.109
250.0,0.589,1.844,1.185,1.106
250.5,0.587,1.839,1.182,1.104
251.0,0.586,1.833,1.18,1.102
251.5,0.584,1.828,1.177,1.1
252.0,0.583,1.824,1.175,1.098
252.5,0.581,1.82,1.173,1.096
253.0,0.58,1.816,1.172,1.095
253.5,0.579,1.812,1.171,1.094
254.0,0.579,1.81,1.171,1.093
254.5,0.579,1.809,1.171,1.093
255.0,0.579,1.809,1.172,1.094
255.5,0.58,1.812,1.174,1.095
256.0,0.58,1.815,1.175,1.097
256.5,0.581,1.821,1.177,1.099
257.0,0.581,1.828,1.179,1.101
257.5,0.582,1.834,1.182,1.104
258.0,0.583,1.84,1.185,1.107
258.5,0.584,1.844,1.188,1.11
259.0,0.586,1.848,1.192,1.112
259.5,0.587,1.852,1.195,1.115
260.0,0.588,1.857,1.199,1.118
260.5,0.59,1.864,1.204,1.122
261.0,0.593,1.872,1.21,1.127
261.5,0.596,1.884,1.217,1.133
262.0,0.599,1.897,1.224,1.139
262.5,0.602,1.911,1.231,1.146
263.0,0.605,1.924,1.238,1.153
263.5,0.609,1.937,1.246,1.159
264.0,0.612,1.951,1.253,1.165
264.5,0.615,1.966,1.261,1.171
265.0,0.618,1.981,1.268,1.177
265.5,0.621,1.994,1.274,1.183
266.0,0.623,2.002,1.278,1.188
266.5,0.625,2.008,1.282,1.192
267.0,0.627,2.015,1.285,1.196
267.5,0.628,2.024,1.289,1.2
268.0,0.631,2.034,1.294,1.204
268.5,0.633,2.044,1.3,1.208
269.0,0.636,2.052,1.305,1.214
269.5,0.639,2.06,1.311,1.219
270.0,0.642,2.071,1.317,1.224
270.5,0.645,2.083,1.323,1.23
271.0,0.649,2.097,1.329,1.235
271.5,0.651,2.112,1.335,1.239
272.0,0.653,2.124,1.34,1.243
272.5,0.654,2.131,1.344,1.245
273.0,0.654,2.133,1.346,1.247
273.5,0.655,2.134,1.347,1.248
274.0,0.655,2.135,1.347,1.249
274.5,0.656,2.137,1.348,1.25
275.0,0.656,2.137,1.347,1.251
275.5,0.656,2.136,1.346,1.25
276.0,0.656,2.134,1.344,1.249
276.5,0.656,2.132,1.343,1.248
277.0,0.657,2.132,1.343,1.247
277.5,0.657,2.132,1.343,1.246
278.0,0.656,2.131,1.343,1.245
278.5,0.655,2.13,1.341,1.244
279.0,0.654,2.13,1.338,1.242
279.5,0.652,2.128,1.335,1.239
280.0,0.65,2.121,1.332,1.236
280.5,0.649,2.11,1.328,1.232
281.0,0.647,2.098,1.325,1.229
281.5,0.645,2.086,1.321,1.225
282.0,0.644,2.075,1.315,1.22
282.5,0.642,2.063,1.309,1.215
283.0,0.639,2.051,1.302,1.208
283.5,0.635,2.038,1.294,1.201
284.0,0.631,2.026,1.286,1.195
284.5,0.627,2.012,1.277,1.187
285.0,0.622,1.997,1.267,1.179
285.5,0.618,1.979,1.257,1.17
286.0,0.613,1.96,1.248,1.16
286.5,0.609,1.941,1.239,1.152
287.0,0.605,1.924,1.23,1.143
287.5,0.601,1.909,1.22,1.135
288.0,0.596,1.895,1.21,1.127
288.5,0.592,1.881,1.2,1.117
289.0,0.588,1.866,1.19,1.107
289.5,0.583,1.85,1.18,1.097
290.0,0.578,1.832,1.169,1.087
290.5,0.573,1.814,1.159,1.078
291.0,0.567,1.795,1.149,1.069
291.5,0.563,1.778,1.139,1.06
292.0,0.558,1.761,1.129,1.051
292.5,0.554,1.744,1.119,1.042
293.0,0.55,1.729,1.111,1.035
293.5,0.546,1.716,1.103,1.028
294.0,0.543,1.704,1.095,1.021
294.5,0.54,1.693,1.087,1.014
295.0,0.537,1.68,1.08,1.007
295.5,0.533,1.666,1.072,1.0
296.0,0.53,1.653,1.065,0.994
296.5,0.527,1.642,1.058,0.987
297.0,0.524,1.631,1.052,0.982
297.5,0.521,1.62,1.047,0.977
298.0,0.519,1.61,1.042,0.971
298.5,0.517,1.601,1.037,0.966
299.0,0.515,1.591,1.032,0.962
299.5,0.513,1.582,1.028,0.958
300.0,0.512,1.573,1.023,0.954
300.5,0.51,1.565,1.019,0.951
301.0,0.507,1.558,1.015,0.946
301.5,0.505,1.551,1.011,0.942
302.0,0.503,1.546,1.007,0.937
302.5,0.5,1.54,1.003,0.933
303.0,0.499,1.535,1.0,0.93
303.5,0.498,1.528,0.996,0.928
304.0,0.497,1.523,0.993,0.925
304.5,0.496,1.519,0.991,0.923
305.0,0.496,1.516,0.989,0.921
305.5,0.495,1.514,0.987,0.919
306.0,0.493,1.512,0.986,0.918
306.5,0.492,1.51,0.984,0.916
307.0,0.492,1.507,0.982,0.914
307.5,0.492,1.504,0.98,0.913
308.0,0.492,1.5,0.98,0.912
308.5,0.492,1.496,0.98,0.912
309.0,0.492,1.493,0.979,0.911
309.5,0.491,1.49,0.978,0.91
310.0,0.49,1.489,0.977,0.909
310.5,0.489,1.489,0.976,0.908
311.0,0.488,1.489,0.975,0.908
311.5,0.488,1.49,0.975,0.908
312.0,0.488,1.491,0.975,0.909
312.5,0.488,1.492,0.976,0.91
313.0,0.489,1.493,0.977,0.91
313.5,0.489,1.492,0.978,0.91
314.0,0.49,1.49,0.977,0.91
314.5,0.49,1.488,0.977,0.911
315.0,0.49,1.488,0.978,0.911
315.5,0.49,1.491,0.979,0.912
316.0,0.491,1.495,0.98,0.913
316.5,0.491,1.498,0.98,0.913
317.0,0.491,1.499,0.98,0.912
317.5,0.491,1.498,0.979,0.912
318.0,0.491,1.496,0.979,0.912
318.5,0.491,1.494,0.98,0.912
319.0,0.491,1.493,0.98,0.911
319.5,0.49,1.491,0.98,0.91
320.0,0.49,1.489,0.978,0.909
320.5,0.489,1.486,0.977,0.908
321.0,0.488,1.482,0.974,0.908
321.5,0.488,1.478,0.972,0.907
322.0,0.488,1.476,0.97,0.906
322.5,0.488,1.475,0.969,0.904
323.0,0.487,1.474,0.967,0.901
323.5,0.485,1.472,0.965,0.897
324.0,0.483,1.468,0.963,0.894
324.5,0.481,1.461,0.96,0.89
325.0,0.48,1.454,0.956,0.888
325.5,0.478,1.447,0.952,0.885
326.0,0.475,1.44,0.948,0.882
326.5,0.473,1.434,0.943,0.877
327.0,0.47,1.427,0.938,0.873
327.5,0.468,1.42,0.933,0.868
328.0,0.467,1.411,0.928,0.865
328.5,0.465,1.403,0.923,0.861
329.0,0.463,1.395,0.917,0.857
329.5,0.461,1.388,0.911,0.851
330.0,0.458,1.379,0.905,0.845
330.5,0.456,1.368,0.899,0.838
331.0,0.452,1.356,0.892,0.831
331.5,0.448,1.345,0.884,0.824
332.0,0.442,1.335,0.875,0.815
332.5,0.436,1.325,0.865,0.807
333.0,0.43,1.311,0.856,0.799
333.5,0.427,1.296,0.848,0.792
334.0,0.425,1.28,0.841,0.785
334.5,0.423,1.265,0.834,0.778
335.0,0.419,1.251,0.826,0.769
335.5,0.413,1.237,0.816,0.76
336.0,0.407,1.221,0.806,0.752
336.5,0.402,1.206,0.796,0.744
337.0,0.398,1.191,0.787,0.736
337.5,0.394,1.177,0.776,0.727
338.0,0.389,1.163,0.766,0.716
338.5,0.384,1.148,0.754,0.705
339.0,0.377,1.134,0.741,0.695
339.5,0.369,1.119,0.729,0.687
340.0,0.362,1.103,0.717,0.679
340.5,0.355,1.084,0.706,0.67
341.0,0.35,1.061,0.695,0.658
341.5,0.344,1.036,0.685,0.643
342.0,0.338,1.005,0.678,0.63
342.5,0.333,0.969,0.672,0.619
343.0,0.33,0.936,0.663,0.61
343.5,0.328,0.919,0.652,0.603
344.0,0.326,0.92,0.638,0.595
344.5,0.322,0.928,0.623,0.586
345.0,0.316,0.928,0.608,0.575
345.5,0.307,0.915,0.592,0.564
346.0,0.297,0.893,0.579,0.553
346.5,0.289,0.87,0.569,0.543
347.0,0.285,0.852,0.56,0.536
347.5,0.284,0.838,0.552,0.53
348.0,0.283,0.827,0.543,0.523
348.5,0.281,0.816,0.534,0.513
349.0,0.278,0.805,0.527,0.503
349.5,0.276,0.795,0.521,0.494
350.0,0.273,0.786,0.514,0.488
350.5,0.268,0.774,0.504,0.48
351.0,0.26,0.758,0.492,0.469
351.5,0.251,0.74,0.481,0.454
352.0,0.243,0.722,0.47,0.441
352.5,0.236,0.702,0.46,0.43
353.0,0.232,0.681,0.451,0.423
353.5,0.23,0.662,0.443,0.419
354.0,0.228,0.644,0.436,0.415
354.5,0.226,0.631,0.431,0.411
355.0,0.223,0.62,0.425,0.405
355.5,0.217,0.611,0.419,0.397
356.0,0.212,0.601,0.41,0.385
356.5,0.208,0.589,0.398,0.372
357.0,0.203,0.575,0.382,0.361
357.5,0.2,0.561,0.369,0.355
358.0,0.196,0.55,0.362,0.351
358.5,0.191,0.543,0.358,0.349
359.0,0.188,0.538,0.354,0.346
359.5,0.185,0.535,0.347,0.344
360.0,0.184,0.531,0.341,0.341
360.5,0.181,0.524,0.337,0.337
361.0,0.174,0.51,0.334,0.329
361.5,0.166,0.487,0.327,0.317
362.0,0.159,0.463,0.319,0.305
362.5,0.156,0.448,0.31,0.296
363.0,0.156,0.446,0.303,0.291
363.5,0.158,0.455,0.299,0.289
364.0,0.16,0.468,0.297,0.286
364.5,0.161,0.478,0.295,0.283
365.0,0.162,0.481,0.293,0.28
365.5,0.158,0.47,0.29,0.277
366.0,0.149,0.444,0.284,0.27
366.5,0.139,0.412,0.274,0.259
367.0,0.13,0.383,0.263,0.249
367.5,0.126,0.363,0.253,0.245
368.0,0.125,0.356,0.247,0.248
368.5,0.125,0.36,0.244,0.252
369.0,0.125,0.373,0.243,0.252
369.5,0.127,0.384,0.244,0.249
370.0,0.129,0.383,0.249,0.246
370.5,0.133,0.372,0.256,0.244
371.0,0.136,0.36,0.262,0.238
