nm,A
204.0,-0.001
204.5,-0.002
205.0,-0.003
205.5,-0.003
206.0,-0.004
206.5,-0.005
207.0,-0.005
207.5,-0.005
208.0,-0.005
208.5,-0.005
209.0,-0.004
209.5,-0.004
210.0,-0.004
210.5,-0.004
211.0,-0.004
211.5,-0.004
212.0,-0.004
212.5,-0.004
213.0,-0.004
213.5,-0.003
214.0,-0.003
214.5,-0.003
215.0,-0.003
215.5,-0.003
216.0,-0.003
216.5,-0.003
217.0,-0.003
217.5,-0.003
218.0,-0.003
218.5,-0.003
219.0,-0.002
219.5,-0.002
220.0,-0.002
220.5,-0.001
221.0,-0.001
221.5,-0.001
222.0,-0.001
222.5,-0.001
223.0,-0.001
223.5,-0.001
224.0,-0.001
224.5,-0.001
225.0,-0.001
225.5,-0.001
226.0,0.0
226.5,0.0
227.0,0.0
227.5,0.0
228.0,0.0
228.5,0.0
229.0,0.0
229.5,0.0
230.0,0.0
230.5,0.0
231.0,0.0
231.5,0.0
232.0,0.0
232.5,0.0
233.0,0.0
233.5,0.0
234.0,0.0
234.5,0.001
235.0,0.001
235.5,0.001
236.0,0.001
236.5,0.001
237.0,0.0
237.5,0.0
238.0,0.0
238.5,0.0
239.0,0.0
239.5,0.001
240.0,0.001
240.5,0.0
241.0,0.0
241.5,0.0
242.0,0.0
242.5,0.0
243.0,0.0
243.5,0.001
244.0,0.001
244.5,0.0
245.0,0.0
245.5,0.0
246.0,0.0
246.5,0.001
247.0,0.001
247.5,0.001
248.0,0.001
248.5,0.001
249.0,0.001
249.5,0.001
250.0,0.0
250.5,0.0
251.0,0.0
251.5,0.0
252.0,0.0
252.5,0.0
253.0,0.001
253.5,0.001
254.0,0.0
254.5,0.0
255.0,0.0
255.5,0.001
256.0,0.0
256.5,0.0
257.0,0.0
257.5,0.0
258.0,0.001
258.5,0.0
259.0,0.0
259.5,0.0
260.0,0.0
260.5,0.0
261.0,0.0
261.5,0.001
262.0,0.001
262.5,0.001
263.0,0.001
263.5,0.0
264.0,0.0
264.5,0.0
265.0,0.0
265.5,0.001
266.0,0.001
266.5,0.001
267.0,0.001
267.5,0.0
268.0,0.0
268.5,-0.001
269.0,-0.001
269.5,-0.001
270.0,-0.001
270.5,0.0
271.0,0.001
271.5,0.001
272.0,0.001
272.5,0.001
273.0,0.001
273.5,0.001
274.0,0.0
274.5,0.0
275.0,0.0
275.5,0.0
276.0,0.0
276.5,0.0
277.0,0.001
277.5,0.002
278.0,0.002
278.5,0.002
279.0,0.001
279.5,0.001
280.0,0.001
280.5,0.0
281.0,0.0
281.5,-0.001
282.0,0.0
282.5,0.0
283.0,0.001
283.5,0.001
284.0,0.0
284.5,0.0
285.0,0.0
285.5,-0.001
286.0,-0.001
286.5,-0.001
287.0,-0.001
287.5,-0.001
288.0,-0.001
288.5,-0.001
289.0,-0.001
289.5,0.0
290.0,0.0
290.5,0.0
291.0,0.0
291.5,-0.001
292.0,-0.001
292.5,-0.002
293.0,-0.002
293.5,-0.001
294.0,0.0
294.5,0.001
295.0,0.001
295.5,0.001
296.0,0.001
296.5,0.001
297.0,0.001
297.5,0.001
298.0,0.001
298.5,0.001
299.0,0.001
299.5,0.001
300.0,0.002
300.5,0.002
301.0,0.001
301.5,0.0
302.0,0.0
302.5,0.0
303.0,0.001
303.5,0.001
304.0,0.001
304.5,0.001
305.0,0.001
305.5,0.0
306.0,0.0
306.5,0.0
307.0,0.0
307.5,0.001
308.0,0.002
308.5,0.002
309.0,0.002
309.5,0.002
310.0,0.001
310.5,0.0
311.0,-0.001
311.5,-0.001
312.0,-0.001
312.5,0.0
313.0,0.001
313.5,0.002
314.0,0.001
314.5,0.0
315.0,0.0
315.5,-0.001
316.0,0.0
316.5,0.001
317.0,0.002
317.5,0.003
318.0,0.002
318.5,0.001
319.0,0.001
