Batch,scan003
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,08:10:26
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,27.575
395.0,27.752
396.0,29.249
397.0,29.654
398.0,29.414
399.0,30.180
400.0,31.088
401.0,32.006
402.0,33.591
403.0,35.077
404.0,35.554
405.0,35.327
406.0,35.395
407.0,36.293
408.0,37.285
409.0,37.531
410.0,37.478
411.0,37.897
412.0,38.473
413.0,38.906
414.0,39.852
415.0,41.694
416.0,43.169
417.0,42.987
418.0,42.343
419.0,42.557
420.0,43.070
421.0,43.562
422.0,44.462
423.0,45.649
424.0,47.013
425.0,47.771
426.0,47.251
427.0,47.252
428.0,48.241
429.0,49.101
430.0,50.304
431.0,51.365
432.0,50.930
433.0,50.287
434.0,51.555
435.0,52.907
436.0,52.187
437.0,51.469
438.0,52.078
439.0,52.908
440.0,52.992
441.0,52.395
442.0,53.219
443.0,55.379
444.0,55.772
445.0,55.159
446.0,55.315
447.0,54.899
448.0,54.951
449.0,56.808
450.0,58.350
451.0,58.609
452.0,57.724
453.0,56.491
454.0,57.392
455.0,59.514
456.0,60.171
457.0,60.347
458.0,60.843
459.0,61.023
460.0,61.195
461.0,60.974
462.0,60.817
463.0,62.247
464.0,63.953
465.0,64.075
466.0,63.504
467.0,63.564
468.0,63.916
469.0,63.750
470.0,63.617
471.0,64.274
472.0,65.108
473.0,65.531
474.0,65.934
475.0,66.607
476.0,66.920
477.0,66.567
478.0,66.594
479.0,67.291
480.0,67.832
481.0,68.321
482.0,69.170
483.0,69.765
484.0,69.749
485.0,69.902
486.0,70.291
487.0,70.404
488.0,70.408
489.0,70.689
490.0,71.117
491.0,71.429
492.0,72.111
493.0,72.580
494.0,72.304
495.0,72.564
496.0,73.197
497.0,73.535
498.0,74.110
499.0,74.251
500.0,73.513
501.0,73.424
502.0,74.508
503.0,75.256
504.0,75.044
505.0,74.965
506.0,75.390
507.0,75.373
508.0,75.208
509.0,75.901
510.0,76.562
511.0,76.286
512.0,76.053
513.0,76.598
514.0,77.057
515.0,76.872
516.0,77.167
517.0,78.408
518.0,78.958
519.0,78.431
520.0,78.194
521.0,78.413
522.0,78.639
523.0,78.657
524.0,78.578
525.0,78.750
526.0,79.016
527.0,79.243
528.0,79.402
529.0,79.776
530.0,80.581
531.0,80.859
532.0,80.216
533.0,79.807
534.0,80.221
535.0,80.909
536.0,81.565
