Batch,scan002
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,08:05:46
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,48.711
395.0,49.464
396.0,48.473
397.0,47.441
398.0,48.560
399.0,51.194
400.0,51.831
401.0,51.062
402.0,51.605
403.0,52.220
404.0,53.318
405.0,55.549
406.0,55.518
407.0,54.585
408.0,56.420
409.0,58.346
410.0,58.388
411.0,58.104
412.0,57.590
413.0,57.139
414.0,58.233
415.0,60.269
416.0,60.729
417.0,59.637
418.0,59.027
419.0,59.196
420.0,59.565
421.0,60.279
422.0,61.946
423.0,63.227
424.0,63.597
425.0,64.930
426.0,65.688
427.0,64.651
428.0,64.225
429.0,65.147
430.0,66.457
431.0,67.519
432.0,67.550
433.0,67.235
434.0,68.201
435.0,68.747
436.0,68.275
437.0,69.073
438.0,69.737
439.0,69.287
440.0,69.576
441.0,69.796
442.0,69.419
443.0,69.991
444.0,70.365
445.0,70.159
446.0,70.934
447.0,71.214
448.0,70.968
449.0,71.854
450.0,72.626
451.0,72.209
452.0,70.941
453.0,70.505
454.0,72.397
455.0,74.258
456.0,74.084
457.0,73.639
458.0,73.846
459.0,74.095
460.0,74.468
461.0,74.472
462.0,74.104
463.0,74.876
464.0,76.300
465.0,76.747
466.0,76.528
467.0,76.084
468.0,75.730
469.0,76.099
470.0,76.342
471.0,75.881
472.0,76.200
473.0,77.476
474.0,77.904
475.0,77.476
476.0,77.663
477.0,78.589
478.0,79.494
479.0,79.601
480.0,78.859
481.0,78.509
482.0,78.900
483.0,79.108
484.0,79.171
485.0,79.541
486.0,79.905
487.0,80.465
488.0,81.228
489.0,81.341
490.0,80.967
491.0,80.852
492.0,80.999
493.0,80.846
494.0,80.677
495.0,81.026
496.0,81.302
497.0,81.617
498.0,82.398
499.0,82.746
500.0,82.148
501.0,81.729
502.0,82.411
503.0,83.331
504.0,83.175
505.0,82.475
506.0,82.801
507.0,83.485
508.0,83.485
509.0,83.777
510.0,84.288
511.0,84.237
512.0,84.278
513.0,84.685
514.0,84.765
515.0,84.354
516.0,84.250
517.0,85.061
518.0,85.562
519.0,84.894
520.0,84.426
521.0,84.769
522.0,85.195
523.0,85.193
524.0,84.996
525.0,85.216
526.0,85.558
527.0,85.613
528.0,85.641
529.0,86.100
530.0,86.938
531.0,86.947
532.0,86.179
533.0,86.024
534.0,86.141
535.0,86.248
536.0,87.031
