Batch,scan001
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,08:02:35
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,98.661
395.0,99.265
396.0,98.850
397.0,97.366
398.0,97.271
399.0,98.582
400.0,96.348
401.0,94.182
402.0,98.021
403.0,102.359
404.0,102.068
405.0,100.488
406.0,100.358
407.0,100.970
408.0,101.611
409.0,102.965
410.0,102.929
411.0,100.028
412.0,99.314
413.0,100.815
414.0,100.093
415.0,99.465
416.0,99.887
417.0,99.383
418.0,97.943
419.0,95.626
420.0,94.532
421.0,95.908
422.0,98.496
423.0,100.680
424.0,102.052
425.0,103.579
426.0,103.776
427.0,101.827
428.0,100.063
429.0,100.941
430.0,103.761
431.0,103.689
432.0,100.164
433.0,99.458
434.0,102.204
435.0,102.626
436.0,101.629
437.0,101.405
438.0,100.218
439.0,99.676
440.0,99.552
441.0,99.472
442.0,101.536
443.0,101.839
444.0,98.519
445.0,98.138
446.0,100.837
447.0,99.682
448.0,96.782
449.0,97.971
450.0,101.687
451.0,103.151
452.0,100.201
453.0,97.727
454.0,99.482
455.0,100.479
456.0,99.355
457.0,99.556
458.0,100.102
459.0,100.102
460.0,100.720
461.0,100.971
462.0,100.343
463.0,100.252
464.0,100.890
465.0,101.546
466.0,101.215
467.0,99.879
468.0,99.358
469.0,99.585
470.0,98.890
471.0,98.081
472.0,99.087
473.0,100.264
474.0,99.468
475.0,98.905
476.0,99.929
477.0,100.197
478.0,99.277
479.0,99.080
480.0,99.696
481.0,100.042
482.0,99.954
483.0,99.614
484.0,99.334
485.0,99.417
486.0,99.495
487.0,99.622
488.0,99.905
489.0,99.664
490.0,99.431
491.0,100.063
492.0,100.589
493.0,100.317
494.0,99.831
495.0,99.427
496.0,99.485
497.0,100.193
498.0,100.498
499.0,99.816
500.0,99.016
501.0,98.780
502.0,99.044
503.0,99.508
504.0,99.480
505.0,99.226
506.0,99.659
507.0,99.745
508.0,99.075
509.0,99.352
510.0,100.290
511.0,100.316
512.0,99.798
513.0,99.802
514.0,100.220
515.0,100.113
516.0,99.814
517.0,100.289
518.0,100.516
519.0,100.107
520.0,100.006
521.0,99.689
522.0,99.307
523.0,99.518
524.0,99.740
525.0,99.803
526.0,99.860
527.0,99.825
528.0,99.454
529.0,99.420
530.0,100.482
531.0,100.919
532.0,99.954
533.0,99.378
534.0,99.438
535.0,99.459
536.0,100.029
