Batch,scan003
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,07:22:26
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,23.197
395.0,23.450
396.0,23.614
397.0,25.055
398.0,25.829
399.0,25.043
400.0,25.259
401.0,27.125
402.0,28.012
403.0,27.875
404.0,28.661
405.0,29.458
406.0,29.805
407.0,30.613
408.0,31.052
409.0,31.367
410.0,32.489
411.0,33.099
412.0,32.712
413.0,32.934
414.0,34.110
415.0,35.068
416.0,35.610
417.0,36.137
418.0,36.943
419.0,38.294
420.0,38.874
421.0,38.443
422.0,39.251
423.0,40.796
424.0,41.335
425.0,41.856
426.0,42.724
427.0,43.091
428.0,42.813
429.0,42.282
430.0,42.879
431.0,44.717
432.0,45.955
433.0,45.752
434.0,44.947
435.0,45.232
436.0,46.678
437.0,47.329
438.0,46.797
439.0,46.791
440.0,48.021
441.0,48.945
442.0,48.750
443.0,49.108
444.0,50.364
445.0,51.186
446.0,51.898
447.0,52.808
448.0,53.278
449.0,53.054
450.0,52.616
451.0,53.080
452.0,53.923
453.0,54.013
454.0,54.332
455.0,55.118
456.0,55.632
457.0,56.693
458.0,57.598
459.0,57.081
460.0,57.188
461.0,58.452
462.0,58.462
463.0,57.575
464.0,57.795
465.0,58.870
466.0,59.534
467.0,59.650
468.0,59.919
469.0,60.610
470.0,61.490
471.0,61.833
472.0,61.559
473.0,61.851
474.0,62.447
475.0,62.587
476.0,62.906
477.0,63.348
478.0,63.609
479.0,64.114
480.0,64.816
481.0,65.115
482.0,65.068
483.0,65.523
484.0,66.229
485.0,66.224
486.0,66.154
487.0,67.028
488.0,68.091
489.0,68.130
490.0,67.648
491.0,67.606
492.0,67.738
493.0,68.388
494.0,69.770
495.0,70.430
496.0,70.102
497.0,70.057
498.0,70.547
499.0,70.882
500.0,70.924
501.0,71.044
502.0,71.251
503.0,71.593
504.0,72.227
505.0,72.730
506.0,72.830
507.0,72.983
508.0,73.408
509.0,73.809
510.0,74.133
511.0,74.405
512.0,74.458
513.0,74.624
514.0,75.080
515.0,75.140
516.0,74.919
517.0,74.852
518.0,74.889
519.0,75.694
520.0,76.643
521.0,76.529
522.0,76.433
523.0,77.003
524.0,77.513
525.0,77.652
526.0,77.553
527.0,77.805
528.0,78.437
529.0,78.830
530.0,79.035
531.0,79.089
532.0,78.966
533.0,79.290
534.0,79.992
535.0,80.312
536.0,80.172
