Batch,scan002
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,07:18:02
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,41.922
395.0,42.785
396.0,42.630
397.0,44.588
398.0,44.838
399.0,43.146
400.0,44.345
401.0,46.989
402.0,47.393
403.0,47.151
404.0,48.168
405.0,49.453
406.0,50.797
407.0,51.666
408.0,50.574
409.0,49.433
410.0,50.205
411.0,50.611
412.0,50.731
413.0,52.780
414.0,54.413
415.0,54.429
416.0,54.760
417.0,55.129
418.0,55.425
419.0,55.946
420.0,55.700
421.0,55.564
422.0,56.564
423.0,57.289
424.0,58.100
425.0,59.787
426.0,60.682
427.0,60.983
428.0,60.841
429.0,59.231
430.0,58.937
431.0,61.556
432.0,63.606
433.0,63.114
434.0,62.184
435.0,63.011
436.0,64.662
437.0,64.693
438.0,63.531
439.0,63.685
440.0,64.745
441.0,64.646
442.0,64.038
443.0,64.107
444.0,64.991
445.0,66.467
446.0,67.253
447.0,67.501
448.0,68.003
449.0,67.835
450.0,67.570
451.0,68.162
452.0,67.831
453.0,66.749
454.0,67.434
455.0,69.014
456.0,69.806
457.0,70.136
458.0,70.010
459.0,69.708
460.0,70.116
461.0,71.034
462.0,71.449
463.0,71.432
464.0,71.483
465.0,71.471
466.0,71.563
467.0,71.901
468.0,72.429
469.0,73.278
470.0,73.964
471.0,73.501
472.0,72.758
473.0,73.150
474.0,73.650
475.0,73.950
476.0,74.660
477.0,74.843
478.0,74.721
479.0,74.996
480.0,75.169
481.0,75.497
482.0,75.981
483.0,76.025
484.0,76.145
485.0,76.522
486.0,76.672
487.0,77.291
488.0,78.527
489.0,78.616
490.0,77.611
491.0,77.188
492.0,77.011
493.0,77.209
494.0,78.390
495.0,78.869
496.0,78.126
497.0,77.671
498.0,78.039
499.0,78.869
500.0,79.358
501.0,79.270
502.0,79.371
503.0,79.947
504.0,80.836
505.0,81.514
506.0,81.287
507.0,80.718
508.0,80.977
509.0,81.639
510.0,81.716
511.0,81.533
512.0,81.503
513.0,81.766
514.0,82.063
515.0,81.784
516.0,81.851
517.0,82.535
518.0,82.814
519.0,83.195
520.0,83.482
521.0,83.183
522.0,83.279
523.0,83.402
524.0,83.132
525.0,83.328
526.0,83.867
527.0,84.226
528.0,84.294
529.0,84.404
530.0,84.989
531.0,85.349
532.0,85.216
533.0,85.141
534.0,85.151
535.0,85.334
536.0,85.251
