Batch,scan001
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,10/10/2025
Time Collected,07:12:49
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,101.931
395.0,103.869
396.0,103.654
397.0,105.937
398.0,105.218
399.0,98.443
400.0,93.295
401.0,95.307
402.0,100.186
403.0,101.727
404.0,100.251
405.0,99.151
406.0,100.465
407.0,101.989
408.0,101.490
409.0,101.141
410.0,99.486
411.0,96.813
412.0,97.399
413.0,99.001
414.0,99.222
415.0,99.104
416.0,98.937
417.0,99.391
418.0,100.250
419.0,99.919
420.0,98.631
421.0,99.417
422.0,101.904
423.0,101.341
424.0,99.202
425.0,101.254
426.0,104.578
427.0,103.662
428.0,100.635
429.0,99.093
430.0,100.362
431.0,103.046
432.0,103.878
433.0,102.856
434.0,101.987
435.0,102.389
436.0,102.885
437.0,100.977
438.0,98.470
439.0,98.269
440.0,98.870
441.0,98.820
442.0,98.746
443.0,98.963
444.0,98.875
445.0,99.063
446.0,100.935
447.0,102.330
448.0,101.422
449.0,99.936
450.0,98.822
451.0,98.775
452.0,99.606
453.0,99.749
454.0,99.785
455.0,100.045
456.0,99.459
457.0,99.283
458.0,100.172
459.0,99.854
460.0,98.870
461.0,99.769
462.0,100.976
463.0,100.418
464.0,99.698
465.0,99.795
466.0,99.832
467.0,99.628
468.0,99.317
469.0,99.286
470.0,99.619
471.0,99.305
472.0,98.632
473.0,98.741
474.0,98.869
475.0,98.935
476.0,99.977
477.0,100.684
478.0,99.822
479.0,98.881
480.0,99.414
481.0,100.168
482.0,99.539
483.0,98.970
484.0,99.291
485.0,99.394
486.0,99.333
487.0,99.526
488.0,99.678
489.0,99.630
490.0,99.473
491.0,98.805
492.0,97.998
493.0,98.729
494.0,100.308
495.0,100.370
496.0,99.263
497.0,98.490
498.0,98.506
499.0,99.325
500.0,99.998
501.0,99.934
502.0,99.806
503.0,99.974
504.0,100.135
505.0,99.807
506.0,99.421
507.0,99.626
508.0,99.998
509.0,100.224
510.0,100.245
511.0,99.829
512.0,99.269
513.0,99.270
514.0,99.652
515.0,99.543
516.0,99.298
517.0,99.357
518.0,99.361
519.0,99.635
520.0,100.089
521.0,100.149
522.0,99.780
523.0,99.239
524.0,99.206
525.0,99.567
526.0,99.726
527.0,100.014
528.0,100.361
529.0,100.333
530.0,100.088
531.0,99.731
532.0,99.548
533.0,99.851
534.0,99.982
535.0,99.777
536.0,99.858
