Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,15/10/2025
Time Collected,06:03:55
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,0.002
204.5,0.003
205.0,0.004
205.5,0.004
206.0,0.002
206.5,0.001
207.0,0.001
207.5,0.001
208.0,0.001
208.5,0.002
209.0,0.002
209.5,0.001
210.0,0.001
210.5,0.001
211.0,0.001
211.5,0.001
212.0,0.002
212.5,0.002
213.0,0.002
213.5,0.002
214.0,0.002
214.5,0.002
215.0,0.002
215.5,0.002
216.0,0.002
216.5,0.002
217.0,0.002
217.5,0.002
218.0,0.002
218.5,0.002
219.0,0.001
219.5,0.001
220.0,0.001
220.5,0.001
221.0,0.001
221.5,0.001
222.0,0.002
222.5,0.002
223.0,0.002
223.5,0.002
224.0,0.002
224.5,0.002
225.0,0.002
225.5,0.002
226.0,0.002
226.5,0.001
227.0,0.001
227.5,0.001
228.0,0.001
228.5,0.001
229.0,0.001
229.5,0.001
230.0,0.001
230.5,0.001
231.0,0.001
231.5,0.001
232.0,0.001
232.5,0.001
233.0,0.001
233.5,0.001
234.0,0.001
234.5,0.001
235.0,0.001
235.5,0.001
236.0,0.001
236.5,0.001
237.0,0.000
237.5,-0.002
238.0,-0.005
238.5,-0.008
239.0,-0.009
239.5,-0.009
240.0,-0.007
240.5,-0.005
241.0,-0.004
241.5,-0.004
242.0,-0.002
242.5,-0.001
243.0,0.000
243.5,0.001
244.0,0.001
244.5,0.001
245.0,0.001
245.5,0.001
246.0,0.001
246.5,0.001
247.0,0.001
247.5,0.001
248.0,0.001
248.5,0.001
249.0,0.001
249.5,0.001
250.0,0.001
250.5,0.001
251.0,0.001
251.5,0.001
252.0,0.001
252.5,0.001
253.0,0.001
253.5,0.001
254.0,0.001
254.5,0.001
255.0,0.001
255.5,0.001
256.0,0.001
256.5,0.001
257.0,0.000
257.5,0.001
258.0,0.001
258.5,0.001
259.0,0.002
259.5,0.002
260.0,0.001
260.5,0.001
261.0,0.001
261.5,0.001
262.0,0.000
262.5,-0.001
263.0,-0.001
263.5,-0.001
264.0,-0.001
264.5,-0.001
265.0,-0.001
265.5,-0.001
266.0,0.000
266.5,0.000
267.0,0.001
267.5,0.001
268.0,0.001
268.5,0.001
269.0,0.001
269.5,0.001
270.0,0.001
270.5,0.001
271.0,0.002
271.5,0.002
272.0,0.001
272.5,0.001
273.0,0.001
273.5,0.000
274.0,0.001
274.5,0.001
275.0,0.001
275.5,0.001
276.0,0.000
276.5,0.000
277.0,0.000
277.5,0.000
278.0,0.000
278.5,0.001
279.0,0.000
279.5,0.000
280.0,0.000
280.5,0.000
281.0,0.000
281.5,0.000
282.0,0.000
282.5,0.001
283.0,0.001
283.5,0.000
284.0,0.000
284.5,0.000
285.0,0.000
285.5,0.000
286.0,0.001
286.5,0.001
287.0,0.001
287.5,0.002
288.0,0.002
288.5,0.002
289.0,0.001
289.5,0.000
290.0,-0.001
290.5,-0.001
291.0,-0.001
291.5,0.000
292.0,0.001
292.5,0.002
293.0,0.002
293.5,0.002
294.0,0.001
294.5,0.000
295.0,0.000
295.5,0.000
296.0,0.000
296.5,0.001
297.0,0.001
297.5,0.001
298.0,0.001
298.5,0.000
299.0,0.000
299.5,0.000
300.0,0.001
300.5,0.001
301.0,0.001
301.5,0.000
302.0,0.000
302.5,0.000
303.0,0.000
303.5,0.001
304.0,0.000
304.5,0.000
305.0,-0.001
305.5,-0.001
306.0,0.000
306.5,0.001
307.0,0.002
307.5,0.002
308.0,0.002
308.5,0.001
309.0,0.000
309.5,0.000
310.0,0.000
310.5,0.001
311.0,0.000
311.5,0.000
312.0,-0.001
312.5,-0.001
313.0,-0.001
313.5,-0.001
314.0,-0.001
314.5,0.000
315.0,0.000
315.5,0.000
316.0,-0.001
316.5,-0.001
317.0,-0.001
317.5,0.000
318.0,0.002
318.5,0.003
319.0,0.004
319.5,0.003
320.0,0.002
320.5,0.001
321.0,0.000
321.5,0.000
322.0,0.000
322.5,0.000
323.0,0.000
323.5,0.000
324.0,-0.001
324.5,-0.001
325.0,-0.001
325.5,-0.002
326.0,-0.002
326.5,-0.001
327.0,0.001
327.5,0.002
328.0,0.002
328.5,0.001
329.0,0.000
329.5,-0.002
330.0,-0.003
330.5,-0.003
331.0,-0.002
331.5,0.000
332.0,0.001
332.5,0.001
333.0,0.001
333.5,0.001
334.0,0.001
334.5,0.001
335.0,0.000
335.5,0.000
336.0,0.000
336.5,0.000
337.0,0.000
337.5,0.000
338.0,0.000
338.5,0.000
339.0,0.000
339.5,-0.003
340.0,-0.006
340.5,-0.008
341.0,-0.007
341.5,-0.004
342.0,-0.001
342.5,0.002
343.0,0.002
343.5,0.003
344.0,0.003
344.5,0.004
345.0,0.004
345.5,0.001
346.0,-0.002
346.5,-0.004
347.0,-0.005
347.5,-0.005
348.0,-0.005
348.5,-0.003
349.0,0.002
349.5,0.006
350.0,0.008
350.5,0.005
351.0,-0.002
351.5,-0.008
352.0,-0.010
352.5,-0.008
353.0,-0.003
353.5,0.002
354.0,0.005
354.5,0.004
355.0,0.000
355.5,-0.004
356.0,-0.004
356.5,-0.002
357.0,0.003
357.5,0.006
358.0,0.006
358.5,0.004
359.0,0.000
359.5,-0.006
360.0,-0.010
360.5,-0.012
361.0,-0.010
361.5,-0.006
362.0,-0.004
362.5,-0.004
363.0,-0.008
363.5,-0.012
364.0,-0.013
364.5,-0.010
365.0,-0.004
365.5,0.001
366.0,0.002
366.5,-0.001
367.0,-0.005
367.5,-0.006
368.0,-0.004
368.5,0.001
369.0,0.005
