Batch,scan003
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,15/10/2025
Time Collected,06:21:21
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,1.679
220.0,1.626
220.5,1.578
221.0,1.536
221.5,1.495
222.0,1.455
222.5,1.415
223.0,1.376
223.5,1.340
224.0,1.307
224.5,1.276
225.0,1.248
225.5,1.222
226.0,1.200
226.5,1.179
227.0,1.161
227.5,1.143
228.0,1.128
228.5,1.113
229.0,1.100
229.5,1.087
230.0,1.075
230.5,1.063
231.0,1.052
231.5,1.041
232.0,1.030
232.5,1.019
233.0,1.009
233.5,0.998
234.0,0.987
234.5,0.977
235.0,0.967
235.5,0.957
236.0,0.948
236.5,0.939
237.0,0.931
237.5,0.922
238.0,0.915
238.5,0.907
239.0,0.900
239.5,0.894
240.0,0.888
240.5,0.882
241.0,0.876
241.5,0.870
242.0,0.865
242.5,0.861
243.0,0.856
243.5,0.852
244.0,0.848
244.5,0.844
245.0,0.841
245.5,0.837
246.0,0.833
246.5,0.830
247.0,0.827
247.5,0.824
248.0,0.822
248.5,0.819
249.0,0.817
249.5,0.815
250.0,0.812
250.5,0.810
251.0,0.808
251.5,0.806
252.0,0.804
252.5,0.803
253.0,0.801
253.5,0.800
254.0,0.800
254.5,0.799
255.0,0.800
255.5,0.801
256.0,0.803
256.5,0.804
257.0,0.807
257.5,0.810
258.0,0.814
258.5,0.817
259.0,0.821
259.5,0.825
260.0,0.830
260.5,0.835
261.0,0.842
261.5,0.849
262.0,0.856
262.5,0.864
263.0,0.871
263.5,0.879
264.0,0.886
264.5,0.893
265.0,0.900
265.5,0.906
266.0,0.912
266.5,0.918
267.0,0.925
267.5,0.931
268.0,0.937
268.5,0.944
269.0,0.951
269.5,0.959
270.0,0.967
270.5,0.974
271.0,0.980
271.5,0.985
272.0,0.989
272.5,0.991
273.0,0.993
273.5,0.995
274.0,0.995
274.5,0.995
275.0,0.995
275.5,0.996
276.0,0.996
276.5,0.997
277.0,0.997
277.5,0.997
278.0,0.997
278.5,0.997
279.0,0.997
279.5,0.996
280.0,0.995
280.5,0.994
281.0,0.993
281.5,0.992
282.0,0.991
282.5,0.989
283.0,0.987
283.5,0.984
284.0,0.981
284.5,0.977
285.0,0.973
285.5,0.968
286.0,0.964
286.5,0.959
287.0,0.955
287.5,0.951
288.0,0.947
288.5,0.942
289.0,0.936
289.5,0.931
290.0,0.925
290.5,0.919
291.0,0.914
291.5,0.909
292.0,0.905
292.5,0.900
293.0,0.897
293.5,0.893
294.0,0.889
294.5,0.885
295.0,0.881
295.5,0.877
296.0,0.874
296.5,0.871
297.0,0.868
297.5,0.865
298.0,0.862
298.5,0.859
299.0,0.856
299.5,0.853
300.0,0.851
300.5,0.849
301.0,0.847
301.5,0.845
302.0,0.843
302.5,0.841
303.0,0.839
303.5,0.837
304.0,0.836
304.5,0.836
305.0,0.835
305.5,0.835
306.0,0.835
306.5,0.835
307.0,0.835
307.5,0.836
308.0,0.836
308.5,0.836
309.0,0.835
309.5,0.835
310.0,0.836
310.5,0.837
311.0,0.839
311.5,0.840
312.0,0.842
312.5,0.843
313.0,0.844
313.5,0.844
314.0,0.845
314.5,0.847
315.0,0.850
315.5,0.852
316.0,0.853
316.5,0.855
317.0,0.856
317.5,0.858
318.0,0.860
318.5,0.862
319.0,0.863
319.5,0.864
320.0,0.863
320.5,0.861
321.0,0.860
321.5,0.859
322.0,0.859
322.5,0.859
323.0,0.858
323.5,0.856
324.0,0.854
324.5,0.852
325.0,0.850
325.5,0.847
326.0,0.844
326.5,0.842
327.0,0.840
327.5,0.837
328.0,0.833
328.5,0.828
329.0,0.823
329.5,0.818
330.0,0.812
330.5,0.806
331.0,0.800
331.5,0.792
332.0,0.785
332.5,0.778
333.0,0.771
333.5,0.764
334.0,0.757
334.5,0.749
335.0,0.740
335.5,0.730
336.0,0.722
336.5,0.713
337.0,0.704
337.5,0.694
338.0,0.684
338.5,0.674
339.0,0.663
339.5,0.652
340.0,0.641
340.5,0.630
341.0,0.619
341.5,0.609
342.0,0.600
342.5,0.591
343.0,0.582
343.5,0.572
344.0,0.561
344.5,0.550
345.0,0.538
345.5,0.525
346.0,0.512
346.5,0.500
347.0,0.490
347.5,0.479
348.0,0.470
348.5,0.462
349.0,0.456
349.5,0.450
350.0,0.443
350.5,0.434
351.0,0.422
351.5,0.409
352.0,0.399
352.5,0.394
353.0,0.389
353.5,0.383
354.0,0.374
354.5,0.364
355.0,0.353
355.5,0.343
356.0,0.336
356.5,0.334
357.0,0.333
357.5,0.331
358.0,0.323
358.5,0.310
359.0,0.295
359.5,0.285
360.0,0.280
360.5,0.277
361.0,0.272
361.5,0.266
362.0,0.261
362.5,0.258
363.0,0.256
363.5,0.253
364.0,0.250
364.5,0.247
365.0,0.243
365.5,0.237
366.0,0.232
