Batch,scan002
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,15/10/2025
Time Collected,06:13:13
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,1.691
204.5,1.652
205.0,1.579
205.5,1.499
206.0,1.434
206.5,1.387
207.0,1.348
207.5,1.309
208.0,1.266
208.5,1.225
209.0,1.192
209.5,1.164
210.0,1.136
210.5,1.105
211.0,1.074
211.5,1.046
212.0,1.021
212.5,0.999
213.0,0.977
213.5,0.957
214.0,0.936
214.5,0.915
215.0,0.894
215.5,0.875
216.0,0.856
216.5,0.837
217.0,0.818
217.5,0.800
218.0,0.782
218.5,0.764
219.0,0.747
219.5,0.730
220.0,0.713
220.5,0.697
221.0,0.681
221.5,0.665
222.0,0.649
222.5,0.633
223.0,0.618
223.5,0.604
224.0,0.591
224.5,0.578
225.0,0.566
225.5,0.555
226.0,0.545
226.5,0.536
227.0,0.527
227.5,0.519
228.0,0.512
228.5,0.505
229.0,0.499
229.5,0.493
230.0,0.488
230.5,0.483
231.0,0.478
231.5,0.473
232.0,0.468
232.5,0.463
233.0,0.458
233.5,0.453
234.0,0.448
234.5,0.443
235.0,0.438
235.5,0.434
236.0,0.429
236.5,0.425
237.0,0.421
237.5,0.417
238.0,0.413
238.5,0.409
239.0,0.406
239.5,0.403
240.0,0.400
240.5,0.397
241.0,0.394
241.5,0.392
242.0,0.389
242.5,0.387
243.0,0.385
243.5,0.383
244.0,0.381
244.5,0.380
245.0,0.378
245.5,0.376
246.0,0.374
246.5,0.373
247.0,0.372
247.5,0.371
248.0,0.369
248.5,0.367
249.0,0.364
249.5,0.362
250.0,0.361
250.5,0.361
251.0,0.361
251.5,0.359
252.0,0.358
252.5,0.358
253.0,0.357
253.5,0.357
254.0,0.356
254.5,0.356
255.0,0.356
255.5,0.357
256.0,0.358
256.5,0.360
257.0,0.362
257.5,0.365
258.0,0.367
258.5,0.366
259.0,0.365
259.5,0.362
260.0,0.362
260.5,0.363
261.0,0.366
261.5,0.369
262.0,0.373
262.5,0.377
263.0,0.381
263.5,0.384
264.0,0.387
264.5,0.390
265.0,0.393
265.5,0.396
266.0,0.399
266.5,0.402
267.0,0.405
267.5,0.408
268.0,0.410
268.5,0.413
269.0,0.417
269.5,0.423
270.0,0.431
270.5,0.440
271.0,0.446
271.5,0.449
272.0,0.445
272.5,0.437
273.0,0.427
273.5,0.423
274.0,0.426
274.5,0.433
275.0,0.439
275.5,0.441
276.0,0.442
276.5,0.443
277.0,0.446
277.5,0.448
278.0,0.449
278.5,0.451
279.0,0.451
279.5,0.450
280.0,0.448
280.5,0.445
281.0,0.443
281.5,0.440
282.0,0.437
282.5,0.435
283.0,0.437
283.5,0.441
284.0,0.442
284.5,0.442
285.0,0.439
285.5,0.435
286.0,0.432
286.5,0.429
287.0,0.427
287.5,0.424
288.0,0.422
288.5,0.420
289.0,0.418
289.5,0.416
290.0,0.413
290.5,0.411
291.0,0.409
291.5,0.408
292.0,0.406
292.5,0.403
293.0,0.401
293.5,0.399
294.0,0.398
294.5,0.397
295.0,0.394
295.5,0.392
296.0,0.390
296.5,0.389
297.0,0.389
297.5,0.387
298.0,0.383
298.5,0.378
299.0,0.373
299.5,0.368
300.0,0.365
300.5,0.361
301.0,0.359
301.5,0.361
302.0,0.366
302.5,0.371
303.0,0.374
303.5,0.374
304.0,0.375
304.5,0.375
305.0,0.375
305.5,0.374
306.0,0.374
306.5,0.375
307.0,0.376
307.5,0.377
308.0,0.377
308.5,0.377
309.0,0.377
309.5,0.377
310.0,0.378
310.5,0.378
311.0,0.378
311.5,0.378
312.0,0.379
312.5,0.380
313.0,0.380
313.5,0.381
314.0,0.382
314.5,0.383
315.0,0.384
315.5,0.385
316.0,0.386
316.5,0.386
317.0,0.387
317.5,0.389
318.0,0.390
318.5,0.392
319.0,0.393
319.5,0.393
320.0,0.392
320.5,0.391
321.0,0.390
321.5,0.390
322.0,0.390
322.5,0.390
323.0,0.390
323.5,0.389
324.0,0.388
324.5,0.387
325.0,0.386
325.5,0.384
326.0,0.382
326.5,0.381
327.0,0.380
327.5,0.379
328.0,0.377
328.5,0.375
329.0,0.372
329.5,0.371
330.0,0.369
330.5,0.367
331.0,0.364
331.5,0.361
332.0,0.359
332.5,0.355
333.0,0.351
333.5,0.347
334.0,0.344
334.5,0.340
335.0,0.335
335.5,0.330
336.0,0.326
336.5,0.323
337.0,0.319
337.5,0.316
338.0,0.312
338.5,0.307
339.0,0.301
339.5,0.294
340.0,0.286
340.5,0.281
341.0,0.278
341.5,0.275
342.0,0.270
342.5,0.263
343.0,0.257
343.5,0.253
344.0,0.251
344.5,0.249
345.0,0.245
345.5,0.240
346.0,0.236
346.5,0.231
347.0,0.223
347.5,0.212
348.0,0.202
348.5,0.195
349.0,0.194
349.5,0.196
350.0,0.198
350.5,0.198
351.0,0.193
351.5,0.188
352.0,0.183
352.5,0.182
353.0,0.182
353.5,0.181
354.0,0.177
354.5,0.167
355.0,0.154
355.5,0.144
356.0,0.139
356.5,0.141
357.0,0.143
357.5,0.143
358.0,0.141
358.5,0.136
359.0,0.130
359.5,0.124
360.0,0.120
360.5,0.117
361.0,0.115
361.5,0.113
362.0,0.110
362.5,0.108
363.0,0.106
363.5,0.104
364.0,0.104
364.5,0.103
365.0,0.101
365.5,0.099
366.0,0.097
366.5,0.098
367.0,0.100
367.5,0.100
368.0,0.096
368.5,0.092
369.0,0.090
369.5,0.090
370.0,0.090
370.5,0.088
371.0,0.086
371.5,0.084
372.0,0.080
372.5,0.075
373.0,0.073
373.5,0.071
