nm,A_7_5g,A_15g,A_18g,A_22_5g
219.5,0.73,1.679,1.551,1.291
220.0,0.713,1.626,1.507,1.256
220.5,0.697,1.578,1.465,1.223
221.0,0.681,1.536,1.425,1.191
221.5,0.665,1.495,1.386,1.16
222.0,0.649,1.455,1.349,1.13
222.5,0.633,1.415,1.314,1.102
223.0,0.618,1.376,1.28,1.074
223.5,0.604,1.34,1.249,1.047
224.0,0.591,1.307,1.22,1.022
224.5,0.578,1.276,1.192,0.999
225.0,0.566,1.248,1.165,0.978
225.5,0.555,1.222,1.141,0.958
226.0,0.545,1.2,1.12,0.94
226.5,0.536,1.179,1.101,0.924
227.0,0.527,1.161,1.084,0.91
227.5,0.519,1.143,1.069,0.896
228.0,0.512,1.128,1.055,0.883
228.5,0.505,1.113,1.041,0.872
229.0,0.499,1.1,1.028,0.861
229.5,0.493,1.087,1.017,0.851
230.0,0.488,1.075,1.005,0.842
230.5,0.483,1.063,0.995,0.833
231.0,0.478,1.052,0.985,0.824
231.5,0.473,1.041,0.975,0.816
232.0,0.468,1.03,0.965,0.807
232.5,0.463,1.019,0.955,0.799
233.0,0.458,1.009,0.945,0.79
233.5,0.453,0.998,0.934,0.781
234.0,0.448,0.987,0.924,0.773
234.5,0.443,0.977,0.914,0.764
235.0,0.438,0.967,0.905,0.756
235.5,0.434,0.957,0.895,0.748
236.0,0.429,0.948,0.887,0.741
236.5,0.425,0.939,0.878,0.734
237.0,0.421,0.931,0.87,0.727
237.5,0.417,0.922,0.862,0.72
238.0,0.413,0.915,0.855,0.714
238.5,0.409,0.907,0.848,0.708
239.0,0.406,0.9,0.842,0.702
239.5,0.403,0.894,0.835,0.697
240.0,0.4,0.888,0.829,0.692
240.5,0.397,0.882,0.823,0.687
241.0,0.394,0.876,0.818,0.683
241.5,0.392,0.87,0.813,0.679
242.0,0.389,0.865,0.809,0.675
242.5,0.387,0.861,0.804,0.671
243.0,0.385,0.856,0.8,0.668
243.5,0.383,0.852,0.796,0.664
244.0,0.381,0.848,0.792,0.661
244.5,0.38,0.844,0.788,0.658
245.0,0.378,0.841,0.785,0.655
245.5,0.376,0.837,0.781,0.652
246.0,0.374,0.833,0.778,0.649
246.5,0.373,0.83,0.775,0.647
247.0,0.372,0.827,0.773,0.644
247.5,0.371,0.824,0.771,0.642
248.0,0.369,0.822,0.768,0.641
248.5,0.367,0.819,0.766,0.639
249.0,0.364,0.817,0.763,0.637
249.5,0.362,0.815,0.761,0.636
250.0,0.361,0.812,0.759,0.634
250.5,0.361,0.81,0.757,0.632
251.0,0.361,0.808,0.755,0.631
251.5,0.359,0.806,0.754,0.629
252.0,0.358,0.804,0.752,0.628
252.5,0.358,0.803,0.75,0.627
253.0,0.357,0.801,0.749,0.626
253.5,0.357,0.8,0.748,0.625
254.0,0.356,0.8,0.748,0.625
254.5,0.356,0.799,0.748,0.625
255.0,0.356,0.8,0.748,0.626
255.5,0.357,0.801,0.749,0.626
256.0,0.358,0.803,0.751,0.628
256.5,0.36,0.804,0.753,0.63
257.0,0.362,0.807,0.755,0.632
257.5,0.365,0.81,0.758,0.635
258.0,0.367,0.814,0.762,0.638
258.5,0.366,0.817,0.765,0.641
259.0,0.365,0.821,0.769,0.645
259.5,0.362,0.825,0.773,0.648
260.0,0.362,0.83,0.777,0.652
260.5,0.363,0.835,0.783,0.657
261.0,0.366,0.842,0.79,0.662
261.5,0.369,0.849,0.797,0.668
262.0,0.373,0.856,0.804,0.675
262.5,0.377,0.864,0.812,0.681
263.0,0.381,0.871,0.819,0.687
263.5,0.384,0.879,0.826,0.694
264.0,0.387,0.886,0.833,0.7
264.5,0.39,0.893,0.839,0.705
265.0,0.393,0.9,0.846,0.711
265.5,0.396,0.906,0.852,0.716
266.0,0.399,0.912,0.857,0.721
266.5,0.402,0.918,0.863,0.726
267.0,0.405,0.925,0.869,0.731
267.5,0.408,0.931,0.875,0.737
268.0,0.41,0.937,0.882,0.742
268.5,0.413,0.944,0.888,0.748
269.0,0.417,0.951,0.895,0.754
269.5,0.423,0.959,0.902,0.76
270.0,0.431,0.967,0.909,0.766
270.5,0.44,0.974,0.916,0.772
271.0,0.446,0.98,0.922,0.778
271.5,0.449,0.985,0.927,0.782
272.0,0.445,0.989,0.93,0.786
272.5,0.437,0.991,0.933,0.788
273.0,0.427,0.993,0.935,0.789
273.5,0.423,0.995,0.936,0.79
274.0,0.426,0.995,0.937,0.79
274.5,0.433,0.995,0.937,0.791
275.0,0.439,0.995,0.936,0.791
275.5,0.441,0.996,0.936,0.79
276.0,0.442,0.996,0.937,0.79
276.5,0.443,0.997,0.937,0.79
277.0,0.446,0.997,0.938,0.79
277.5,0.448,0.997,0.938,0.79
278.0,0.449,0.997,0.939,0.791
278.5,0.451,0.997,0.939,0.791
279.0,0.451,0.997,0.938,0.791
279.5,0.45,0.996,0.938,0.79
280.0,0.448,0.995,0.937,0.789
280.5,0.445,0.994,0.936,0.789
281.0,0.443,0.993,0.935,0.788
281.5,0.44,0.992,0.934,0.787
282.0,0.437,0.991,0.932,0.787
282.5,0.435,0.989,0.93,0.786
283.0,0.437,0.987,0.928,0.784
283.5,0.441,0.984,0.925,0.781
284.0,0.442,0.981,0.923,0.778
284.5,0.442,0.977,0.919,0.775
285.0,0.439,0.973,0.915,0.772
285.5,0.435,0.968,0.911,0.769
286.0,0.432,0.964,0.907,0.766
286.5,0.429,0.959,0.903,0.763
287.0,0.427,0.955,0.899,0.759
287.5,0.424,0.951,0.895,0.756
288.0,0.422,0.947,0.89,0.752
288.5,0.42,0.942,0.885,0.747
289.0,0.418,0.936,0.88,0.743
289.5,0.416,0.931,0.875,0.738
290.0,0.413,0.925,0.869,0.733
290.5,0.411,0.919,0.864,0.729
291.0,0.409,0.914,0.86,0.725
291.5,0.408,0.909,0.856,0.721
292.0,0.406,0.905,0.852,0.717
292.5,0.403,0.9,0.848,0.714
293.0,0.401,0.897,0.843,0.71
293.5,0.399,0.893,0.839,0.707
294.0,0.398,0.889,0.835,0.704
294.5,0.397,0.885,0.831,0.7
295.0,0.394,0.881,0.827,0.697
295.5,0.392,0.877,0.824,0.695
296.0,0.39,0.874,0.822,0.692
296.5,0.389,0.871,0.819,0.69
297.0,0.389,0.868,0.816,0.687
297.5,0.387,0.865,0.813,0.685
298.0,0.383,0.862,0.81,0.682
298.5,0.378,0.859,0.807,0.679
299.0,0.373,0.856,0.805,0.677
299.5,0.368,0.853,0.804,0.675
300.0,0.365,0.851,0.802,0.674
300.5,0.361,0.849,0.8,0.672
301.0,0.359,0.847,0.797,0.67
301.5,0.361,0.845,0.794,0.668
302.0,0.366,0.843,0.792,0.666
302.5,0.371,0.841,0.791,0.665
303.0,0.374,0.839,0.791,0.664
303.5,0.374,0.837,0.79,0.663
304.0,0.375,0.836,0.789,0.662
304.5,0.375,0.836,0.788,0.661
305.0,0.375,0.835,0.788,0.661
305.5,0.374,0.835,0.787,0.661
306.0,0.374,0.835,0.787,0.662
306.5,0.375,0.835,0.787,0.662
307.0,0.376,0.835,0.787,0.663
307.5,0.377,0.836,0.786,0.662
308.0,0.377,0.836,0.786,0.662
308.5,0.377,0.836,0.786,0.661
309.0,0.377,0.835,0.786,0.66
309.5,0.377,0.835,0.786,0.66
310.0,0.378,0.836,0.787,0.66
310.5,0.378,0.837,0.788,0.661
311.0,0.378,0.839,0.789,0.662
311.5,0.378,0.84,0.79,0.663
312.0,0.379,0.842,0.791,0.665
312.5,0.38,0.843,0.793,0.667
313.0,0.38,0.844,0.795,0.668
313.5,0.381,0.844,0.797,0.669
314.0,0.382,0.845,0.799,0.67
314.5,0.383,0.847,0.801,0.672
315.0,0.384,0.85,0.803,0.673
315.5,0.385,0.852,0.805,0.675
316.0,0.386,0.853,0.806,0.676
316.5,0.386,0.855,0.807,0.677
317.0,0.387,0.856,0.809,0.679
317.5,0.389,0.858,0.811,0.681
318.0,0.39,0.86,0.813,0.683
318.5,0.392,0.862,0.814,0.684
319.0,0.393,0.863,0.815,0.685
319.5,0.393,0.864,0.814,0.686
320.0,0.392,0.863,0.813,0.686
320.5,0.391,0.861,0.812,0.685
321.0,0.39,0.86,0.811,0.684
321.5,0.39,0.859,0.811,0.684
322.0,0.39,0.859,0.812,0.684
322.5,0.39,0.859,0.811,0.683
323.0,0.39,0.858,0.811,0.681
323.5,0.389,0.856,0.809,0.68
324.0,0.388,0.854,0.807,0.678
324.5,0.387,0.852,0.804,0.677
325.0,0.386,0.85,0.802,0.675
325.5,0.384,0.847,0.799,0.673
326.0,0.382,0.844,0.797,0.671
326.5,0.381,0.842,0.795,0.668
327.0,0.38,0.84,0.793,0.666
327.5,0.379,0.837,0.79,0.663
328.0,0.377,0.833,0.786,0.659
328.5,0.375,0.828,0.781,0.656
329.0,0.372,0.823,0.776,0.652
329.5,0.371,0.818,0.771,0.648
330.0,0.369,0.812,0.765,0.644
330.5,0.367,0.806,0.76,0.638
331.0,0.364,0.8,0.754,0.633
331.5,0.361,0.792,0.749,0.628
332.0,0.359,0.785,0.743,0.624
332.5,0.355,0.778,0.736,0.618
333.0,0.351,0.771,0.73,0.612
333.5,0.347,0.764,0.722,0.606
334.0,0.344,0.757,0.714,0.599
334.5,0.34,0.749,0.705,0.591
335.0,0.335,0.74,0.695,0.584
335.5,0.33,0.73,0.687,0.576
336.0,0.326,0.722,0.678,0.569
336.5,0.323,0.713,0.671,0.562
337.0,0.319,0.704,0.663,0.555
337.5,0.316,0.694,0.656,0.547
338.0,0.312,0.684,0.648,0.539
338.5,0.307,0.674,0.638,0.532
339.0,0.301,0.663,0.626,0.525
339.5,0.294,0.652,0.613,0.519
340.0,0.286,0.641,0.601,0.511
340.5,0.281,0.63,0.59,0.501
341.0,0.278,0.619,0.58,0.489
341.5,0.275,0.609,0.572,0.478
342.0,0.27,0.6,0.565,0.468
342.5,0.263,0.591,0.562,0.46
343.0,0.257,0.582,0.56,0.453
343.5,0.253,0.572,0.553,0.446
344.0,0.251,0.561,0.541,0.437
344.5,0.249,0.55,0.525,0.428
345.0,0.245,0.538,0.507,0.419
345.5,0.24,0.525,0.49,0.41
346.0,0.236,0.512,0.477,0.4
346.5,0.231,0.5,0.468,0.39
347.0,0.223,0.49,0.459,0.379
347.5,0.212,0.479,0.448,0.368
348.0,0.202,0.47,0.438,0.358
348.5,0.195,0.462,0.43,0.351
