Batch,scan001
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,15/10/2025
Time Collected,07:09:10
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,99.109
395.0,100.998
396.0,104.060
397.0,105.596
398.0,101.806
399.0,95.793
400.0,92.652
401.0,92.669
402.0,95.685
403.0,97.833
404.0,97.407
405.0,97.978
406.0,99.629
407.0,101.198
408.0,101.864
409.0,101.072
410.0,100.972
411.0,101.160
412.0,99.874
413.0,97.890
414.0,96.131
415.0,97.289
416.0,100.631
417.0,101.406
418.0,100.844
419.0,101.430
420.0,102.724
421.0,103.400
422.0,101.560
423.0,100.274
424.0,101.995
425.0,102.434
426.0,100.175
427.0,98.454
428.0,98.478
429.0,100.057
430.0,101.986
431.0,100.775
432.0,97.822
433.0,99.036
434.0,102.313
435.0,101.669
436.0,99.075
437.0,99.349
438.0,101.147
439.0,100.751
440.0,99.174
441.0,98.561
442.0,98.837
443.0,100.118
444.0,100.978
445.0,99.692
446.0,98.144
447.0,97.726
448.0,98.466
449.0,100.585
450.0,101.739
451.0,100.648
452.0,99.729
453.0,100.296
454.0,100.439
455.0,99.705
456.0,99.658
457.0,99.474
458.0,99.447
459.0,100.687
460.0,101.322
461.0,101.046
462.0,100.532
463.0,99.542
464.0,99.497
465.0,100.075
466.0,99.107
467.0,98.432
468.0,100.261
469.0,101.230
470.0,99.902
471.0,100.068
472.0,101.075
473.0,99.898
474.0,98.689
475.0,99.415
476.0,100.201
477.0,99.844
478.0,99.730
479.0,100.230
480.0,99.869
481.0,99.223
482.0,99.612
483.0,100.536
484.0,101.198
485.0,101.012
486.0,99.930
487.0,98.864
488.0,99.229
489.0,100.280
490.0,99.967
491.0,99.658
492.0,100.189
493.0,99.887
494.0,99.407
495.0,99.680
496.0,100.023
497.0,100.253
498.0,100.394
499.0,100.190
500.0,99.683
501.0,99.546
502.0,99.960
503.0,100.126
504.0,100.338
505.0,100.710
506.0,100.199
507.0,99.503
508.0,99.661
509.0,99.955
510.0,99.653
511.0,98.983
512.0,98.714
513.0,99.357
514.0,100.014
515.0,99.985
516.0,100.198
517.0,100.501
518.0,100.224
519.0,99.993
520.0,99.642
521.0,98.883
522.0,98.735
523.0,99.372
524.0,99.911
525.0,100.078
526.0,100.027
527.0,100.347
528.0,100.853
529.0,100.391
530.0,99.716
531.0,99.850
532.0,100.163
533.0,100.269
534.0,100.099
535.0,99.913
536.0,99.819
