Batch,scan004
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,15/10/2025
Time Collected,07:23:27
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,36.630
395.0,37.340
396.0,39.789
397.0,41.706
398.0,40.337
399.0,38.684
400.0,39.108
401.0,39.842
402.0,40.813
403.0,41.448
404.0,41.249
405.0,42.360
406.0,44.042
407.0,43.941
408.0,43.949
409.0,45.452
410.0,45.793
411.0,45.305
412.0,46.862
413.0,48.210
414.0,47.332
415.0,47.763
416.0,49.647
417.0,50.028
418.0,49.902
419.0,50.583
420.0,51.823
421.0,52.353
422.0,51.310
423.0,51.213
424.0,52.943
425.0,53.369
426.0,51.967
427.0,51.598
428.0,52.496
429.0,52.582
430.0,52.287
431.0,52.772
432.0,53.676
433.0,54.508
434.0,54.953
435.0,55.418
436.0,55.874
437.0,56.058
438.0,56.920
439.0,57.727
440.0,56.812
441.0,55.455
442.0,55.661
443.0,57.390
444.0,59.105
445.0,59.105
446.0,57.918
447.0,57.116
448.0,57.178
449.0,58.238
450.0,59.621
451.0,60.216
452.0,59.713
453.0,58.918
454.0,58.795
455.0,59.133
456.0,59.347
457.0,59.508
458.0,60.257
459.0,61.408
460.0,61.952
461.0,62.018
462.0,61.720
463.0,61.116
464.0,61.578
465.0,62.804
466.0,63.097
467.0,62.888
468.0,63.041
469.0,63.031
470.0,62.915
471.0,63.598
472.0,64.574
473.0,64.568
474.0,63.904
475.0,63.837
476.0,64.074
477.0,63.751
478.0,64.030
479.0,65.227
480.0,65.494
481.0,65.013
482.0,65.192
483.0,65.668
484.0,66.156
485.0,66.917
486.0,66.916
487.0,65.867
488.0,65.797
489.0,66.803
490.0,67.075
491.0,67.231
492.0,67.869
493.0,67.970
494.0,67.646
495.0,67.538
496.0,67.700
497.0,68.165
498.0,68.618
499.0,68.514
500.0,68.201
501.0,68.274
502.0,68.521
503.0,68.772
504.0,69.122
505.0,69.355
506.0,69.400
507.0,69.416
508.0,69.282
509.0,69.126
510.0,69.284
511.0,69.326
512.0,69.145
513.0,69.613
514.0,70.344
515.0,70.257
516.0,70.056
517.0,70.530
518.0,70.914
519.0,70.747
520.0,70.547
521.0,70.533
522.0,70.637
523.0,70.893
524.0,71.285
525.0,71.399
526.0,70.943
527.0,70.862
528.0,71.398
529.0,71.455
530.0,71.231
531.0,71.319
532.0,71.538
533.0,71.913
534.0,72.246
535.0,72.237
536.0,72.016
