Batch,scan002
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,15/10/2025
Time Collected,07:13:50
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,56.661
395.0,58.840
396.0,62.229
397.0,63.471
398.0,60.546
399.0,57.666
400.0,57.430
401.0,59.117
402.0,62.387
403.0,63.837
404.0,63.261
405.0,64.314
406.0,65.367
407.0,65.315
408.0,66.161
409.0,67.025
410.0,66.322
411.0,65.367
412.0,67.097
413.0,69.624
414.0,68.649
415.0,67.692
416.0,69.917
417.0,71.469
418.0,71.420
419.0,71.698
420.0,72.693
421.0,73.383
422.0,72.588
423.0,72.567
424.0,74.036
425.0,73.789
426.0,72.304
427.0,72.067
428.0,72.672
429.0,73.840
430.0,75.156
431.0,75.066
432.0,74.988
433.0,75.914
434.0,76.448
435.0,76.881
436.0,76.479
437.0,75.512
438.0,76.638
439.0,77.970
440.0,76.495
441.0,74.907
442.0,75.660
443.0,77.353
444.0,78.849
445.0,79.127
446.0,78.468
447.0,78.098
448.0,77.679
449.0,78.124
450.0,79.587
451.0,79.857
452.0,79.298
453.0,79.211
454.0,78.445
455.0,77.631
456.0,78.433
457.0,79.212
458.0,79.204
459.0,79.921
460.0,80.979
461.0,81.367
462.0,81.380
463.0,81.142
464.0,80.846
465.0,80.893
466.0,81.025
467.0,81.494
468.0,82.447
469.0,82.689
470.0,82.085
471.0,82.119
472.0,82.853
473.0,82.813
474.0,81.952
475.0,81.936
476.0,82.742
477.0,82.818
478.0,82.807
479.0,83.390
480.0,83.209
481.0,82.346
482.0,82.042
483.0,82.394
484.0,83.118
485.0,83.934
486.0,84.125
487.0,83.545
488.0,83.489
489.0,84.281
490.0,84.480
491.0,84.221
492.0,84.574
493.0,84.884
494.0,84.648
495.0,84.613
496.0,84.949
497.0,85.085
498.0,85.102
499.0,85.129
500.0,84.900
501.0,85.095
502.0,85.720
503.0,85.568
504.0,85.302
505.0,85.795
506.0,85.841
507.0,85.149
508.0,84.943
509.0,85.651
510.0,86.456
511.0,86.183
512.0,85.347
513.0,85.775
514.0,86.697
515.0,86.349
516.0,85.890
517.0,86.331
518.0,86.838
519.0,86.908
520.0,86.498
521.0,86.060
522.0,86.000
523.0,86.088
524.0,86.272
525.0,86.626
526.0,86.939
527.0,87.088
528.0,87.052
529.0,86.854
530.0,86.709
531.0,86.612
532.0,86.657
533.0,87.134
534.0,87.702
535.0,87.747
536.0,87.255
