Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,09/10/2025
Time Collected,05:13:26
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,0.000
204.5,-0.001
205.0,0.000
205.5,0.001
206.0,0.002
206.5,0.002
207.0,0.002
207.5,0.002
208.0,0.002
208.5,0.002
209.0,0.002
209.5,0.002
210.0,0.001
210.5,0.001
211.0,0.001
211.5,0.001
212.0,0.001
212.5,0.002
213.0,0.003
213.5,0.004
214.0,0.004
214.5,0.004
215.0,0.003
215.5,0.003
216.0,0.002
216.5,0.002
217.0,0.002
217.5,0.002
218.0,0.002
218.5,0.002
219.0,0.002
219.5,0.002
220.0,0.002
220.5,0.002
221.0,0.002
221.5,0.002
222.0,0.002
222.5,0.002
223.0,0.002
223.5,0.002
224.0,0.001
224.5,0.001
225.0,0.001
225.5,0.001
226.0,0.001
226.5,0.001
227.0,0.001
227.5,0.001
228.0,0.001
228.5,0.001
229.0,0.001
229.5,0.001
230.0,0.001
230.5,0.001
231.0,0.002
231.5,0.002
232.0,0.002
232.5,0.002
233.0,0.001
233.5,0.001
234.0,0.001
234.5,0.001
235.0,0.002
235.5,0.002
236.0,0.002
236.5,0.002
237.0,0.002
237.5,0.002
238.0,0.002
238.5,0.002
239.0,0.002
239.5,0.002
240.0,0.002
240.5,0.002
241.0,0.002
241.5,0.002
242.0,0.002
242.5,0.001
243.0,0.001
243.5,0.001
244.0,0.001
244.5,0.002
245.0,0.002
245.5,0.003
246.0,0.003
246.5,0.002
247.0,0.001
247.5,0.001
248.0,0.000
248.5,0.000
249.0,0.001
249.5,0.001
250.0,0.001
250.5,0.001
251.0,0.001
251.5,0.001
252.0,0.000
252.5,0.000
253.0,0.000
253.5,0.000
254.0,0.001
254.5,0.001
255.0,0.002
255.5,0.002
256.0,0.001
256.5,0.001
257.0,0.001
257.5,0.001
258.0,0.002
258.5,0.003
259.0,0.003
259.5,0.002
260.0,0.002
260.5,0.002
261.0,0.002
261.5,0.002
262.0,0.002
262.5,0.002
263.0,0.003
263.5,0.003
264.0,0.003
264.5,0.003
265.0,0.003
265.5,0.003
266.0,0.003
266.5,0.002
267.0,0.002
267.5,0.002
268.0,0.002
268.5,0.001
269.0,0.001
269.5,0.001
270.0,0.000
270.5,0.000
271.0,0.001
271.5,0.001
272.0,0.001
272.5,0.001
273.0,0.001
273.5,0.001
274.0,0.001
274.5,0.001
275.0,0.001
275.5,0.002
276.0,0.002
276.5,0.002
277.0,0.001
277.5,0.000
278.0,-0.001
278.5,-0.001
279.0,-0.001
279.5,-0.001
280.0,-0.001
280.5,0.000
281.0,0.000
281.5,0.000
282.0,0.001
282.5,0.001
283.0,0.001
283.5,0.001
284.0,0.000
284.5,0.000
285.0,0.000
285.5,0.001
286.0,0.001
286.5,0.001
287.0,0.002
287.5,0.004
288.0,0.006
288.5,0.006
289.0,0.005
289.5,0.002
290.0,0.000
290.5,0.000
291.0,0.000
291.5,0.001
292.0,0.002
292.5,0.003
293.0,0.003
293.5,0.004
294.0,0.003
294.5,0.001
295.0,-0.001
295.5,-0.002
296.0,-0.002
296.5,-0.001
297.0,0.000
297.5,0.000
298.0,0.000
298.5,0.000
299.0,0.000
299.5,0.001
300.0,0.001
300.5,0.000
301.0,0.000
301.5,-0.001
302.0,0.000
302.5,0.001
303.0,0.002
303.5,0.001
304.0,0.000
304.5,-0.001
305.0,0.000
305.5,0.001
306.0,0.002
306.5,0.002
307.0,0.001
307.5,0.001
308.0,0.001
308.5,0.001
309.0,0.002
309.5,0.003
310.0,0.004
310.5,0.005
311.0,0.006
311.5,0.006
312.0,0.004
312.5,0.002
313.0,0.000
313.5,-0.001
314.0,-0.001
314.5,0.001
315.0,0.003
315.5,0.004
316.0,0.002
316.5,0.000
317.0,-0.002
317.5,-0.002
318.0,0.000
318.5,0.002
319.0,0.002
319.5,0.000
320.0,-0.001
320.5,-0.001
321.0,0.000
321.5,0.001
322.0,0.001
322.5,0.000
323.0,-0.001
323.5,-0.001
324.0,-0.002
324.5,-0.001
325.0,0.000
325.5,0.001
326.0,0.002
326.5,0.002
327.0,0.001
327.5,-0.001
328.0,-0.002
328.5,-0.004
329.0,-0.005
329.5,-0.004
330.0,0.000
330.5,0.004
331.0,0.005
331.5,0.003
332.0,0.001
332.5,0.001
333.0,0.002
333.5,0.002
334.0,0.001
334.5,-0.002
335.0,-0.005
335.5,-0.007
336.0,-0.006
336.5,-0.004
337.0,-0.003
337.5,-0.004
338.0,-0.005
338.5,-0.004
339.0,-0.003
339.5,-0.002
340.0,-0.002
340.5,-0.003
341.0,-0.005
341.5,-0.009
342.0,-0.012
342.5,-0.011
343.0,-0.007
343.5,0.000
344.0,0.006
344.5,0.011
345.0,0.014
345.5,0.013
346.0,0.007
346.5,-0.003
347.0,-0.009
347.5,-0.007
348.0,0.000
348.5,0.005
349.0,0.004
349.5,-0.002
350.0,-0.005
350.5,-0.001
351.0,0.010
351.5,0.020
352.0,0.024
352.5,0.020
353.0,0.010
353.5,-0.001
354.0,-0.008
354.5,-0.009
355.0,-0.003
355.5,0.002
356.0,0.004
356.5,0.001
357.0,-0.002
357.5,-0.002
358.0,0.001
358.5,0.004
359.0,0.003
359.5,-0.002
360.0,-0.008
360.5,-0.011
361.0,-0.010
361.5,-0.005
362.0,0.001
362.5,0.008
363.0,0.013
363.5,0.012
364.0,0.007
364.5,0.001
365.0,-0.005
365.5,-0.009
366.0,-0.013
366.5,-0.016
367.0,-0.014
367.5,-0.007
368.0,0.004
368.5,0.013
369.0,0.017
369.5,0.018
