nm,A
230.5,2.449
231.0,2.392
231.5,2.337
232.0,2.29
232.5,2.249
233.0,2.211
233.5,2.174
234.0,2.139
234.5,2.108
235.0,2.08
235.5,2.051
236.0,2.021
236.5,1.99
237.0,1.96
237.5,1.935
238.0,1.915
238.5,1.899
239.0,1.884
239.5,1.867
240.0,1.849
240.5,1.831
241.0,1.816
241.5,1.802
242.0,1.79
242.5,1.778
243.0,1.767
243.5,1.755
244.0,1.744
244.5,1.733
245.0,1.723
245.5,1.714
246.0,1.705
246.5,1.696
247.0,1.687
247.5,1.679
248.0,1.672
248.5,1.668
249.0,1.664
249.5,1.66
250.0,1.654
250.5,1.647
251.0,1.639
251.5,1.632
252.0,1.625
252.5,1.621
253.0,1.617
253.5,1.614
254.0,1.611
254.5,1.61
255.0,1.612
255.5,1.616
256.0,1.62
256.5,1.625
257.0,1.63
257.5,1.635
258.0,1.642
258.5,1.651
259.0,1.66
259.5,1.671
260.0,1.683
260.5,1.696
261.0,1.709
261.5,1.723
262.0,1.741
262.5,1.764
263.0,1.79
263.5,1.814
264.0,1.835
264.5,1.851
265.0,1.863
265.5,1.875
266.0,1.887
266.5,1.9
267.0,1.914
267.5,1.93
268.0,1.947
268.5,1.963
269.0,1.975
269.5,1.985
270.0,2.006
270.5,2.039
271.0,2.075
271.5,2.099
272.0,2.106
272.5,2.104
273.0,2.105
273.5,2.115
274.0,2.132
274.5,2.151
275.0,2.166
275.5,2.174
276.0,2.174
276.5,2.171
277.0,2.166
277.5,2.158
278.0,2.145
278.5,2.132
279.0,2.127
279.5,2.134
280.0,2.147
280.5,2.154
281.0,2.148
281.5,2.129
282.0,2.105
282.5,2.085
283.0,2.073
283.5,2.069
284.0,2.068
284.5,2.063
285.0,2.053
285.5,2.042
286.0,2.035
286.5,2.03
287.0,2.023
287.5,2.01
288.0,1.993
288.5,1.972
289.0,1.951
289.5,1.931
290.0,1.914
290.5,1.9
291.0,1.89
291.5,1.881
292.0,1.869
292.5,1.853
293.0,1.836
293.5,1.82
294.0,1.806
294.5,1.793
295.0,1.783
295.5,1.776
296.0,1.771
296.5,1.767
297.0,1.763
297.5,1.756
298.0,1.75
298.5,1.741
299.0,1.73
299.5,1.717
300.0,1.708
300.5,1.707
301.0,1.711
301.5,1.715
302.0,1.713
302.5,1.707
303.0,1.701
303.5,1.695
304.0,1.691
304.5,1.689
305.0,1.69
305.5,1.692
306.0,1.693
306.5,1.693
307.0,1.689
307.5,1.687
308.0,1.688
308.5,1.693
309.0,1.696
309.5,1.696
310.0,1.695
310.5,1.697
311.0,1.702
311.5,1.708
312.0,1.712
312.5,1.714
313.0,1.716
313.5,1.72
314.0,1.728
314.5,1.737
315.0,1.745
315.5,1.749
316.0,1.753
316.5,1.757
317.0,1.76
317.5,1.763
318.0,1.765
318.5,1.766
319.0,1.764
319.5,1.759
320.0,1.753
320.5,1.749
321.0,1.748
321.5,1.749
322.0,1.75
322.5,1.748
323.0,1.741
323.5,1.733
324.0,1.73
324.5,1.73
325.0,1.731
325.5,1.727
326.0,1.718
326.5,1.706
327.0,1.693
327.5,1.682
328.0,1.673
328.5,1.662
329.0,1.649
329.5,1.636
330.0,1.626
330.5,1.618
331.0,1.606
331.5,1.586
332.0,1.562
332.5,1.541
333.0,1.523
333.5,1.508
334.0,1.492
334.5,1.474
335.0,1.455
335.5,1.436
336.0,1.418
336.5,1.403
337.0,1.385
337.5,1.363
338.0,1.338
338.5,1.311
339.0,1.285
339.5,1.256
340.0,1.225
340.5,1.195
341.0,1.167
341.5,1.144
342.0,1.125
342.5,1.108
343.0,1.091
343.5,1.071
344.0,1.048
344.5,1.027
345.0,1.007
345.5,0.988
346.0,0.966
346.5,0.941
347.0,0.914
347.5,0.89
348.0,0.867
348.5,0.843
349.0,0.817
349.5,0.79
350.0,0.77
350.5,0.756
351.0,0.746
351.5,0.735
352.0,0.716
352.5,0.69
353.0,0.662
353.5,0.637
354.0,0.618
354.5,0.603
355.0,0.591
355.5,0.578
356.0,0.562
356.5,0.543
357.0,0.525
357.5,0.51
358.0,0.498
358.5,0.486
359.0,0.471
359.5,0.454
360.0,0.439
360.5,0.426
361.0,0.418
361.5,0.411
362.0,0.405
362.5,0.398
363.0,0.39
363.5,0.379
364.0,0.365
364.5,0.35
365.0,0.335
365.5,0.324
366.0,0.317
366.5,0.31
367.0,0.303
367.5,0.298
368.0,0.297
368.5,0.298
369.0,0.297
369.5,0.295
370.0,0.292
370.5,0.288
371.0,0.279
371.5,0.266
372.0,0.252
372.5,0.245
373.0,0.245
373.5,0.249
374.0,0.25
374.5,0.243
375.0,0.226
375.5,0.206
376.0,0.191
376.5,0.186
377.0,0.19
377.5,0.197
378.0,0.202
378.5,0.204
379.0,0.204
379.5,0.203
380.0,0.202
380.5,0.202
381.0,0.209
381.5,0.219
382.0,0.224
382.5,0.219
383.0,0.203
383.5,0.181
384.0,0.161
384.5,0.15
385.0,0.152
385.5,0.162
386.0,0.172
386.5,0.173
387.0,0.165
387.5,0.156
388.0,0.151
388.5,0.152
389.0,0.155
389.5,0.156
390.0,0.154
390.5,0.148
391.0,0.143
391.5,0.144
392.0,0.149
392.5,0.154
393.0,0.154
393.5,0.147
394.0,0.14
394.5,0.139
395.0,0.142
395.5,0.144
396.0,0.142
396.5,0.138
397.0,0.131
397.5,0.123
398.0,0.117
398.5,0.116
399.0,0.12
399.5,0.126
400.0,0.128
400.5,0.128
401.0,0.125
401.5,0.123
402.0,0.123
402.5,0.125
403.0,0.126
403.5,0.123
404.0,0.115
404.5,0.104
405.0,0.096
405.5,0.096
406.0,0.102
