Batch,scan004
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,09/10/2025
Time Collected,05:36:19
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,1.839
221.5,1.775
222.0,1.717
222.5,1.664
223.0,1.616
223.5,1.572
224.0,1.533
224.5,1.496
225.0,1.461
225.5,1.428
226.0,1.399
226.5,1.374
227.0,1.352
227.5,1.332
228.0,1.313
228.5,1.296
229.0,1.280
229.5,1.264
230.0,1.249
230.5,1.234
231.0,1.220
231.5,1.207
232.0,1.195
232.5,1.182
233.0,1.169
233.5,1.155
234.0,1.142
234.5,1.130
235.0,1.117
235.5,1.106
236.0,1.094
236.5,1.083
237.0,1.072
237.5,1.062
238.0,1.051
238.5,1.041
239.0,1.033
239.5,1.025
240.0,1.017
240.5,1.010
241.0,1.003
241.5,0.997
242.0,0.991
242.5,0.985
243.0,0.979
243.5,0.973
244.0,0.968
244.5,0.964
245.0,0.959
245.5,0.955
246.0,0.951
246.5,0.947
247.0,0.943
247.5,0.939
248.0,0.935
248.5,0.932
249.0,0.929
249.5,0.926
250.0,0.924
250.5,0.921
251.0,0.918
251.5,0.915
252.0,0.912
252.5,0.910
253.0,0.908
253.5,0.906
254.0,0.906
254.5,0.906
255.0,0.907
255.5,0.907
256.0,0.908
256.5,0.909
257.0,0.911
257.5,0.914
258.0,0.919
258.5,0.924
259.0,0.929
259.5,0.934
260.0,0.939
260.5,0.945
261.0,0.953
261.5,0.962
262.0,0.972
262.5,0.982
263.0,0.992
263.5,1.002
264.0,1.012
264.5,1.021
265.0,1.029
265.5,1.036
266.0,1.043
266.5,1.050
267.0,1.058
267.5,1.066
268.0,1.076
268.5,1.085
269.0,1.095
269.5,1.106
270.0,1.117
270.5,1.128
271.0,1.137
271.5,1.143
272.0,1.148
272.5,1.153
273.0,1.159
273.5,1.164
274.0,1.167
274.5,1.170
275.0,1.171
275.5,1.172
276.0,1.173
276.5,1.174
277.0,1.174
277.5,1.175
278.0,1.175
278.5,1.175
279.0,1.176
279.5,1.176
280.0,1.175
280.5,1.175
281.0,1.175
281.5,1.175
282.0,1.174
282.5,1.171
283.0,1.166
283.5,1.160
284.0,1.155
284.5,1.151
285.0,1.145
285.5,1.138
286.0,1.130
286.5,1.122
287.0,1.115
287.5,1.110
288.0,1.105
288.5,1.099
289.0,1.091
289.5,1.082
290.0,1.073
290.5,1.065
291.0,1.058
291.5,1.051
292.0,1.044
292.5,1.038
293.0,1.033
293.5,1.028
294.0,1.022
294.5,1.015
295.0,1.009
295.5,1.004
296.0,0.999
296.5,0.995
297.0,0.992
297.5,0.988
298.0,0.985
298.5,0.981
299.0,0.979
299.5,0.977
300.0,0.974
300.5,0.971
301.0,0.967
301.5,0.963
302.0,0.961
302.5,0.961
303.0,0.961
303.5,0.961
304.0,0.960
304.5,0.959
305.0,0.959
305.5,0.958
306.0,0.959
306.5,0.959
307.0,0.960
307.5,0.960
308.0,0.960
308.5,0.961
309.0,0.963
309.5,0.965
310.0,0.968
310.5,0.970
311.0,0.971
311.5,0.972
312.0,0.972
312.5,0.972
313.0,0.971
313.5,0.972
314.0,0.975
314.5,0.979
315.0,0.984
315.5,0.986
316.0,0.986
316.5,0.986
317.0,0.989
317.5,0.993
318.0,0.997
318.5,1.000
319.0,1.001
319.5,1.002
320.0,1.003
320.5,1.003
321.0,1.003
321.5,1.003
322.0,1.003
322.5,1.001
323.0,0.997
323.5,0.993
324.0,0.990
324.5,0.988
325.0,0.987
325.5,0.984
326.0,0.978
326.5,0.972
327.0,0.966
327.5,0.962
328.0,0.957
328.5,0.951
329.0,0.944
329.5,0.938
330.0,0.934
330.5,0.931
331.0,0.924
331.5,0.912
332.0,0.900
332.5,0.891
333.0,0.885
333.5,0.877
334.0,0.865
334.5,0.851
335.0,0.836
335.5,0.825
336.0,0.816
336.5,0.808
337.0,0.799
337.5,0.788
338.0,0.776
338.5,0.763
339.0,0.749
339.5,0.731
340.0,0.712
340.5,0.694
341.0,0.679
341.5,0.668
342.0,0.660
342.5,0.653
343.0,0.646
343.5,0.636
344.0,0.620
344.5,0.602
345.0,0.586
345.5,0.572
346.0,0.559
346.5,0.543
347.0,0.527
347.5,0.514
348.0,0.504
348.5,0.494
349.0,0.482
349.5,0.469
350.0,0.459
350.5,0.453
351.0,0.449
351.5,0.443
352.0,0.433
352.5,0.418
353.0,0.401
353.5,0.382
354.0,0.366
354.5,0.353
355.0,0.345
355.5,0.340
356.0,0.333
356.5,0.324
357.0,0.315
357.5,0.307
358.0,0.302
358.5,0.297
359.0,0.289
359.5,0.278
360.0,0.266
360.5,0.256
361.0,0.247
361.5,0.241
362.0,0.236
362.5,0.233
363.0,0.230
363.5,0.226
364.0,0.220
364.5,0.212
365.0,0.205
