Batch,scan005
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,09/10/2025
Time Collected,05:46:11
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,2.026
225.5,1.977
226.0,1.928
226.5,1.882
227.0,1.839
227.5,1.801
228.0,1.769
228.5,1.742
229.0,1.718
229.5,1.696
230.0,1.674
230.5,1.654
231.0,1.635
231.5,1.616
232.0,1.597
232.5,1.578
233.0,1.560
233.5,1.541
234.0,1.521
234.5,1.501
235.0,1.482
235.5,1.464
236.0,1.448
236.5,1.433
237.0,1.418
237.5,1.404
238.0,1.392
238.5,1.380
239.0,1.370
239.5,1.360
240.0,1.349
240.5,1.337
241.0,1.326
241.5,1.316
242.0,1.307
242.5,1.299
243.0,1.292
243.5,1.285
244.0,1.277
244.5,1.270
245.0,1.263
245.5,1.257
246.0,1.252
246.5,1.247
247.0,1.243
247.5,1.239
248.0,1.236
248.5,1.231
249.0,1.226
249.5,1.222
250.0,1.218
250.5,1.214
251.0,1.210
251.5,1.207
252.0,1.204
252.5,1.201
253.0,1.200
253.5,1.198
254.0,1.196
254.5,1.196
255.0,1.196
255.5,1.198
256.0,1.200
256.5,1.203
257.0,1.206
257.5,1.211
258.0,1.217
258.5,1.224
259.0,1.231
259.5,1.238
260.0,1.246
260.5,1.256
261.0,1.267
261.5,1.278
262.0,1.290
262.5,1.302
263.0,1.314
263.5,1.327
264.0,1.339
264.5,1.352
265.0,1.364
265.5,1.378
266.0,1.391
266.5,1.404
267.0,1.413
267.5,1.422
268.0,1.431
268.5,1.443
269.0,1.458
269.5,1.476
270.0,1.493
270.5,1.508
271.0,1.519
271.5,1.527
272.0,1.534
272.5,1.543
273.0,1.553
273.5,1.560
274.0,1.560
274.5,1.556
275.0,1.553
275.5,1.553
276.0,1.556
276.5,1.561
277.0,1.565
277.5,1.570
278.0,1.575
278.5,1.577
279.0,1.575
279.5,1.572
280.0,1.568
280.5,1.566
281.0,1.564
281.5,1.561
282.0,1.558
282.5,1.554
283.0,1.550
283.5,1.547
284.0,1.541
284.5,1.532
285.0,1.519
285.5,1.506
286.0,1.496
286.5,1.487
287.0,1.480
287.5,1.472
288.0,1.463
288.5,1.451
289.0,1.437
289.5,1.424
290.0,1.413
290.5,1.403
291.0,1.395
291.5,1.388
292.0,1.381
292.5,1.372
293.0,1.363
293.5,1.353
294.0,1.344
294.5,1.337
295.0,1.330
295.5,1.323
296.0,1.316
296.5,1.309
297.0,1.304
297.5,1.298
298.0,1.292
298.5,1.286
299.0,1.281
299.5,1.276
300.0,1.273
300.5,1.270
301.0,1.268
301.5,1.266
302.0,1.263
302.5,1.260
303.0,1.258
303.5,1.256
304.0,1.255
304.5,1.256
305.0,1.258
305.5,1.258
306.0,1.255
306.5,1.250
307.0,1.245
307.5,1.242
308.0,1.245
308.5,1.252
309.0,1.260
309.5,1.265
310.0,1.268
310.5,1.270
311.0,1.272
311.5,1.274
312.0,1.276
312.5,1.278
313.0,1.277
313.5,1.277
314.0,1.279
314.5,1.284
315.0,1.291
315.5,1.295
316.0,1.296
316.5,1.297
317.0,1.299
317.5,1.302
318.0,1.304
318.5,1.303
319.0,1.302
319.5,1.303
320.0,1.303
320.5,1.303
321.0,1.302
321.5,1.301
322.0,1.303
322.5,1.305
323.0,1.304
323.5,1.301
324.0,1.294
324.5,1.288
325.0,1.284
325.5,1.281
326.0,1.279
326.5,1.276
327.0,1.271
327.5,1.264
328.0,1.254
328.5,1.241
329.0,1.228
329.5,1.219
330.0,1.215
330.5,1.211
331.0,1.203
331.5,1.189
332.0,1.173
332.5,1.159
333.0,1.145
333.5,1.130
334.0,1.113
334.5,1.098
335.0,1.085
335.5,1.072
336.0,1.058
336.5,1.043
337.0,1.029
337.5,1.017
338.0,1.006
338.5,0.992
339.0,0.973
339.5,0.950
340.0,0.925
340.5,0.901
341.0,0.879
341.5,0.861
342.0,0.847
342.5,0.839
343.0,0.831
343.5,0.819
344.0,0.798
344.5,0.772
345.0,0.747
345.5,0.724
346.0,0.706
346.5,0.688
347.0,0.674
347.5,0.665
348.0,0.659
348.5,0.649
349.0,0.630
349.5,0.604
350.0,0.580
350.5,0.565
351.0,0.556
351.5,0.549
352.0,0.541
352.5,0.530
353.0,0.514
353.5,0.493
354.0,0.471
354.5,0.453
355.0,0.442
355.5,0.435
356.0,0.429
356.5,0.421
357.0,0.411
357.5,0.400
358.0,0.387
358.5,0.370
359.0,0.353
359.5,0.338
360.0,0.328
360.5,0.324
361.0,0.322
361.5,0.318
362.0,0.313
362.5,0.306
363.0,0.297
