nm,A_7_5g,A_15g,A_18g,A_22_5g
230.5,1.051,2.449,1.234,1.654
231.0,1.04,2.392,1.22,1.635
231.5,1.03,2.337,1.207,1.616
232.0,1.02,2.29,1.195,1.597
232.5,1.009,2.249,1.182,1.578
233.0,0.998,2.211,1.169,1.56
233.5,0.987,2.174,1.155,1.541
234.0,0.976,2.139,1.142,1.521
234.5,0.966,2.108,1.13,1.501
235.0,0.955,2.08,1.117,1.482
235.5,0.944,2.051,1.106,1.464
236.0,0.933,2.021,1.094,1.448
236.5,0.923,1.99,1.083,1.433
237.0,0.914,1.96,1.072,1.418
237.5,0.905,1.935,1.062,1.404
238.0,0.897,1.915,1.051,1.392
238.5,0.889,1.899,1.041,1.38
239.0,0.882,1.884,1.033,1.37
239.5,0.875,1.867,1.025,1.36
240.0,0.868,1.849,1.017,1.349
240.5,0.862,1.831,1.01,1.337
241.0,0.856,1.816,1.003,1.326
241.5,0.85,1.802,0.997,1.316
242.0,0.844,1.79,0.991,1.307
242.5,0.839,1.778,0.985,1.299
243.0,0.834,1.767,0.979,1.292
243.5,0.829,1.755,0.973,1.285
244.0,0.825,1.744,0.968,1.277
244.5,0.821,1.733,0.964,1.27
245.0,0.817,1.723,0.959,1.263
245.5,0.813,1.714,0.955,1.257
246.0,0.81,1.705,0.951,1.252
246.5,0.806,1.696,0.947,1.247
247.0,0.803,1.687,0.943,1.243
247.5,0.8,1.679,0.939,1.239
248.0,0.797,1.672,0.935,1.236
248.5,0.795,1.668,0.932,1.231
249.0,0.792,1.664,0.929,1.226
249.5,0.789,1.66,0.926,1.222
250.0,0.787,1.654,0.924,1.218
250.5,0.784,1.647,0.921,1.214
251.0,0.783,1.639,0.918,1.21
251.5,0.781,1.632,0.915,1.207
252.0,0.779,1.625,0.912,1.204
252.5,0.777,1.621,0.91,1.201
253.0,0.775,1.617,0.908,1.2
253.5,0.773,1.614,0.906,1.198
254.0,0.773,1.611,0.906,1.196
254.5,0.773,1.61,0.906,1.196
255.0,0.774,1.612,0.907,1.196
255.5,0.775,1.616,0.907,1.198
256.0,0.775,1.62,0.908,1.2
256.5,0.777,1.625,0.909,1.203
257.0,0.779,1.63,0.911,1.206
257.5,0.783,1.635,0.914,1.211
258.0,0.787,1.642,0.919,1.217
258.5,0.791,1.651,0.924,1.224
259.0,0.794,1.66,0.929,1.231
259.5,0.798,1.671,0.934,1.238
260.0,0.803,1.683,0.939,1.246
260.5,0.809,1.696,0.945,1.256
261.0,0.816,1.709,0.953,1.267
261.5,0.823,1.723,0.962,1.278
262.0,0.831,1.741,0.972,1.29
262.5,0.839,1.764,0.982,1.302
263.0,0.848,1.79,0.992,1.314
263.5,0.857,1.814,1.002,1.327
264.0,0.865,1.835,1.012,1.339
264.5,0.872,1.851,1.021,1.352
265.0,0.878,1.863,1.029,1.364
265.5,0.885,1.875,1.036,1.378
266.0,0.892,1.887,1.043,1.391
266.5,0.898,1.9,1.05,1.404
267.0,0.905,1.914,1.058,1.413
267.5,0.912,1.93,1.066,1.422
268.0,0.919,1.947,1.076,1.431
268.5,0.926,1.963,1.085,1.443
269.0,0.934,1.975,1.095,1.458
269.5,0.942,1.985,1.106,1.476
270.0,0.95,2.006,1.117,1.493
270.5,0.958,2.039,1.128,1.508
271.0,0.965,2.075,1.137,1.519
271.5,0.971,2.099,1.143,1.527
272.0,0.975,2.106,1.148,1.534
272.5,0.979,2.104,1.153,1.543
273.0,0.983,2.105,1.159,1.553
273.5,0.986,2.115,1.164,1.56
274.0,0.988,2.132,1.167,1.56
274.5,0.99,2.151,1.17,1.556
275.0,0.99,2.166,1.171,1.553
275.5,0.992,2.174,1.172,1.553
276.0,0.993,2.174,1.173,1.556
276.5,0.995,2.171,1.174,1.561
277.0,0.995,2.166,1.174,1.565
277.5,0.995,2.158,1.175,1.57
278.0,0.994,2.145,1.175,1.575
278.5,0.993,2.132,1.175,1.577
279.0,0.992,2.127,1.176,1.575
279.5,0.992,2.134,1.176,1.572
280.0,0.991,2.147,1.175,1.568
280.5,0.99,2.154,1.175,1.566
281.0,0.99,2.148,1.175,1.564
281.5,0.989,2.129,1.175,1.561
282.0,0.986,2.105,1.174,1.558
282.5,0.982,2.085,1.171,1.554
283.0,0.978,2.073,1.166,1.55
283.5,0.975,2.069,1.16,1.547
284.0,0.971,2.068,1.155,1.541
284.5,0.967,2.063,1.151,1.532
285.0,0.962,2.053,1.145,1.519
285.5,0.955,2.042,1.138,1.506
286.0,0.947,2.035,1.13,1.496
286.5,0.939,2.03,1.122,1.487
287.0,0.933,2.023,1.115,1.48
287.5,0.929,2.01,1.11,1.472
288.0,0.925,1.993,1.105,1.463
288.5,0.92,1.972,1.099,1.451
289.0,0.912,1.951,1.091,1.437
289.5,0.904,1.931,1.082,1.424
290.0,0.896,1.914,1.073,1.413
290.5,0.889,1.9,1.065,1.403
291.0,0.883,1.89,1.058,1.395
291.5,0.877,1.881,1.051,1.388
292.0,0.871,1.869,1.044,1.381
292.5,0.867,1.853,1.038,1.372
293.0,0.862,1.836,1.033,1.363
293.5,0.857,1.82,1.028,1.353
294.0,0.851,1.806,1.022,1.344
294.5,0.845,1.793,1.015,1.337
295.0,0.84,1.783,1.009,1.33
295.5,0.835,1.776,1.004,1.323
296.0,0.832,1.771,0.999,1.316
296.5,0.829,1.767,0.995,1.309
297.0,0.826,1.763,0.992,1.304
297.5,0.823,1.756,0.988,1.298
298.0,0.82,1.75,0.985,1.292
298.5,0.818,1.741,0.981,1.286
299.0,0.815,1.73,0.979,1.281
299.5,0.812,1.717,0.977,1.276
300.0,0.809,1.708,0.974,1.273
300.5,0.806,1.707,0.971,1.27
301.0,0.803,1.711,0.967,1.268
301.5,0.802,1.715,0.963,1.266
302.0,0.802,1.713,0.961,1.263
302.5,0.803,1.707,0.961,1.26
303.0,0.803,1.701,0.961,1.258
303.5,0.802,1.695,0.961,1.256
304.0,0.8,1.691,0.96,1.255
304.5,0.799,1.689,0.959,1.256
305.0,0.799,1.69,0.959,1.258
305.5,0.8,1.692,0.958,1.258
306.0,0.801,1.693,0.959,1.255
306.5,0.801,1.693,0.959,1.25
307.0,0.8,1.689,0.96,1.245
307.5,0.799,1.687,0.96,1.242
308.0,0.799,1.688,0.96,1.245
308.5,0.8,1.693,0.961,1.252
309.0,0.801,1.696,0.963,1.26
309.5,0.803,1.696,0.965,1.265
310.0,0.806,1.695,0.968,1.268
310.5,0.808,1.697,0.97,1.27
311.0,0.811,1.702,0.971,1.272
311.5,0.813,1.708,0.972,1.274
312.0,0.813,1.712,0.972,1.276
312.5,0.812,1.714,0.972,1.278
313.0,0.811,1.716,0.971,1.277
313.5,0.811,1.72,0.972,1.277
314.0,0.813,1.728,0.975,1.279
314.5,0.814,1.737,0.979,1.284
315.0,0.815,1.745,0.984,1.291
315.5,0.817,1.749,0.986,1.295
316.0,0.818,1.753,0.986,1.296
316.5,0.82,1.757,0.986,1.297
317.0,0.822,1.76,0.989,1.299
317.5,0.824,1.763,0.993,1.302
318.0,0.828,1.765,0.997,1.304
318.5,0.831,1.766,1.0,1.303
319.0,0.833,1.764,1.001,1.302
319.5,0.834,1.759,1.002,1.303
320.0,0.833,1.753,1.003,1.303
320.5,0.833,1.749,1.003,1.303
321.0,0.833,1.748,1.003,1.302
321.5,0.833,1.749,1.003,1.301
322.0,0.833,1.75,1.003,1.303
322.5,0.832,1.748,1.001,1.305
323.0,0.829,1.741,0.997,1.304
323.5,0.826,1.733,0.993,1.301
324.0,0.823,1.73,0.99,1.294
324.5,0.821,1.73,0.988,1.288
325.0,0.82,1.731,0.987,1.284
325.5,0.819,1.727,0.984,1.281
326.0,0.816,1.718,0.978,1.279
326.5,0.811,1.706,0.972,1.276
327.0,0.805,1.693,0.966,1.271
327.5,0.799,1.682,0.962,1.264
328.0,0.794,1.673,0.957,1.254
328.5,0.788,1.662,0.951,1.241
329.0,0.783,1.649,0.944,1.228
329.5,0.78,1.636,0.938,1.219
330.0,0.777,1.626,0.934,1.215
330.5,0.774,1.618,0.931,1.211
331.0,0.768,1.606,0.924,1.203
331.5,0.757,1.586,0.912,1.189
332.0,0.747,1.562,0.9,1.173
332.5,0.739,1.541,0.891,1.159
333.0,0.733,1.523,0.885,1.145
333.5,0.725,1.508,0.877,1.13
334.0,0.713,1.492,0.865,1.113
334.5,0.7,1.474,0.851,1.098
335.0,0.689,1.455,0.836,1.085
335.5,0.681,1.436,0.825,1.072
336.0,0.677,1.418,0.816,1.058
336.5,0.673,1.403,0.808,1.043
337.0,0.666,1.385,0.799,1.029
337.5,0.655,1.363,0.788,1.017
338.0,0.643,1.338,0.776,1.006
338.5,0.631,1.311,0.763,0.992
339.0,0.619,1.285,0.749,0.973
339.5,0.605,1.256,0.731,0.95
340.0,0.591,1.225,0.712,0.925
340.5,0.577,1.195,0.694,0.901
341.0,0.566,1.167,0.679,0.879
341.5,0.557,1.144,0.668,0.861
342.0,0.549,1.125,0.66,0.847
342.5,0.543,1.108,0.653,0.839
343.0,0.538,1.091,0.646,0.831
343.5,0.531,1.071,0.636,0.819
344.0,0.52,1.048,0.62,0.798
344.5,0.504,1.027,0.602,0.772
345.0,0.488,1.007,0.586,0.747
345.5,0.474,0.988,0.572,0.724
346.0,0.46,0.966,0.559,0.706
346.5,0.444,0.941,0.543,0.688
347.0,0.43,0.914,0.527,0.674
347.5,0.422,0.89,0.514,0.665
348.0,0.419,0.867,0.504,0.659
348.5,0.415,0.843,0.494,0.649
349.0,0.406,0.817,0.482,0.63
349.5,0.39,0.79,0.469,0.604
350.0,0.374,0.77,0.459,0.58
350.5,0.365,0.756,0.453,0.565
351.0,0.362,0.746,0.449,0.556
351.5,0.362,0.735,0.443,0.549
352.0,0.359,0.716,0.433,0.541
352.5,0.35,0.69,0.418,0.53
353.0,0.335,0.662,0.401,0.514
353.5,0.318,0.637,0.382,0.493
354.0,0.301,0.618,0.366,0.471
354.5,0.29,0.603,0.353,0.453
355.0,0.284,0.591,0.345,0.442
355.5,0.282,0.578,0.34,0.435
356.0,0.28,0.562,0.333,0.429
356.5,0.274,0.543,0.324,0.421
357.0,0.265,0.525,0.315,0.411
357.5,0.256,0.51,0.307,0.4
358.0,0.247,0.498,0.302,0.387
358.5,0.239,0.486,0.297,0.37
359.0,0.232,0.471,0.289,0.353
359.5,0.226,0.454,0.278,0.338
360.0,0.221,0.439,0.266,0.328
360.5,0.216,0.426,0.256,0.324
361.0,0.212,0.418,0.247,0.322
361.5,0.207,0.411,0.241,0.318
362.0,0.203,0.405,0.236,0.313
362.5,0.2,0.398,0.233,0.306
363.0,0.196,0.39,0.23,0.297
363.5,0.19,0.379,0.226,0.284
364.0,0.182,0.365,0.22,0.271
364.5,0.173,0.35,0.212,0.26
365.0,0.163,0.335,0.205,0.251
365.5,0.154,0.324,0.2,0.244
366.0,0.148,0.317,0.197,0.238
366.5,0.143,0.31,0.195,0.233
367.0,0.141,0.303,0.192,0.231
367.5,0.142,0.298,0.189,0.229
368.0,0.146,0.297,0.188,0.228
368.5,0.15,0.298,0.185,0.227
369.0,0.152,0.297,0.179,0.227
369.5,0.153,0.295,0.174,0.227
370.0,0.154,0.292,0.172,0.225
370.5,0.155,0.288,0.176,0.218
371.0,0.154,0.279,0.18,0.206
371.5,0.147,0.266,0.178,0.193
372.0,0.137,0.252,0.168,0.183
372.5,0.129,0.245,0.153,0.18
373.0,0.127,0.245,0.143,0.185
373.5,0.129,0.249,0.143,0.194
374.0,0.128,0.25,0.153,0.199
374.5,0.12,0.243,0.161,0.193
375.0,0.104,0.226,0.157,0.178
375.5,0.084,0.206,0.141,0.16
376.0,0.07,0.191,0.123,0.147
376.5,0.068,0.186,0.11,0.142
377.0,0.078,0.19,0.107,0.144
377.5,0.093,0.197,0.113,0.148
378.0,0.104,0.202,0.122,0.152
378.5,0.107,0.204,0.13,0.154
379.0,0.105,0.204,0.133,0.154
379.5,0.103,0.203,0.131,0.151
380.0,0.104,0.202,0.128,0.148
380.5,0.107,0.202,0.128,0.149
381.0,0.113,0.209,0.136,0.158
381.5,0.12,0.219,0.147,0.167
382.0,0.126,0.224,0.152,0.169
382.5,0.125,0.219,0.145,0.165
383.0,0.117,0.203,0.129,0.156
383.5,0.101,0.181,0.113,0.146
384.0,0.083,0.161,0.103,0.133
384.5,0.071,0.15,0.099,0.12
385.0,0.069,0.152,0.103,0.114
385.5,0.075,0.162,0.111,0.118
386.0,0.08,0.172,0.118,0.126
386.5,0.08,0.173,0.118,0.131
387.0,0.079,0.165,0.116,0.131
387.5,0.083,0.156,0.115,0.129
388.0,0.091,0.151,0.116,0.128
388.5,0.095,0.152,0.117,0.13
389.0,0.092,0.155,0.116,0.131
389.5,0.085,0.156,0.112,0.129
390.0,0.078,0.154,0.104,0.124
390.5,0.074,0.148,0.095,0.117
391.0,0.073,0.143,0.089,0.111
391.5,0.074,0.144,0.086,0.108
392.0,0.077,0.149,0.085,0.106
392.5,0.079,0.154,0.086,0.105
393.0,0.079,0.154,0.085,0.104
393.5,0.074,0.147,0.081,0.103
394.0,0.069,0.14,0.078,0.104
394.5,0.067,0.139,0.08,0.108
395.0,0.071,0.142,0.087,0.112
395.5,0.078,0.144,0.095,0.113
396.0,0.083,0.142,0.101,0.11
396.5,0.084,0.138,0.103,0.106
397.0,0.081,0.131,0.102,0.102
397.5,0.073,0.123,0.098,0.099
398.0,0.066,0.117,0.092,0.098
398.5,0.063,0.116,0.085,0.097
399.0,0.065,0.12,0.078,0.094
399.5,0.069,0.126,0.074,0.09
400.0,0.071,0.128,0.075,0.086
400.5,0.074,0.128,0.08,0.086
401.0,0.075,0.125,0.085,0.091
401.5,0.072,0.123,0.088,0.096
402.0,0.067,0.123,0.086,0.098
402.5,0.064,0.125,0.082,0.097
403.0,0.062,0.126,0.077,0.094
403.5,0.063,0.123,0.072,0.091
404.0,0.062,0.115,0.068,0.085
404.5,0.061,0.104,0.064,0.077
405.0,0.06,0.096,0.064,0.069
405.5,0.058,0.096,0.069,0.066
406.0,0.056,0.102,0.077,0.068
