Batch,scan001
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,09/10/2025
Time Collected,06:16:56
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,98.807
395.0,98.727
396.0,96.533
397.0,96.999
398.0,102.898
399.0,106.748
400.0,103.278
401.0,96.895
402.0,95.294
403.0,97.063
404.0,97.867
405.0,100.125
406.0,103.443
407.0,105.237
408.0,105.066
409.0,102.912
410.0,102.312
411.0,103.912
412.0,102.743
413.0,98.705
414.0,96.366
415.0,96.417
416.0,96.410
417.0,97.586
418.0,100.537
419.0,102.552
420.0,103.391
421.0,102.747
422.0,101.813
423.0,102.377
424.0,101.473
425.0,98.306
426.0,96.342
427.0,96.799
428.0,97.412
429.0,96.930
430.0,97.727
431.0,100.181
432.0,100.458
433.0,98.819
434.0,99.304
435.0,100.806
436.0,99.740
437.0,97.844
438.0,98.449
439.0,99.747
440.0,100.095
441.0,102.108
442.0,103.509
443.0,100.714
444.0,98.865
445.0,99.564
446.0,99.446
447.0,99.379
448.0,98.530
449.0,97.822
450.0,100.013
451.0,101.880
452.0,101.632
453.0,100.701
454.0,99.471
455.0,99.010
456.0,99.353
457.0,99.823
458.0,100.570
459.0,100.512
460.0,100.141
461.0,101.154
462.0,101.022
463.0,98.951
464.0,98.476
465.0,99.365
466.0,99.636
467.0,99.568
468.0,99.458
469.0,99.246
470.0,98.929
471.0,98.942
472.0,99.360
473.0,99.554
474.0,99.616
475.0,100.238
476.0,101.041
477.0,100.617
478.0,99.320
479.0,98.649
480.0,99.143
481.0,99.971
482.0,99.352
483.0,98.192
484.0,98.809
485.0,100.401
486.0,101.242
487.0,100.832
488.0,99.636
489.0,99.313
490.0,100.018
491.0,100.155
492.0,100.007
493.0,99.982
494.0,99.572
495.0,99.704
496.0,100.037
497.0,99.376
498.0,99.194
499.0,100.027
500.0,100.216
501.0,99.792
502.0,99.529
503.0,99.248
504.0,99.386
505.0,100.061
506.0,100.149
507.0,99.909
508.0,100.326
509.0,101.102
510.0,101.763
511.0,101.609
512.0,100.470
513.0,99.342
514.0,99.010
515.0,99.630
516.0,100.255
517.0,100.193
518.0,100.004
519.0,99.825
520.0,99.540
521.0,99.310
522.0,99.206
523.0,99.524
524.0,100.127
525.0,100.211
526.0,99.876
527.0,99.809
528.0,99.851
529.0,99.984
530.0,100.439
531.0,100.498
532.0,100.037
533.0,99.777
534.0,99.721
535.0,99.936
536.0,100.328
