Batch,scan003
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,09/10/2025
Time Collected,06:44:58
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,39.553
395.0,41.682
396.0,41.626
397.0,40.308
398.0,43.232
399.0,46.352
400.0,44.783
401.0,43.182
402.0,43.856
403.0,44.934
404.0,46.177
405.0,47.475
406.0,49.243
407.0,51.150
408.0,51.004
409.0,49.888
410.0,50.824
411.0,52.806
412.0,53.608
413.0,53.346
414.0,53.141
415.0,53.877
416.0,55.058
417.0,55.986
418.0,56.692
419.0,56.301
420.0,55.397
421.0,56.335
422.0,58.645
423.0,60.296
424.0,60.595
425.0,59.535
426.0,58.548
427.0,59.133
428.0,60.172
429.0,60.304
430.0,60.551
431.0,61.319
432.0,61.176
433.0,61.041
434.0,62.280
435.0,63.207
436.0,63.376
437.0,64.194
438.0,64.938
439.0,64.698
440.0,64.749
441.0,65.665
442.0,66.331
443.0,66.792
444.0,67.138
445.0,66.308
446.0,66.010
447.0,67.119
448.0,66.493
449.0,65.380
450.0,67.542
451.0,70.943
452.0,72.120
453.0,70.707
454.0,68.985
455.0,69.147
456.0,70.246
457.0,70.768
458.0,70.970
459.0,71.551
460.0,72.146
461.0,72.136
462.0,71.872
463.0,72.171
464.0,72.980
465.0,73.420
466.0,73.575
467.0,73.694
468.0,73.858
469.0,74.284
470.0,74.356
471.0,74.409
472.0,74.998
473.0,75.275
474.0,75.288
475.0,75.715
476.0,76.567
477.0,77.288
478.0,76.924
479.0,75.938
480.0,76.287
481.0,77.636
482.0,77.778
483.0,77.311
484.0,77.807
485.0,78.531
486.0,78.636
487.0,78.502
488.0,78.676
489.0,79.085
490.0,79.035
491.0,79.042
492.0,80.043
493.0,80.423
494.0,79.709
495.0,80.133
496.0,81.152
497.0,81.000
498.0,80.803
499.0,81.314
500.0,81.524
501.0,81.610
502.0,81.952
503.0,82.099
504.0,82.247
505.0,82.569
506.0,82.987
507.0,83.239
508.0,83.002
509.0,83.126
510.0,83.952
511.0,84.018
512.0,83.368
513.0,83.485
514.0,83.903
515.0,83.911
516.0,84.011
517.0,84.359
518.0,84.531
519.0,84.253
520.0,83.878
521.0,83.862
522.0,84.260
523.0,84.682
524.0,84.989
525.0,85.440
526.0,85.720
527.0,85.682
528.0,85.708
529.0,85.731
530.0,85.585
531.0,85.680
532.0,86.174
533.0,86.438
534.0,86.351
535.0,86.341
536.0,86.614
