Batch,scan005
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,09/10/2025
Time Collected,07:07:41
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,27.562
395.0,29.078
396.0,29.182
397.0,28.767
398.0,30.691
399.0,32.535
400.0,32.143
401.0,31.509
402.0,31.837
403.0,32.816
404.0,34.260
405.0,35.534
406.0,36.573
407.0,38.360
408.0,39.505
409.0,38.831
410.0,39.029
411.0,40.539
412.0,40.519
413.0,39.466
414.0,39.810
415.0,41.338
416.0,42.651
417.0,43.544
418.0,44.513
419.0,45.438
420.0,45.491
421.0,44.722
422.0,45.076
423.0,46.738
424.0,47.433
425.0,47.238
426.0,47.234
427.0,47.564
428.0,48.333
429.0,49.021
430.0,50.003
431.0,51.045
432.0,50.852
433.0,50.714
434.0,51.457
435.0,51.837
436.0,52.238
437.0,53.261
438.0,54.010
439.0,53.902
440.0,54.002
441.0,55.164
442.0,55.730
443.0,55.770
444.0,56.509
445.0,56.180
446.0,55.347
447.0,56.110
448.0,56.619
449.0,56.140
450.0,57.011
451.0,58.820
452.0,59.754
453.0,59.757
454.0,59.466
455.0,59.880
456.0,60.544
457.0,60.783
458.0,61.250
459.0,61.605
460.0,61.971
461.0,62.874
462.0,63.011
463.0,62.355
464.0,62.704
465.0,63.983
466.0,64.857
467.0,65.153
468.0,65.598
469.0,65.773
470.0,64.979
471.0,65.002
472.0,66.238
473.0,66.559
474.0,66.529
475.0,67.428
476.0,68.347
477.0,68.382
478.0,67.851
479.0,67.620
480.0,68.110
481.0,68.814
482.0,68.661
483.0,68.170
484.0,68.839
485.0,69.983
486.0,70.374
487.0,70.441
488.0,70.784
489.0,71.249
490.0,71.654
491.0,72.125
492.0,72.560
493.0,72.600
494.0,72.646
495.0,73.346
496.0,73.813
497.0,73.355
498.0,73.352
499.0,74.186
500.0,74.689
501.0,74.805
502.0,74.904
503.0,74.995
504.0,75.046
505.0,75.207
506.0,75.660
507.0,75.840
508.0,76.004
509.0,77.060
510.0,77.969
511.0,77.649
512.0,77.055
513.0,77.056
514.0,77.287
515.0,77.586
516.0,78.174
517.0,78.584
518.0,78.314
519.0,77.791
520.0,77.688
521.0,78.003
522.0,78.202
523.0,78.396
524.0,79.067
525.0,79.783
526.0,80.037
527.0,80.046
528.0,80.180
529.0,80.320
530.0,80.191
531.0,80.239
532.0,80.712
533.0,81.091
534.0,81.162
535.0,81.376
536.0,81.932
