Batch,scan001
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,04:46:02
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,0.001
204.5,0.001
205.0,0.001
205.5,0.001
206.0,0.001
206.5,0.001
207.0,0.001
207.5,0.000
208.0,0.000
208.5,0.000
209.0,0.000
209.5,0.000
210.0,0.000
210.5,0.001
211.0,0.001
211.5,0.001
212.0,0.001
212.5,0.001
213.0,0.000
213.5,0.000
214.0,0.000
214.5,0.001
215.0,0.001
215.5,0.001
216.0,0.001
216.5,0.001
217.0,0.000
217.5,0.000
218.0,0.000
218.5,0.000
219.0,0.001
219.5,0.001
220.0,0.001
220.5,0.000
221.0,0.000
221.5,0.000
222.0,0.000
222.5,0.000
223.0,0.000
223.5,0.001
224.0,0.001
224.5,0.001
225.0,0.000
225.5,0.000
226.0,0.000
226.5,0.001
227.0,0.001
227.5,0.001
228.0,0.000
228.5,0.000
229.0,0.000
229.5,0.000
230.0,0.000
230.5,0.000
231.0,0.001
231.5,0.001
232.0,0.001
232.5,0.001
233.0,0.000
233.5,0.000
234.0,0.000
234.5,0.000
235.0,0.000
235.5,0.001
236.0,0.001
236.5,0.000
237.0,0.000
237.5,0.000
238.0,0.001
238.5,0.001
239.0,0.001
239.5,0.001
240.0,0.001
240.5,0.000
241.0,0.000
241.5,0.000
242.0,0.000
242.5,0.000
243.0,0.000
243.5,0.000
244.0,0.001
244.5,0.001
245.0,0.001
245.5,0.000
246.0,0.000
246.5,-0.001
247.0,-0.001
247.5,0.000
248.0,0.000
248.5,0.000
249.0,-0.001
249.5,-0.001
250.0,-0.001
250.5,0.000
251.0,0.000
251.5,0.000
252.0,0.000
252.5,0.001
253.0,0.001
253.5,0.002
254.0,0.002
254.5,0.002
255.0,0.001
255.5,0.001
256.0,0.000
256.5,0.000
257.0,0.000
257.5,0.000
258.0,0.001
258.5,0.001
259.0,0.001
259.5,0.001
260.0,0.001
260.5,0.000
261.0,0.000
261.5,0.001
262.0,0.001
262.5,0.001
263.0,0.001
263.5,0.000
264.0,0.000
264.5,0.000
265.0,0.001
265.5,0.001
266.0,0.001
266.5,0.000
267.0,0.000
267.5,0.000
268.0,0.001
268.5,0.002
269.0,0.003
269.5,0.002
270.0,0.001
270.5,0.000
271.0,0.000
271.5,0.000
272.0,0.001
272.5,0.001
273.0,0.002
273.5,0.002
274.0,0.002
274.5,0.001
275.0,0.001
275.5,0.001
276.0,0.001
276.5,0.001
277.0,0.001
277.5,0.000
278.0,0.000
278.5,0.000
279.0,0.001
279.5,0.002
280.0,0.002
280.5,0.001
281.0,0.001
281.5,0.000
282.0,0.000
282.5,0.000
283.0,-0.001
283.5,-0.001
284.0,-0.002
284.5,-0.001
285.0,0.001
285.5,0.002
286.0,0.003
286.5,0.003
287.0,0.002
287.5,0.001
288.0,0.000
288.5,-0.001
289.0,-0.001
289.5,0.000
290.0,0.000
290.5,0.000
291.0,0.000
291.5,0.000
292.0,0.000
292.5,0.000
293.0,-0.001
293.5,-0.002
294.0,-0.002
294.5,-0.001
295.0,-0.001
295.5,-0.001
296.0,-0.002
296.5,-0.003
297.0,-0.003
297.5,-0.003
298.0,-0.002
298.5,-0.001
299.0,0.000
299.5,-0.001
300.0,-0.001
300.5,-0.001
301.0,0.000
301.5,0.001
302.0,0.001
302.5,0.000
303.0,0.000
303.5,0.000
304.0,-0.001
304.5,-0.001
305.0,-0.002
305.5,-0.002
306.0,-0.001
306.5,0.000
307.0,0.000
307.5,0.001
308.0,0.001
308.5,0.002
309.0,0.002
309.5,0.003
310.0,0.003
310.5,0.003
311.0,0.003
311.5,0.003
312.0,0.002
312.5,0.002
313.0,0.002
313.5,0.002
314.0,0.001
314.5,-0.001
315.0,-0.002
315.5,-0.001
316.0,0.000
316.5,0.000
317.0,0.000
317.5,0.000
318.0,0.000
318.5,0.000
319.0,0.000
319.5,0.000
320.0,0.000
320.5,0.000
321.0,0.000
321.5,0.000
322.0,0.000
322.5,0.000
323.0,0.000
323.5,0.001
324.0,0.003
324.5,0.004
325.0,0.004
325.5,0.004
326.0,0.003
326.5,0.002
327.0,0.001
327.5,0.001
328.0,0.001
328.5,0.000
329.0,-0.001
329.5,-0.002
330.0,-0.002
330.5,-0.001
331.0,0.001
331.5,0.001
332.0,0.000
332.5,-0.002
333.0,-0.003
333.5,-0.003
334.0,-0.001
334.5,0.002
335.0,0.004
335.5,0.004
336.0,0.002
336.5,0.001
337.0,-0.002
337.5,-0.004
338.0,-0.007
338.5,-0.008
339.0,-0.008
339.5,-0.008
340.0,-0.008
340.5,-0.009
341.0,-0.012
341.5,-0.014
342.0,-0.014
342.5,-0.009
343.0,-0.003
343.5,0.001
344.0,0.001
344.5,-0.001
345.0,-0.003
345.5,-0.003
346.0,-0.004
346.5,-0.003
347.0,0.001
347.5,0.005
348.0,0.008
348.5,0.009
349.0,0.006
349.5,0.004
350.0,0.004
350.5,0.006
351.0,0.006
351.5,0.003
352.0,-0.001
352.5,-0.003
353.0,-0.002
353.5,-0.002
354.0,-0.003
354.5,-0.004
355.0,-0.006
355.5,-0.008
356.0,-0.008
356.5,-0.007
357.0,-0.004
357.5,-0.002
358.0,-0.002
358.5,-0.004
359.0,-0.006
359.5,-0.007
360.0,-0.007
360.5,-0.004
361.0,-0.001
361.5,0.001
362.0,0.001
362.5,0.002
363.0,0.005
363.5,0.008
364.0,0.008
364.5,0.003
365.0,-0.006
365.5,-0.014
366.0,-0.017
366.5,-0.014
367.0,-0.009
367.5,-0.004
368.0,-0.002
