nm,A
204.0,0.001
204.5,0.001
205.0,0.001
205.5,0.001
206.0,0.001
206.5,0.001
207.0,0.001
207.5,0.0
208.0,0.0
208.5,0.0
209.0,0.0
209.5,0.0
210.0,0.0
210.5,0.001
211.0,0.001
211.5,0.001
212.0,0.001
212.5,0.001
213.0,0.0
213.5,0.0
214.0,0.0
214.5,0.001
215.0,0.001
215.5,0.001
216.0,0.001
216.5,0.001
217.0,0.0
217.5,0.0
218.0,0.0
218.5,0.0
219.0,0.001
219.5,0.001
220.0,0.001
220.5,0.0
221.0,0.0
221.5,0.0
222.0,0.0
222.5,0.0
223.0,0.0
223.5,0.001
224.0,0.001
224.5,0.001
225.0,0.0
225.5,0.0
226.0,0.0
226.5,0.001
227.0,0.001
227.5,0.001
228.0,0.0
228.5,0.0
229.0,0.0
229.5,0.0
230.0,0.0
230.5,0.0
231.0,0.001
231.5,0.001
232.0,0.001
232.5,0.001
233.0,0.0
233.5,0.0
234.0,0.0
234.5,0.0
235.0,0.0
235.5,0.001
236.0,0.001
236.5,0.0
237.0,0.0
237.5,0.0
238.0,0.001
238.5,0.001
239.0,0.001
239.5,0.001
240.0,0.001
240.5,0.0
241.0,0.0
241.5,0.0
242.0,0.0
242.5,0.0
243.0,0.0
243.5,0.0
244.0,0.001
244.5,0.001
245.0,0.001
245.5,0.0
246.0,0.0
246.5,-0.001
247.0,-0.001
247.5,0.0
248.0,0.0
248.5,0.0
249.0,-0.001
249.5,-0.001
250.0,-0.001
250.5,0.0
251.0,0.0
251.5,0.0
252.0,0.0
252.5,0.001
253.0,0.001
253.5,0.002
254.0,0.002
254.5,0.002
255.0,0.001
255.5,0.001
256.0,0.0
256.5,0.0
257.0,0.0
257.5,0.0
258.0,0.001
258.5,0.001
259.0,0.001
259.5,0.001
260.0,0.001
260.5,0.0
261.0,0.0
261.5,0.001
262.0,0.001
262.5,0.001
263.0,0.001
263.5,0.0
264.0,0.0
264.5,0.0
265.0,0.001
265.5,0.001
266.0,0.001
266.5,0.0
267.0,0.0
267.5,0.0
268.0,0.001
268.5,0.002
269.0,0.003
269.5,0.002
270.0,0.001
270.5,0.0
271.0,0.0
271.5,0.0
272.0,0.001
272.5,0.001
273.0,0.002
273.5,0.002
274.0,0.002
274.5,0.001
275.0,0.001
275.5,0.001
276.0,0.001
276.5,0.001
277.0,0.001
277.5,0.0
278.0,0.0
278.5,0.0
279.0,0.001
279.5,0.002
280.0,0.002
280.5,0.001
281.0,0.001
281.5,0.0
282.0,0.0
282.5,0.0
283.0,-0.001
283.5,-0.001
284.0,-0.002
284.5,-0.001
285.0,0.001
285.5,0.002
286.0,0.003
286.5,0.003
287.0,0.002
287.5,0.001
288.0,0.0
288.5,-0.001
289.0,-0.001
289.5,0.0
290.0,0.0
290.5,0.0
291.0,0.0
291.5,0.0
292.0,0.0
292.5,0.0
293.0,-0.001
293.5,-0.002
294.0,-0.002
294.5,-0.001
295.0,-0.001
295.5,-0.001
296.0,-0.002
296.5,-0.003
297.0,-0.003
297.5,-0.003
298.0,-0.002
298.5,-0.001
299.0,0.0
299.5,-0.001
300.0,-0.001
300.5,-0.001
301.0,0.0
301.5,0.001
302.0,0.001
302.5,0.0
303.0,0.0
303.5,0.0
304.0,-0.001
304.5,-0.001
305.0,-0.002
305.5,-0.002
306.0,-0.001
306.5,0.0
307.0,0.0
307.5,0.001
308.0,0.001
308.5,0.002
309.0,0.002
309.5,0.003
310.0,0.003
310.5,0.003
311.0,0.003
311.5,0.003
312.0,0.002
312.5,0.002
313.0,0.002
313.5,0.002
314.0,0.001
314.5,-0.001
315.0,-0.002
315.5,-0.001
316.0,0.0
316.5,0.0
317.0,0.0
317.5,0.0
318.0,0.0
318.5,0.0
319.0,0.0
319.5,0.0
320.0,0.0
320.5,0.0
321.0,0.0
321.5,0.0
322.0,0.0
322.5,0.0
323.0,0.0
323.5,0.001
324.0,0.003
324.5,0.004
325.0,0.004
325.5,0.004
326.0,0.003
326.5,0.002
327.0,0.001
327.5,0.001
328.0,0.001
328.5,0.0
329.0,-0.001
329.5,-0.002
330.0,-0.002
330.5,-0.001
331.0,0.001
331.5,0.001
332.0,0.0
332.5,-0.002
333.0,-0.003
333.5,-0.003
334.0,-0.001
334.5,0.002
335.0,0.004
335.5,0.004
336.0,0.002
336.5,0.001
337.0,-0.002
337.5,-0.004
338.0,-0.007
338.5,-0.008
339.0,-0.008
339.5,-0.008
340.0,-0.008
340.5,-0.009
341.0,-0.012
341.5,-0.014
342.0,-0.014
342.5,-0.009
343.0,-0.003
343.5,0.001
344.0,0.001
344.5,-0.001
345.0,-0.003
345.5,-0.003
346.0,-0.004
346.5,-0.003
347.0,0.001
347.5,0.005
348.0,0.008
348.5,0.009
349.0,0.006
349.5,0.004
350.0,0.004
350.5,0.006
351.0,0.006
351.5,0.003
352.0,-0.001
352.5,-0.003
353.0,-0.002
353.5,-0.002
354.0,-0.003
354.5,-0.004
355.0,-0.006
355.5,-0.008
356.0,-0.008
356.5,-0.007
357.0,-0.004
357.5,-0.002
358.0,-0.002
358.5,-0.004
359.0,-0.006
359.5,-0.007
360.0,-0.007
360.5,-0.004
361.0,-0.001
361.5,0.001
362.0,0.001
362.5,0.002
363.0,0.005
363.5,0.008
364.0,0.008
364.5,0.003
365.0,-0.006
365.5,-0.014
366.0,-0.017
366.5,-0.014
367.0,-0.009
367.5,-0.004
368.0,-0.002
368.5,-0.001
369.0,0.002
369.5,0.005
370.0,0.008
370.5,0.008
371.0,0.009
371.5,0.009
372.0,0.007
372.5,0.003
373.0,-0.001
373.5,0.001
374.0,0.009
374.5,0.016
375.0,0.016
375.5,0.009
376.0,-0.002
376.5,-0.01
377.0,-0.012
377.5,-0.008
378.0,-0.002
378.5,0.006
379.0,0.017
379.5,0.026
380.0,0.028
380.5,0.017
381.0,-0.002
381.5,-0.02
382.0,-0.028
382.5,-0.025
383.0,-0.018
383.5,-0.014
384.0,-0.012
384.5,-0.008
385.0,-0.001
385.5,0.005
386.0,0.006
386.5,0.001
387.0,-0.008
387.5,-0.015
388.0,-0.016
388.5,-0.014
389.0,-0.012
389.5,-0.011
390.0,-0.008
390.5,0.003
391.0,0.017
391.5,0.028
392.0,0.031
392.5,0.024
393.0,0.011
393.5,-0.001
394.0,-0.007
394.5,-0.009
395.0,-0.008
395.5,-0.007
396.0,-0.004
396.5,0.0
397.0,0.004
397.5,0.005
398.0,0.004
398.5,0.003
399.0,0.005
399.5,0.008
400.0,0.008
400.5,0.004
401.0,-0.002
401.5,-0.008
402.0,-0.009
402.5,-0.006
403.0,0.001
403.5,0.009
404.0,0.013
404.5,0.01
405.0,0.002
405.5,-0.009
406.0,-0.016
