Batch,scan004
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,05:01:52
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,1.957
223.5,1.900
224.0,1.852
224.5,1.807
225.0,1.762
225.5,1.720
226.0,1.683
226.5,1.651
227.0,1.622
227.5,1.597
228.0,1.573
228.5,1.549
229.0,1.527
229.5,1.505
230.0,1.487
230.5,1.470
231.0,1.453
231.5,1.437
232.0,1.421
232.5,1.404
233.0,1.386
233.5,1.368
234.0,1.352
234.5,1.336
235.0,1.323
235.5,1.309
236.0,1.295
236.5,1.281
237.0,1.268
237.5,1.255
238.0,1.243
238.5,1.233
239.0,1.223
239.5,1.214
240.0,1.205
240.5,1.197
241.0,1.189
241.5,1.182
242.0,1.175
242.5,1.169
243.0,1.162
243.5,1.155
244.0,1.149
244.5,1.144
245.0,1.139
245.5,1.134
246.0,1.129
246.5,1.125
247.0,1.122
247.5,1.118
248.0,1.115
248.5,1.111
249.0,1.108
249.5,1.105
250.0,1.103
250.5,1.101
251.0,1.098
251.5,1.095
252.0,1.092
252.5,1.090
253.0,1.089
253.5,1.088
254.0,1.088
254.5,1.088
255.0,1.088
255.5,1.089
256.0,1.090
256.5,1.091
257.0,1.094
257.5,1.097
258.0,1.100
258.5,1.104
259.0,1.108
259.5,1.113
260.0,1.120
260.5,1.127
261.0,1.135
261.5,1.144
262.0,1.153
262.5,1.162
263.0,1.171
263.5,1.179
264.0,1.187
264.5,1.196
265.0,1.204
265.5,1.211
266.0,1.218
266.5,1.224
267.0,1.232
267.5,1.240
268.0,1.249
268.5,1.259
269.0,1.268
269.5,1.276
270.0,1.284
270.5,1.290
271.0,1.296
271.5,1.302
272.0,1.308
272.5,1.312
273.0,1.314
273.5,1.316
274.0,1.318
274.5,1.320
275.0,1.320
275.5,1.320
276.0,1.319
276.5,1.319
277.0,1.318
277.5,1.317
278.0,1.316
278.5,1.315
279.0,1.315
279.5,1.314
280.0,1.311
280.5,1.307
281.0,1.302
281.5,1.299
282.0,1.296
282.5,1.293
283.0,1.289
283.5,1.284
284.0,1.279
284.5,1.273
285.0,1.267
285.5,1.260
286.0,1.252
286.5,1.244
287.0,1.236
287.5,1.230
288.0,1.223
288.5,1.215
289.0,1.207
289.5,1.199
290.0,1.191
290.5,1.183
291.0,1.176
291.5,1.170
292.0,1.163
292.5,1.157
293.0,1.149
293.5,1.142
294.0,1.136
294.5,1.131
295.0,1.127
295.5,1.123
296.0,1.118
296.5,1.114
297.0,1.110
297.5,1.107
298.0,1.105
298.5,1.102
299.0,1.099
299.5,1.094
300.0,1.090
300.5,1.086
301.0,1.083
301.5,1.081
302.0,1.079
302.5,1.079
303.0,1.079
303.5,1.079
304.0,1.078
304.5,1.076
305.0,1.074
305.5,1.073
306.0,1.073
306.5,1.072
307.0,1.071
307.5,1.071
308.0,1.072
308.5,1.074
309.0,1.075
309.5,1.075
310.0,1.075
310.5,1.075
311.0,1.076
311.5,1.078
312.0,1.078
312.5,1.079
313.0,1.080
313.5,1.082
314.0,1.084
314.5,1.086
315.0,1.087
315.5,1.088
316.0,1.091
316.5,1.095
317.0,1.097
317.5,1.097
318.0,1.096
318.5,1.096
319.0,1.098
319.5,1.101
320.0,1.101
320.5,1.101
321.0,1.099
321.5,1.098
322.0,1.098
322.5,1.098
323.0,1.100
323.5,1.100
324.0,1.100
324.5,1.098
325.0,1.094
325.5,1.090
326.0,1.085
326.5,1.080
327.0,1.075
327.5,1.070
328.0,1.065
328.5,1.059
329.0,1.053
329.5,1.046
330.0,1.040
330.5,1.036
331.0,1.032
331.5,1.026
332.0,1.019
332.5,1.009
333.0,0.998
333.5,0.988
334.0,0.978
334.5,0.970
335.0,0.961
335.5,0.952
336.0,0.941
336.5,0.928
337.0,0.914
337.5,0.901
338.0,0.889
338.5,0.880
339.0,0.871
339.5,0.858
340.0,0.842
340.5,0.826
341.0,0.811
341.5,0.797
342.0,0.782
342.5,0.767
343.0,0.755
343.5,0.747
344.0,0.741
344.5,0.734
345.0,0.723
345.5,0.709
346.0,0.696
346.5,0.687
347.0,0.681
347.5,0.671
348.0,0.657
348.5,0.641
349.0,0.626
349.5,0.615
350.0,0.606
350.5,0.600
351.0,0.595
351.5,0.588
352.0,0.580
352.5,0.573
353.0,0.565
353.5,0.555
354.0,0.542
354.5,0.528
355.0,0.516
355.5,0.508
356.0,0.502
356.5,0.497
357.0,0.490
357.5,0.480
358.0,0.470
358.5,0.462
359.0,0.456
359.5,0.450
360.0,0.444
360.5,0.437
361.0,0.430
361.5,0.421
362.0,0.411
362.5,0.403
363.0,0.401
363.5,0.402
364.0,0.401
