Batch,scan005
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,05:06:58
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,XXX.XXX
214.0,XXX.XXX
214.5,XXX.XXX
215.0,XXX.XXX
215.5,XXX.XXX
216.0,XXX.XXX
216.5,XXX.XXX
217.0,XXX.XXX
217.5,XXX.XXX
218.0,XXX.XXX
218.5,XXX.XXX
219.0,XXX.XXX
219.5,XXX.XXX
220.0,XXX.XXX
220.5,XXX.XXX
221.0,XXX.XXX
221.5,XXX.XXX
222.0,XXX.XXX
222.5,XXX.XXX
223.0,XXX.XXX
223.5,XXX.XXX
224.0,XXX.XXX
224.5,XXX.XXX
225.0,XXX.XXX
225.5,XXX.XXX
226.0,XXX.XXX
226.5,XXX.XXX
227.0,XXX.XXX
227.5,XXX.XXX
228.0,XXX.XXX
228.5,XXX.XXX
229.0,XXX.XXX
229.5,XXX.XXX
230.0,XXX.XXX
230.5,XXX.XXX
231.0,2.434
231.5,2.386
232.0,2.338
232.5,2.293
233.0,2.249
233.5,2.208
234.0,2.172
234.5,2.138
235.0,2.105
235.5,2.074
236.0,2.047
236.5,2.026
237.0,2.006
237.5,1.987
238.0,1.968
238.5,1.950
239.0,1.933
239.5,1.915
240.0,1.897
240.5,1.880
241.0,1.863
241.5,1.848
242.0,1.834
242.5,1.822
243.0,1.812
243.5,1.801
244.0,1.790
244.5,1.779
245.0,1.768
245.5,1.759
246.0,1.751
246.5,1.745
247.0,1.740
247.5,1.734
248.0,1.728
248.5,1.721
249.0,1.714
249.5,1.707
250.0,1.701
250.5,1.697
251.0,1.692
251.5,1.687
252.0,1.681
252.5,1.675
253.0,1.671
253.5,1.669
254.0,1.667
254.5,1.667
255.0,1.667
255.5,1.669
256.0,1.670
256.5,1.672
257.0,1.674
257.5,1.678
258.0,1.685
258.5,1.693
259.0,1.701
259.5,1.709
260.0,1.717
260.5,1.725
261.0,1.736
261.5,1.749
262.0,1.764
262.5,1.781
263.0,1.799
263.5,1.816
264.0,1.834
264.5,1.850
265.0,1.864
265.5,1.875
266.0,1.885
266.5,1.897
267.0,1.912
267.5,1.933
268.0,1.956
268.5,1.977
269.0,1.992
269.5,2.001
270.0,2.008
270.5,2.017
271.0,2.028
271.5,2.040
272.0,2.050
272.5,2.058
273.0,2.065
273.5,2.073
274.0,2.084
274.5,2.093
275.0,2.098
275.5,2.098
276.0,2.096
276.5,2.095
277.0,2.096
277.5,2.097
278.0,2.098
278.5,2.099
279.0,2.101
279.5,2.103
280.0,2.104
280.5,2.100
281.0,2.090
281.5,2.076
282.0,2.061
282.5,2.046
283.0,2.035
283.5,2.029
284.0,2.027
284.5,2.026
285.0,2.021
285.5,2.011
286.0,1.999
286.5,1.983
287.0,1.967
287.5,1.952
288.0,1.940
288.5,1.931
289.0,1.919
289.5,1.903
290.0,1.886
290.5,1.872
291.0,1.863
291.5,1.855
292.0,1.847
292.5,1.836
293.0,1.823
293.5,1.809
294.0,1.796
294.5,1.785
295.0,1.775
295.5,1.769
296.0,1.764
296.5,1.759
297.0,1.753
297.5,1.745
298.0,1.737
298.5,1.729
299.0,1.723
299.5,1.717
300.0,1.713
300.5,1.711
301.0,1.711
301.5,1.709
302.0,1.704
302.5,1.698
303.0,1.693
303.5,1.691
304.0,1.688
304.5,1.686
305.0,1.684
305.5,1.686
306.0,1.690
306.5,1.694
307.0,1.696
307.5,1.696
308.0,1.693
308.5,1.688
309.0,1.683
309.5,1.679
310.0,1.680
310.5,1.686
311.0,1.696
311.5,1.705
312.0,1.710
312.5,1.713
313.0,1.715
313.5,1.717
314.0,1.717
314.5,1.718
315.0,1.720
315.5,1.724
316.0,1.728
316.5,1.731
317.0,1.735
317.5,1.737
318.0,1.737
318.5,1.735
319.0,1.731
319.5,1.729
320.0,1.729
320.5,1.731
321.0,1.732
321.5,1.734
322.0,1.737
322.5,1.738
323.0,1.736
323.5,1.728
324.0,1.719
324.5,1.714
325.0,1.713
325.5,1.711
326.0,1.705
326.5,1.694
327.0,1.682
327.5,1.670
328.0,1.660
328.5,1.652
329.0,1.648
329.5,1.644
330.0,1.637
330.5,1.622
331.0,1.602
331.5,1.583
332.0,1.570
332.5,1.560
333.0,1.549
333.5,1.536
334.0,1.525
334.5,1.512
335.0,1.498
335.5,1.481
336.0,1.463
336.5,1.445
337.0,1.427
337.5,1.408
338.0,1.389
338.5,1.371
339.0,1.353
339.5,1.331
340.0,1.303
340.5,1.273
341.0,1.245
341.5,1.220
342.0,1.197
342.5,1.177
343.0,1.162
343.5,1.151
344.0,1.137
344.5,1.116
345.0,1.092
345.5,1.076
346.0,1.067
346.5,1.060
347.0,1.046
347.5,1.022
348.0,0.993
348.5,0.965
349.0,0.941
349.5,0.921
350.0,0.907
350.5,0.898
351.0,0.891
351.5,0.883
352.0,0.871
352.5,0.856
353.0,0.839
353.5,0.819
354.0,0.798
354.5,0.777
355.0,0.760
355.5,0.751
356.0,0.745
356.5,0.738
357.0,0.727
357.5,0.713
358.0,0.700
358.5,0.689
359.0,0.677
359.5,0.664
360.0,0.653
