nm,A
210.0,1.804
210.5,1.755
211.0,1.715
211.5,1.677
212.0,1.635
212.5,1.591
213.0,1.546
213.5,1.503
214.0,1.464
214.5,1.428
215.0,1.394
215.5,1.362
216.0,1.332
216.5,1.304
217.0,1.275
217.5,1.245
218.0,1.216
218.5,1.186
219.0,1.158
219.5,1.132
220.0,1.107
220.5,1.082
221.0,1.057
221.5,1.033
222.0,1.01
222.5,0.987
223.0,0.966
223.5,0.946
224.0,0.926
224.5,0.908
225.0,0.889
225.5,0.872
226.0,0.857
226.5,0.843
227.0,0.83
227.5,0.818
228.0,0.807
228.5,0.797
229.0,0.787
229.5,0.778
230.0,0.768
230.5,0.76
231.0,0.751
231.5,0.743
232.0,0.735
232.5,0.726
233.0,0.718
233.5,0.709
234.0,0.7
234.5,0.693
235.0,0.685
235.5,0.678
236.0,0.671
236.5,0.664
237.0,0.657
237.5,0.651
238.0,0.645
238.5,0.639
239.0,0.634
239.5,0.63
240.0,0.625
240.5,0.621
241.0,0.617
241.5,0.613
242.0,0.609
242.5,0.606
243.0,0.602
243.5,0.599
244.0,0.597
244.5,0.594
245.0,0.592
245.5,0.589
246.0,0.587
246.5,0.585
247.0,0.583
247.5,0.582
248.0,0.581
248.5,0.58
249.0,0.578
249.5,0.576
250.0,0.575
250.5,0.574
251.0,0.573
251.5,0.572
252.0,0.571
252.5,0.571
253.0,0.571
253.5,0.571
254.0,0.571
254.5,0.571
255.0,0.571
255.5,0.572
256.0,0.573
256.5,0.574
257.0,0.575
257.5,0.576
258.0,0.578
258.5,0.58
259.0,0.583
259.5,0.586
260.0,0.589
260.5,0.592
261.0,0.597
261.5,0.602
262.0,0.607
262.5,0.612
263.0,0.617
263.5,0.621
264.0,0.625
264.5,0.629
265.0,0.633
265.5,0.637
266.0,0.64
266.5,0.644
267.0,0.647
267.5,0.651
268.0,0.655
268.5,0.659
269.0,0.664
269.5,0.668
270.0,0.671
270.5,0.674
271.0,0.676
271.5,0.679
272.0,0.683
272.5,0.685
273.0,0.686
273.5,0.686
274.0,0.686
