nm,A_7_5g,A_15g,A_18g,A_22_5g
231.0,0.751,1.513,1.453,2.434
231.5,0.743,1.494,1.437,2.386
232.0,0.735,1.476,1.421,2.338
232.5,0.726,1.459,1.404,2.293
233.0,0.718,1.441,1.386,2.249
233.5,0.709,1.424,1.368,2.208
234.0,0.7,1.407,1.352,2.172
234.5,0.693,1.39,1.336,2.138
235.0,0.685,1.373,1.323,2.105
235.5,0.678,1.358,1.309,2.074
236.0,0.671,1.343,1.295,2.047
236.5,0.664,1.328,1.281,2.026
237.0,0.657,1.315,1.268,2.006
237.5,0.651,1.302,1.255,1.987
238.0,0.645,1.29,1.243,1.968
238.5,0.639,1.279,1.233,1.95
239.0,0.634,1.268,1.223,1.933
239.5,0.63,1.258,1.214,1.915
240.0,0.625,1.249,1.205,1.897
240.5,0.621,1.24,1.197,1.88
241.0,0.617,1.233,1.189,1.863
241.5,0.613,1.225,1.182,1.848
242.0,0.609,1.218,1.175,1.834
242.5,0.606,1.211,1.169,1.822
243.0,0.602,1.203,1.162,1.812
243.5,0.599,1.195,1.155,1.801
244.0,0.597,1.189,1.149,1.79
244.5,0.594,1.183,1.144,1.779
245.0,0.592,1.178,1.139,1.768
245.5,0.589,1.173,1.134,1.759
246.0,0.587,1.168,1.129,1.751
246.5,0.585,1.164,1.125,1.745
247.0,0.583,1.159,1.122,1.74
247.5,0.582,1.155,1.118,1.734
248.0,0.581,1.152,1.115,1.728
248.5,0.58,1.149,1.111,1.721
249.0,0.578,1.146,1.108,1.714
249.5,0.576,1.142,1.105,1.707
250.0,0.575,1.139,1.103,1.701
250.5,0.574,1.136,1.101,1.697
251.0,0.573,1.134,1.098,1.692
251.5,0.572,1.131,1.095,1.687
252.0,0.571,1.129,1.092,1.681
252.5,0.571,1.127,1.09,1.675
253.0,0.571,1.126,1.089,1.671
253.5,0.571,1.125,1.088,1.669
254.0,0.571,1.124,1.088,1.667
254.5,0.571,1.124,1.088,1.667
255.0,0.571,1.125,1.088,1.667
255.5,0.572,1.126,1.089,1.669
256.0,0.573,1.127,1.09,1.67
256.5,0.574,1.129,1.091,1.672
257.0,0.575,1.132,1.094,1.674
257.5,0.576,1.136,1.097,1.678
258.0,0.578,1.14,1.1,1.685
258.5,0.58,1.145,1.104,1.693
259.0,0.583,1.15,1.108,1.701
259.5,0.586,1.155,1.113,1.709
260.0,0.589,1.161,1.12,1.717
260.5,0.592,1.168,1.127,1.725
261.0,0.597,1.177,1.135,1.736
261.5,0.602,1.186,1.144,1.749
262.0,0.607,1.197,1.153,1.764
262.5,0.612,1.207,1.162,1.781
263.0,0.617,1.217,1.171,1.799
263.5,0.621,1.227,1.179,1.816
264.0,0.625,1.237,1.187,1.834
264.5,0.629,1.247,1.196,1.85
265.0,0.633,1.256,1.204,1.864
265.5,0.637,1.264,1.211,1.875
266.0,0.64,1.272,1.218,1.885
266.5,0.644,1.279,1.224,1.897
267.0,0.647,1.286,1.232,1.912
267.5,0.651,1.294,1.24,1.933
268.0,0.655,1.303,1.249,1.956
268.5,0.659,1.313,1.259,1.977
269.0,0.664,1.323,1.268,1.992
269.5,0.668,1.333,1.276,2.001
270.0,0.671,1.342,1.284,2.008
270.5,0.674,1.351,1.29,2.017
271.0,0.676,1.36,1.296,2.028
271.5,0.679,1.369,1.302,2.04
272.0,0.683,1.376,1.308,2.05
272.5,0.685,1.381,1.312,2.058
273.0,0.686,1.384,1.314,2.065
273.5,0.686,1.385,1.316,2.073
274.0,0.686,1.386,1.318,2.084
274.5,0.685,1.385,1.32,2.093
275.0,0.684,1.385,1.32,2.098
275.5,0.684,1.384,1.32,2.098
276.0,0.684,1.383,1.319,2.096
276.5,0.684,1.382,1.319,2.095
277.0,0.683,1.381,1.318,2.096
277.5,0.682,1.378,1.317,2.097
278.0,0.682,1.376,1.316,2.098
278.5,0.681,1.375,1.315,2.099
279.0,0.681,1.374,1.315,2.101
279.5,0.68,1.374,1.314,2.103
280.0,0.678,1.372,1.311,2.104
280.5,0.676,1.369,1.307,2.1
281.0,0.673,1.365,1.302,2.09
281.5,0.67,1.361,1.299,2.076
282.0,0.667,1.358,1.296,2.061
282.5,0.665,1.354,1.293,2.046
283.0,0.662,1.35,1.289,2.035
283.5,0.658,1.345,1.284,2.029
284.0,0.655,1.339,1.279,2.027
284.5,0.653,1.333,1.273,2.026
285.0,0.651,1.325,1.267,2.021
285.5,0.648,1.317,1.26,2.011
286.0,0.646,1.308,1.252,1.999
286.5,0.642,1.301,1.244,1.983
287.0,0.638,1.294,1.236,1.967
287.5,0.632,1.287,1.23,1.952
288.0,0.626,1.278,1.223,1.94
288.5,0.621,1.268,1.215,1.931
289.0,0.617,1.258,1.207,1.919
289.5,0.613,1.249,1.199,1.903
290.0,0.609,1.242,1.191,1.886
290.5,0.606,1.235,1.183,1.872
291.0,0.603,1.229,1.176,1.863
291.5,0.6,1.222,1.17,1.855
292.0,0.596,1.216,1.163,1.847
292.5,0.592,1.208,1.157,1.836
293.0,0.588,1.201,1.149,1.823
293.5,0.584,1.195,1.142,1.809
294.0,0.581,1.19,1.136,1.796
