Batch,scan001
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,05:31:54
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,92.353
395.0,94.522
396.0,95.599
397.0,97.295
398.0,98.669
399.0,99.569
400.0,100.535
401.0,100.034
402.0,99.887
403.0,99.975
404.0,99.314
405.0,99.193
406.0,97.079
407.0,95.309
408.0,99.746
409.0,103.846
410.0,102.535
411.0,100.672
412.0,100.301
413.0,101.196
414.0,102.078
415.0,102.263
416.0,101.863
417.0,99.876
418.0,98.669
419.0,98.790
420.0,98.761
421.0,100.019
422.0,101.291
423.0,101.448
424.0,101.709
425.0,100.347
426.0,98.081
427.0,98.733
428.0,99.210
429.0,96.506
430.0,97.124
431.0,101.773
432.0,102.335
433.0,99.777
434.0,99.697
435.0,100.013
436.0,98.690
437.0,98.805
438.0,100.592
439.0,101.287
440.0,101.309
441.0,101.564
442.0,100.182
443.0,97.194
444.0,96.796
445.0,98.980
446.0,98.720
447.0,97.199
448.0,98.019
449.0,99.196
450.0,98.827
451.0,98.399
452.0,99.559
453.0,100.648
454.0,100.060
455.0,99.378
456.0,98.935
457.0,99.330
458.0,101.343
459.0,101.876
460.0,99.429
461.0,97.722
462.0,99.044
463.0,100.627
464.0,100.869
465.0,100.642
466.0,99.617
467.0,99.016
468.0,100.317
469.0,101.636
470.0,101.783
471.0,101.590
472.0,100.805
473.0,99.729
474.0,99.858
475.0,100.565
476.0,100.382
477.0,99.928
478.0,100.300
479.0,100.874
480.0,100.702
481.0,99.833
482.0,99.041
483.0,99.555
484.0,100.496
485.0,100.437
486.0,100.403
487.0,100.221
488.0,99.288
489.0,98.964
490.0,99.653
491.0,100.476
492.0,100.610
493.0,99.968
494.0,99.395
495.0,99.496
496.0,99.846
497.0,99.841
498.0,99.599
499.0,99.822
500.0,100.588
501.0,100.388
502.0,99.372
503.0,99.518
504.0,100.084
505.0,99.581
506.0,98.926
507.0,99.417
508.0,100.713
509.0,101.187
510.0,100.252
511.0,99.444
512.0,99.591
513.0,99.883
514.0,100.127
515.0,100.097
516.0,99.660
517.0,99.821
518.0,100.356
519.0,100.492
520.0,100.582
521.0,100.332
522.0,99.886
523.0,99.967
524.0,99.980
525.0,99.854
526.0,100.040
527.0,100.101
528.0,99.943
529.0,99.999
530.0,100.111
531.0,100.029
532.0,99.939
533.0,99.742
534.0,99.676
535.0,99.893
536.0,99.730
