Batch,scan003
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,05:40:37
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,58.709
395.0,60.397
396.0,58.926
397.0,59.769
398.0,62.237
399.0,63.481
400.0,64.919
401.0,66.157
402.0,66.801
403.0,66.788
404.0,66.615
405.0,68.012
406.0,68.725
407.0,68.477
408.0,71.261
409.0,74.272
410.0,74.003
411.0,73.857
412.0,75.178
413.0,76.207
414.0,76.391
415.0,76.515
416.0,77.438
417.0,78.557
418.0,79.611
419.0,79.156
420.0,77.394
421.0,78.584
422.0,80.435
423.0,79.038
424.0,78.565
425.0,79.818
426.0,79.253
427.0,78.068
428.0,78.915
429.0,81.514
430.0,83.563
431.0,84.371
432.0,84.750
433.0,84.575
434.0,83.991
435.0,83.598
436.0,83.633
437.0,83.523
438.0,83.382
439.0,84.352
440.0,85.602
441.0,85.897
442.0,85.611
443.0,84.960
444.0,84.364
445.0,85.132
446.0,87.423
447.0,88.007
448.0,85.392
449.0,83.876
450.0,85.167
451.0,86.676
452.0,87.646
453.0,87.809
454.0,87.345
455.0,87.270
456.0,86.763
457.0,86.367
458.0,87.851
459.0,89.037
460.0,88.159
461.0,87.902
462.0,89.230
463.0,89.937
464.0,89.459
465.0,88.538
466.0,87.822
467.0,87.937
468.0,88.893
469.0,89.820
470.0,89.978
471.0,89.942
472.0,89.687
473.0,89.140
474.0,89.611
475.0,90.710
476.0,90.929
477.0,90.369
478.0,90.023
479.0,90.640
480.0,91.515
481.0,91.116
482.0,89.962
483.0,89.716
484.0,90.004
485.0,89.984
486.0,90.093
487.0,90.250
488.0,90.406
489.0,90.742
490.0,90.956
491.0,91.061
492.0,90.991
493.0,90.961
494.0,91.080
495.0,91.318
496.0,91.944
497.0,92.139
498.0,91.756
499.0,92.116
500.0,92.768
501.0,92.074
502.0,90.928
503.0,91.103
504.0,91.858
505.0,92.195
506.0,92.073
507.0,91.619
508.0,91.925
509.0,93.019
510.0,93.273
511.0,92.635
512.0,92.333
513.0,92.677
514.0,93.178
515.0,93.177
516.0,92.764
517.0,92.850
518.0,93.299
519.0,93.450
520.0,93.409
521.0,93.233
522.0,93.106
523.0,93.104
524.0,93.022
525.0,93.088
526.0,93.538
527.0,94.040
528.0,93.897
529.0,93.226
530.0,92.742
531.0,92.923
532.0,93.664
533.0,93.973
534.0,93.657
535.0,93.377
536.0,93.323
