Batch,scan005
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,05:51:26
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,45.120
395.0,47.353
396.0,48.457
397.0,48.253
398.0,48.711
399.0,51.070
400.0,52.787
401.0,52.969
402.0,53.639
403.0,53.258
404.0,51.870
405.0,52.488
406.0,54.002
407.0,56.043
408.0,58.509
409.0,58.054
410.0,57.254
411.0,59.000
412.0,59.748
413.0,59.596
414.0,60.212
415.0,61.305
416.0,63.486
417.0,64.838
418.0,63.917
419.0,63.228
420.0,64.221
421.0,65.134
422.0,64.676
423.0,64.667
424.0,66.013
425.0,66.484
426.0,65.535
427.0,65.366
428.0,66.706
429.0,67.671
430.0,67.425
431.0,67.712
432.0,68.841
433.0,69.260
434.0,69.697
435.0,71.570
436.0,73.059
437.0,72.443
438.0,71.464
439.0,71.443
440.0,71.898
441.0,72.282
442.0,72.041
443.0,71.842
444.0,72.209
445.0,72.572
446.0,73.130
447.0,73.480
448.0,73.214
449.0,73.514
450.0,74.129
451.0,74.424
452.0,75.326
453.0,75.661
454.0,74.441
455.0,73.598
456.0,73.476
457.0,74.156
458.0,76.021
459.0,76.358
460.0,74.617
461.0,74.346
462.0,76.166
463.0,77.517
464.0,77.694
465.0,77.499
466.0,77.315
467.0,77.382
468.0,77.893
469.0,78.330
470.0,78.232
471.0,78.460
472.0,78.808
473.0,78.229
474.0,78.081
475.0,79.085
476.0,79.365
477.0,78.442
478.0,77.710
479.0,78.195
480.0,79.479
481.0,79.911
482.0,79.413
483.0,79.357
484.0,79.523
485.0,79.387
486.0,79.541
487.0,79.975
488.0,80.412
489.0,80.948
490.0,81.365
491.0,81.138
492.0,80.502
493.0,80.650
494.0,80.982
495.0,80.653
496.0,80.768
497.0,81.047
498.0,80.704
499.0,80.632
500.0,81.161
501.0,81.337
502.0,81.123
503.0,81.393
504.0,81.861
505.0,81.737
506.0,81.248
507.0,81.453
508.0,82.475
509.0,83.099
510.0,82.815
511.0,82.457
512.0,82.692
513.0,82.766
514.0,82.305
515.0,82.167
516.0,82.398
517.0,82.629
518.0,83.004
519.0,83.587
520.0,83.935
521.0,83.604
522.0,83.151
523.0,83.085
524.0,83.091
525.0,83.151
526.0,83.495
527.0,83.740
528.0,83.710
529.0,83.845
530.0,83.987
531.0,84.037
532.0,84.163
533.0,83.966
534.0,83.475
535.0,83.419
536.0,83.978
