Batch,scan002
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,08/10/2025
Time Collected,05:35:47
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,68.312
395.0,69.595
396.0,71.022
397.0,72.700
398.0,73.040
399.0,73.976
400.0,75.616
401.0,76.240
402.0,76.816
403.0,76.815
404.0,76.976
405.0,78.609
406.0,78.330
407.0,78.039
408.0,81.776
409.0,83.398
410.0,80.581
411.0,79.517
412.0,81.378
413.0,83.000
414.0,83.628
415.0,84.706
416.0,85.355
417.0,85.073
418.0,85.952
419.0,86.306
420.0,84.696
421.0,84.787
422.0,87.056
423.0,88.411
424.0,88.567
425.0,87.544
426.0,85.681
427.0,85.510
428.0,87.581
429.0,89.297
430.0,89.269
431.0,88.921
432.0,88.561
433.0,88.580
434.0,90.349
435.0,91.486
436.0,89.809
437.0,87.868
438.0,88.164
439.0,89.967
440.0,91.310
441.0,91.592
442.0,90.778
443.0,89.668
444.0,90.257
445.0,90.949
446.0,90.327
447.0,90.708
448.0,91.726
449.0,91.677
450.0,90.606
451.0,89.565
452.0,90.157
453.0,91.568
454.0,92.082
455.0,91.604
456.0,90.253
457.0,89.927
458.0,91.907
459.0,93.051
460.0,91.619
461.0,90.377
462.0,91.423
463.0,93.001
464.0,92.864
465.0,91.955
466.0,91.798
467.0,92.157
468.0,93.066
469.0,94.400
470.0,94.744
471.0,94.074
472.0,93.388
473.0,92.679
474.0,92.389
475.0,93.014
476.0,93.738
477.0,93.641
478.0,92.828
479.0,92.521
480.0,93.238
481.0,93.469
482.0,93.038
483.0,93.491
484.0,93.834
485.0,93.141
486.0,92.988
487.0,93.401
488.0,93.810
489.0,94.288
490.0,94.516
491.0,94.999
492.0,95.466
493.0,95.118
494.0,94.367
495.0,94.054
496.0,94.487
497.0,94.559
498.0,93.832
499.0,93.598
500.0,94.366
501.0,95.078
502.0,94.894
503.0,94.576
504.0,94.672
505.0,94.513
506.0,94.247
507.0,94.271
508.0,94.727
509.0,95.589
510.0,95.564
511.0,94.762
512.0,94.552
513.0,94.485
514.0,94.462
515.0,94.764
516.0,94.560
517.0,94.569
518.0,95.493
519.0,95.909
520.0,95.718
521.0,95.663
522.0,95.231
523.0,94.805
524.0,95.073
525.0,95.478
526.0,95.732
527.0,95.735
528.0,95.574
529.0,95.696
530.0,95.850
531.0,95.826
532.0,95.478
533.0,94.998
534.0,95.230
535.0,95.494
536.0,95.235
