nm,A
204.0,-0.001
204.5,-0.001
205.0,-0.001
205.5,-0.001
206.0,-0.001
206.5,-0.001
207.0,-0.001
207.5,0.0
208.0,0.0
208.5,0.0
209.0,0.0
209.5,0.0
210.0,0.0
210.5,0.001
211.0,0.001
211.5,0.0
212.0,0.0
212.5,0.0
213.0,0.0
213.5,0.0
214.0,0.0
214.5,0.0
215.0,0.0
215.5,0.0
216.0,0.0
216.5,0.0
217.0,0.0
217.5,0.0
218.0,0.0
218.5,0.0
219.0,0.0
219.5,0.0
220.0,0.0
220.5,0.001
221.0,0.001
221.5,0.001
222.0,0.001
222.5,0.001
223.0,0.001
223.5,0.001
224.0,0.001
224.5,0.001
225.0,0.001
225.5,0.0
226.0,0.0
226.5,0.0
227.0,0.0
227.5,0.0
228.0,0.0
228.5,0.0
229.0,0.0
229.5,0.0
230.0,0.001
230.5,0.001
231.0,0.001
231.5,0.001
232.0,0.001
232.5,0.001
233.0,0.001
233.5,0.001
234.0,0.001
234.5,0.001
235.0,0.001
235.5,0.001
236.0,0.001
236.5,0.001
237.0,0.002
237.5,0.002
238.0,0.001
238.5,0.001
239.0,0.001
239.5,0.001
240.0,0.001
240.5,0.001
241.0,0.001
241.5,0.001
242.0,0.001
242.5,0.001
243.0,0.001
243.5,0.001
244.0,0.001
244.5,0.001
245.0,0.001
245.5,0.001
246.0,0.001
246.5,0.001
247.0,0.001
247.5,0.001
248.0,0.001
248.5,0.001
249.0,0.001
249.5,0.001
250.0,0.001
250.5,0.001
251.0,0.001
251.5,0.001
252.0,0.001
252.5,0.001
253.0,0.001
253.5,0.001
254.0,0.001
254.5,0.001
255.0,0.001
255.5,0.001
256.0,0.001
256.5,0.0
257.0,0.0
257.5,0.0
258.0,0.0
258.5,0.001
259.0,0.001
259.5,0.001
260.0,0.001
260.5,0.001
261.0,0.001
261.5,0.001
262.0,0.001
262.5,0.0
263.0,0.0
263.5,0.0
264.0,0.0
264.5,0.0
265.0,0.0
265.5,0.0
266.0,0.0
266.5,0.0
267.0,0.0
267.5,0.001
268.0,0.001
268.5,0.001
269.0,0.001
269.5,0.001
270.0,0.001
270.5,0.001
271.0,0.001
271.5,0.001
272.0,0.001
272.5,0.0
273.0,0.0
273.5,0.001
274.0,0.001
274.5,0.001
275.0,0.001
275.5,0.001
276.0,0.0
276.5,0.0
277.0,0.001
277.5,0.001
278.0,0.001
278.5,0.001
279.0,0.001
279.5,0.0
280.0,0.0
280.5,0.0
281.0,0.001
281.5,0.001
282.0,0.001
282.5,0.0
283.0,0.0
283.5,0.001
284.0,0.001
284.5,0.001
285.0,0.001
285.5,0.0
286.0,0.0
286.5,0.0
287.0,0.0
287.5,0.0
288.0,0.001
288.5,0.001
289.0,0.001
289.5,0.001
290.0,0.001
290.5,0.001
291.0,0.001
291.5,0.001
292.0,0.0
292.5,0.001
293.0,0.001
293.5,0.001
294.0,0.001
294.5,0.001
295.0,0.001
295.5,0.001
296.0,0.001
296.5,0.001
297.0,0.001
297.5,0.0
298.0,0.0
298.5,0.0
299.0,0.001
299.5,0.002
300.0,0.002
300.5,0.001
301.0,0.001
301.5,0.001
302.0,0.001
302.5,0.001
303.0,0.001
303.5,0.001
304.0,0.001
304.5,0.001
305.0,0.001
305.5,0.001
306.0,0.001
306.5,0.002
307.0,0.001
307.5,0.001
308.0,0.001
308.5,0.001
309.0,0.0
309.5,0.0
310.0,0.001
310.5,0.001
311.0,0.001
311.5,0.001
312.0,0.002
312.5,0.001
313.0,0.001
313.5,0.0
314.0,-0.001
314.5,-0.001
315.0,0.0
315.5,0.001
316.0,0.001
316.5,0.001
317.0,0.001
317.5,0.001
318.0,0.001
318.5,0.001
319.0,0.001
319.5,0.001
320.0,0.001
320.5,0.001
321.0,0.001
321.5,0.0
322.0,0.0
322.5,-0.001
323.0,0.0
323.5,0.001
324.0,0.002
324.5,0.003
325.0,0.003
325.5,0.003
326.0,0.003
326.5,0.002
327.0,0.001
327.5,0.001
328.0,0.0
328.5,0.0
329.0,0.0
329.5,0.0
330.0,0.001
330.5,0.002
331.0,0.002
331.5,0.002
332.0,0.002
332.5,0.003
333.0,0.003
333.5,0.001
334.0,0.0
334.5,-0.001
335.0,-0.002
335.5,-0.002
336.0,-0.002
336.5,-0.003
337.0,-0.003
337.5,-0.003
338.0,-0.002
338.5,-0.001
339.0,0.0
339.5,0.002
340.0,0.004
340.5,0.005
341.0,0.003
341.5,0.001
342.0,0.002
342.5,0.007
343.0,0.014
343.5,0.019
344.0,0.017
344.5,0.009
345.0,0.002
345.5,0.0
346.0,0.003
346.5,0.003
347.0,0.0
347.5,-0.004
348.0,-0.003
348.5,-0.001
349.0,0.001
349.5,0.002
350.0,0.004
350.5,0.009
351.0,0.011
351.5,0.008
352.0,-0.001
352.5,-0.011
353.0,-0.017
353.5,-0.014
354.0,-0.006
354.5,0.004
355.0,0.008
355.5,0.007
356.0,0.004
356.5,0.002
357.0,0.005
357.5,0.01
358.0,0.012
358.5,0.008
359.0,0.0
359.5,-0.005
360.0,-0.005
360.5,-0.001
361.0,0.0
361.5,-0.002
362.0,-0.004
362.5,0.0
363.0,0.008
363.5,0.015
364.0,0.015
364.5,0.012
365.0,0.01
365.5,0.01
366.0,0.009
366.5,0.006
367.0,-0.002
367.5,-0.012
368.0,-0.017
368.5,-0.015
369.0,-0.006
369.5,0.004
370.0,0.009
370.5,0.006
371.0,-0.004
371.5,-0.016
372.0,-0.026
372.5,-0.027
373.0,-0.017
373.5,0.0
374.0,0.015
374.5,0.021
375.0,0.02
375.5,0.018
376.0,0.014
376.5,0.006
377.0,-0.009
377.5,-0.026
378.0,-0.036
378.5,-0.036
379.0,-0.028
379.5,-0.015
380.0,-0.001
380.5,0.012
381.0,0.016
381.5,0.011
382.0,0.001
382.5,-0.003
383.0,0.002
383.5,0.011
384.0,0.017
384.5,0.015
385.0,0.008
385.5,0.001
386.0,-0.001
386.5,-0.002
387.0,-0.001
387.5,0.0
388.0,0.003
388.5,0.006
389.0,0.007
389.5,0.005
390.0,0.002
390.5,-0.002
391.0,-0.006
391.5,-0.008
392.0,-0.008
392.5,-0.006
393.0,-0.001
393.5,0.004
394.0,0.007
394.5,0.004
395.0,-0.003
395.5,-0.008
396.0,-0.009
396.5,-0.006
397.0,-0.004
397.5,-0.003
398.0,-0.002
398.5,-0.001
399.0,-0.002
399.5,-0.006
400.0,-0.01
400.5,-0.008
401.0,-0.002
401.5,0.002
402.0,0.0
402.5,-0.005
403.0,-0.009
403.5,-0.012
404.0,-0.015
404.5,-0.018
405.0,-0.017
405.5,-0.012
406.0,-0.004
