nm,A
213.5,2.342
214.0,2.26
214.5,2.192
215.0,2.136
215.5,2.087
216.0,2.039
216.5,1.99
217.0,1.943
217.5,1.898
218.0,1.855
218.5,1.812
219.0,1.768
219.5,1.724
220.0,1.683
220.5,1.644
221.0,1.605
221.5,1.566
222.0,1.528
222.5,1.491
223.0,1.456
223.5,1.423
224.0,1.391
224.5,1.36
225.0,1.331
225.5,1.305
226.0,1.282
226.5,1.261
227.0,1.243
227.5,1.226
228.0,1.211
228.5,1.197
229.0,1.183
229.5,1.171
230.0,1.159
230.5,1.147
231.0,1.136
231.5,1.125
232.0,1.114
232.5,1.103
233.0,1.092
233.5,1.082
234.0,1.071
234.5,1.06
235.0,1.05
235.5,1.04
236.0,1.03
236.5,1.021
237.0,1.012
237.5,1.004
238.0,0.996
238.5,0.988
239.0,0.981
239.5,0.974
240.0,0.968
240.5,0.962
241.0,0.956
241.5,0.95
242.0,0.944
242.5,0.939
243.0,0.934
243.5,0.929
244.0,0.924
244.5,0.919
245.0,0.914
245.5,0.909
246.0,0.905
246.5,0.9
247.0,0.896
247.5,0.892
248.0,0.888
248.5,0.884
249.0,0.88
249.5,0.875
250.0,0.871
250.5,0.866
251.0,0.862
251.5,0.858
252.0,0.855
252.5,0.851
253.0,0.848
253.5,0.845
254.0,0.843
254.5,0.841
255.0,0.839
255.5,0.838
256.0,0.838
256.5,0.838
257.0,0.839
257.5,0.841
258.0,0.843
258.5,0.846
259.0,0.85
259.5,0.854
260.0,0.858
260.5,0.863
261.0,0.869
261.5,0.876
262.0,0.884
262.5,0.891
263.0,0.899
263.5,0.907
264.0,0.915
264.5,0.923
265.0,0.931
265.5,0.939
266.0,0.947
266.5,0.955
267.0,0.963
267.5,0.971
268.0,0.98
268.5,0.989
269.0,0.999
269.5,1.01
270.0,1.02
270.5,1.03
271.0,1.039
271.5,1.048
272.0,1.055
272.5,1.061
273.0,1.066
273.5,1.071
274.0,1.075
274.5,1.079
275.0,1.083
275.5,1.087
276.0,1.09
276.5,1.094
277.0,1.097
277.5,1.1
278.0,1.103
278.5,1.106
279.0,1.108
279.5,1.111
280.0,1.113
280.5,1.115
281.0,1.116
281.5,1.116
282.0,1.116
282.5,1.116
283.0,1.115
283.5,1.114
284.0,1.112
284.5,1.11
285.0,1.107
285.5,1.104
286.0,1.1
286.5,1.095
287.0,1.091
287.5,1.087
288.0,1.083
288.5,1.079
289.0,1.074
289.5,1.07
290.0,1.065
290.5,1.06
291.0,1.055
291.5,1.051
292.0,1.046
292.5,1.041
293.0,1.036
293.5,1.032
294.0,1.028
294.5,1.024
295.0,1.02
295.5,1.015
296.0,1.011
296.5,1.007
297.0,1.002
297.5,0.998
298.0,0.995
298.5,0.992
299.0,0.99
299.5,0.986
300.0,0.982
300.5,0.979
301.0,0.975
301.5,0.972
302.0,0.971
302.5,0.969
303.0,0.968
303.5,0.966
304.0,0.964
304.5,0.962
305.0,0.961
305.5,0.96
306.0,0.959
306.5,0.959
307.0,0.959
307.5,0.959
308.0,0.958
308.5,0.958
309.0,0.958
309.5,0.958
310.0,0.958
310.5,0.959
311.0,0.961
311.5,0.964
312.0,0.967
312.5,0.969
313.0,0.969
313.5,0.969
314.0,0.97
314.5,0.972
315.0,0.975
315.5,0.977
316.0,0.979
316.5,0.981
317.0,0.982
317.5,0.984
318.0,0.985
318.5,0.985
319.0,0.985
319.5,0.986
320.0,0.986
320.5,0.985
321.0,0.985
321.5,0.984
322.0,0.982
322.5,0.98
323.0,0.979
323.5,0.977
324.0,0.977
324.5,0.975
325.0,0.972
325.5,0.968
326.0,0.963
326.5,0.958
327.0,0.954
327.5,0.949
328.0,0.943
328.5,0.937
329.0,0.929
329.5,0.923
330.0,0.916
330.5,0.909
331.0,0.901
331.5,0.893
332.0,0.884
332.5,0.876
333.0,0.866
333.5,0.856
334.0,0.845
334.5,0.835
335.0,0.825
335.5,0.815
336.0,0.805
336.5,0.795
337.0,0.783
337.5,0.77
338.0,0.758
338.5,0.747
339.0,0.737
339.5,0.728
340.0,0.716
340.5,0.701
341.0,0.684
341.5,0.669
342.0,0.657
342.5,0.647
343.0,0.637
343.5,0.627
344.0,0.614
344.5,0.599
345.0,0.584
