Batch,scan004
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,16/10/2025
Time Collected,04:50:32
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,2.261
207.0,2.210
207.5,2.162
208.0,2.115
208.5,2.071
209.0,2.029
209.5,1.987
210.0,1.942
210.5,1.895
211.0,1.850
211.5,1.810
212.0,1.774
212.5,1.743
213.0,1.715
213.5,1.689
214.0,1.661
214.5,1.630
215.0,1.600
215.5,1.569
216.0,1.540
216.5,1.512
217.0,1.484
217.5,1.455
218.0,1.427
218.5,1.398
219.0,1.369
219.5,1.342
220.0,1.314
220.5,1.287
221.0,1.260
221.5,1.233
222.0,1.206
222.5,1.180
223.0,1.154
223.5,1.130
224.0,1.107
224.5,1.085
225.0,1.064
225.5,1.045
226.0,1.028
226.5,1.013
227.0,0.999
227.5,0.987
228.0,0.975
228.5,0.965
229.0,0.955
229.5,0.946
230.0,0.937
230.5,0.929
231.0,0.921
231.5,0.913
232.0,0.905
232.5,0.897
233.0,0.889
233.5,0.880
234.0,0.873
234.5,0.865
235.0,0.857
235.5,0.849
236.0,0.842
236.5,0.836
237.0,0.830
237.5,0.823
238.0,0.817
238.5,0.811
239.0,0.806
239.5,0.801
240.0,0.796
240.5,0.791
241.0,0.787
241.5,0.782
242.0,0.778
242.5,0.774
243.0,0.770
243.5,0.766
244.0,0.763
244.5,0.759
245.0,0.755
245.5,0.752
246.0,0.748
246.5,0.745
247.0,0.741
247.5,0.738
248.0,0.735
248.5,0.732
249.0,0.728
249.5,0.725
250.0,0.722
250.5,0.718
251.0,0.715
251.5,0.712
252.0,0.709
252.5,0.706
253.0,0.704
253.5,0.702
254.0,0.700
254.5,0.698
255.0,0.697
255.5,0.696
256.0,0.696
256.5,0.696
257.0,0.696
257.5,0.697
258.0,0.699
258.5,0.701
259.0,0.704
259.5,0.707
260.0,0.710
260.5,0.714
261.0,0.718
261.5,0.723
262.0,0.728
262.5,0.733
263.0,0.739
263.5,0.746
264.0,0.752
264.5,0.758
265.0,0.764
265.5,0.769
266.0,0.775
266.5,0.781
267.0,0.787
267.5,0.793
268.0,0.800
268.5,0.807
269.0,0.814
269.5,0.822
270.0,0.830
270.5,0.837
271.0,0.844
271.5,0.850
272.0,0.855
272.5,0.860
273.0,0.864
273.5,0.867
274.0,0.871
274.5,0.874
275.0,0.877
275.5,0.880
276.0,0.882
276.5,0.884
277.0,0.886
277.5,0.888
278.0,0.890
278.5,0.892
279.0,0.894
279.5,0.896
280.0,0.898
280.5,0.899
281.0,0.899
281.5,0.899
282.0,0.899
282.5,0.900
283.0,0.899
283.5,0.899
284.0,0.897
284.5,0.895
285.0,0.892
285.5,0.889
286.0,0.886
286.5,0.884
287.0,0.881
287.5,0.879
288.0,0.877
288.5,0.873
289.0,0.870
289.5,0.865
290.0,0.861
290.5,0.857
291.0,0.854
291.5,0.850
292.0,0.846
292.5,0.842
293.0,0.838
293.5,0.835
294.0,0.832
294.5,0.829
295.0,0.827
295.5,0.824
296.0,0.821
296.5,0.818
297.0,0.815
297.5,0.812
298.0,0.810
298.5,0.807
299.0,0.804
299.5,0.802
300.0,0.799
300.5,0.796
301.0,0.794
301.5,0.791
302.0,0.789
302.5,0.787
303.0,0.786
303.5,0.785
304.0,0.784
304.5,0.783
305.0,0.782
305.5,0.781
306.0,0.781
306.5,0.780
307.0,0.779
307.5,0.779
308.0,0.779
308.5,0.780
309.0,0.780
309.5,0.780
310.0,0.780
310.5,0.781
311.0,0.782
311.5,0.785
312.0,0.788
312.5,0.789
313.0,0.790
313.5,0.789
314.0,0.789
314.5,0.790
315.0,0.792
315.5,0.793
316.0,0.794
316.5,0.795
317.0,0.796
317.5,0.798
318.0,0.799
318.5,0.800
319.0,0.801
319.5,0.801
320.0,0.801
320.5,0.800
321.0,0.800
321.5,0.800
322.0,0.799
322.5,0.798
323.0,0.796
323.5,0.794
324.0,0.793
324.5,0.791
325.0,0.790
325.5,0.787
326.0,0.784
326.5,0.780
327.0,0.776
327.5,0.772
328.0,0.768
328.5,0.764
329.0,0.759
329.5,0.754
330.0,0.749
330.5,0.743
331.0,0.737
331.5,0.731
332.0,0.725
332.5,0.719
333.0,0.711
333.5,0.703
334.0,0.695
334.5,0.687
335.0,0.679
335.5,0.671
336.0,0.662
336.5,0.654
337.0,0.646
337.5,0.638
338.0,0.629
338.5,0.617
339.0,0.603
339.5,0.589
340.0,0.577
340.5,0.567
341.0,0.558
341.5,0.548
342.0,0.541
342.5,0.538
343.0,0.536
343.5,0.529
344.0,0.513
344.5,0.493
345.0,0.479
345.5,0.473
346.0,0.469
346.5,0.457
347.0,0.439
347.5,0.424
348.0,0.416
348.5,0.413
349.0,0.411
349.5,0.407
350.0,0.402
350.5,0.396
351.0,0.388
351.5,0.377
352.0,0.363
352.5,0.346
353.0,0.329
353.5,0.317
354.0,0.314
354.5,0.315
355.0,0.318
355.5,0.317
356.0,0.311
356.5,0.304
357.0,0.295
357.5,0.289
358.0,0.282
358.5,0.274
359.0,0.261
359.5,0.251
360.0,0.246
360.5,0.246
361.0,0.246
361.5,0.242
362.0,0.237
362.5,0.234
363.0,0.235
363.5,0.235
364.0,0.230
364.5,0.221
365.0,0.214
365.5,0.209
366.0,0.204
366.5,0.198
367.0,0.190
367.5,0.185
368.0,0.185
368.5,0.189
369.0,0.194
369.5,0.198
370.0,0.199
370.5,0.199
371.0,0.196
371.5,0.189
372.0,0.182
372.5,0.177
