Batch,scan005
Instrument ID,084303
Data Mode,A
Sample,Sample001
Cycle,Cycle01
Date Collected,16/10/2025
Time Collected,04:55:32
Entries,Data Points
nm,A
200.0,XXX.XXX
200.5,XXX.XXX
201.0,XXX.XXX
201.5,XXX.XXX
202.0,XXX.XXX
202.5,XXX.XXX
203.0,XXX.XXX
203.5,XXX.XXX
204.0,XXX.XXX
204.5,XXX.XXX
205.0,XXX.XXX
205.5,XXX.XXX
206.0,XXX.XXX
206.5,XXX.XXX
207.0,XXX.XXX
207.5,XXX.XXX
208.0,XXX.XXX
208.5,XXX.XXX
209.0,XXX.XXX
209.5,XXX.XXX
210.0,XXX.XXX
210.5,XXX.XXX
211.0,XXX.XXX
211.5,XXX.XXX
212.0,XXX.XXX
212.5,XXX.XXX
213.0,XXX.XXX
213.5,2.269
214.0,2.224
214.5,2.175
215.0,2.125
215.5,2.075
216.0,2.021
216.5,1.963
217.0,1.910
217.5,1.870
218.0,1.839
218.5,1.806
219.0,1.765
219.5,1.721
220.0,1.678
220.5,1.638
221.0,1.600
221.5,1.563
222.0,1.526
222.5,1.487
223.0,1.447
223.5,1.411
224.0,1.380
224.5,1.353
225.0,1.330
225.5,1.306
226.0,1.284
226.5,1.264
227.0,1.245
227.5,1.229
228.0,1.214
228.5,1.200
229.0,1.186
229.5,1.174
230.0,1.163
230.5,1.152
231.0,1.141
231.5,1.130
232.0,1.119
232.5,1.109
233.0,1.100
233.5,1.091
234.0,1.080
234.5,1.069
235.0,1.057
235.5,1.046
236.0,1.037
236.5,1.029
237.0,1.022
237.5,1.013
238.0,1.005
238.5,0.996
239.0,0.989
239.5,0.982
240.0,0.977
240.5,0.972
241.0,0.965
241.5,0.959
242.0,0.953
242.5,0.947
243.0,0.942
243.5,0.936
244.0,0.931
244.5,0.927
245.0,0.923
245.5,0.921
246.0,0.917
246.5,0.913
247.0,0.907
247.5,0.902
248.0,0.899
248.5,0.895
249.0,0.892
249.5,0.887
250.0,0.882
250.5,0.877
251.0,0.873
251.5,0.870
252.0,0.868
252.5,0.865
253.0,0.861
253.5,0.855
254.0,0.850
254.5,0.847
255.0,0.846
255.5,0.846
256.0,0.846
256.5,0.845
257.0,0.846
257.5,0.847
258.0,0.851
258.5,0.854
259.0,0.858
259.5,0.861
260.0,0.864
260.5,0.870
261.0,0.876
261.5,0.883
262.0,0.889
262.5,0.897
263.0,0.905
263.5,0.914
264.0,0.922
264.5,0.929
265.0,0.936
265.5,0.944
266.0,0.954
266.5,0.966
267.0,0.980
267.5,0.991
268.0,1.000
268.5,1.009
269.0,1.018
269.5,1.029
270.0,1.039
270.5,1.049
271.0,1.058
271.5,1.065
272.0,1.069
272.5,1.068
273.0,1.068
273.5,1.072
274.0,1.081
274.5,1.088
275.0,1.090
275.5,1.088
276.0,1.086
276.5,1.091
277.0,1.103
277.5,1.113
278.0,1.117
278.5,1.114
279.0,1.108
279.5,1.103
280.0,1.102
280.5,1.105
281.0,1.110
281.5,1.114
282.0,1.115
282.5,1.115
283.0,1.114
283.5,1.112
284.0,1.109
284.5,1.107
285.0,1.104
285.5,1.101
286.0,1.098
286.5,1.095
287.0,1.090
287.5,1.085
288.0,1.081
288.5,1.077
289.0,1.073
289.5,1.068
290.0,1.063
290.5,1.058
291.0,1.054
291.5,1.049
292.0,1.045
292.5,1.040
293.0,1.035
293.5,1.030
294.0,1.025
294.5,1.021
295.0,1.018
295.5,1.014
296.0,1.010
296.5,1.006
297.0,1.002
297.5,0.997
298.0,0.993
298.5,0.989
299.0,0.986
299.5,0.983
300.0,0.980
300.5,0.977
301.0,0.974
301.5,0.971
302.0,0.968
302.5,0.966
303.0,0.964
303.5,0.962
304.0,0.960
304.5,0.958
305.0,0.957
305.5,0.955
306.0,0.955
306.5,0.955
307.0,0.956
307.5,0.956
308.0,0.956
308.5,0.955
309.0,0.954
309.5,0.954
310.0,0.955
310.5,0.955
311.0,0.956
311.5,0.958
312.0,0.960
312.5,0.963
313.0,0.964
313.5,0.966
314.0,0.967
314.5,0.968
315.0,0.970
315.5,0.972
316.0,0.974
316.5,0.976
317.0,0.978
317.5,0.979
318.0,0.980
318.5,0.981
319.0,0.981
319.5,0.981
320.0,0.980
320.5,0.979
321.0,0.979
321.5,0.979
322.0,0.978
322.5,0.977
323.0,0.975
323.5,0.973
324.0,0.971
324.5,0.968
325.0,0.964
325.5,0.960
326.0,0.956
326.5,0.952
327.0,0.947
327.5,0.943
328.0,0.937
328.5,0.930
329.0,0.923
329.5,0.917
330.0,0.910
330.5,0.903
331.0,0.895
331.5,0.886
332.0,0.878
332.5,0.869
333.0,0.861
333.5,0.851
334.0,0.840
334.5,0.828
335.0,0.817
335.5,0.806
336.0,0.797
336.5,0.789
337.0,0.778
337.5,0.766
338.0,0.752
338.5,0.738
339.0,0.726
339.5,0.717
340.0,0.710
340.5,0.700
341.0,0.687
341.5,0.673
342.0,0.660
342.5,0.649
343.0,0.637
343.5,0.623
344.0,0.608
344.5,0.594
345.0,0.581
345.5,0.568
346.0,0.552
346.5,0.533
347.0,0.513
347.5,0.497
348.0,0.486
348.5,0.479
349.0,0.471
349.5,0.463
350.0,0.454
350.5,0.445
351.0,0.433
351.5,0.418
352.0,0.401
352.5,0.386
353.0,0.374
353.5,0.367
354.0,0.363
354.5,0.358
355.0,0.351
355.5,0.340
356.0,0.328
356.5,0.317
357.0,0.310
357.5,0.304
358.0,0.298
358.5,0.289
359.0,0.280
359.5,0.274
360.0,0.272
360.5,0.271
361.0,0.264
361.5,0.251
362.0,0.239
362.5,0.233
363.0,0.233
363.5,0.234
364.0,0.230
364.5,0.223
365.0,0.218
365.5,0.214
366.0,0.208
366.5,0.199
367.0,0.191
367.5,0.186
368.0,0.185
368.5,0.187
369.0,0.189
