nm,A_7_5g,A_15g,A_18g,A_22_5g
213.5,1.518,2.342,1.689,2.269
214.0,1.493,2.26,1.661,2.224
214.5,1.468,2.192,1.63,2.175
215.0,1.443,2.136,1.6,2.125
215.5,1.417,2.087,1.569,2.075
216.0,1.391,2.039,1.54,2.021
216.5,1.365,1.99,1.512,1.963
217.0,1.339,1.943,1.484,1.91
217.5,1.313,1.898,1.455,1.87
218.0,1.287,1.855,1.427,1.839
218.5,1.262,1.812,1.398,1.806
219.0,1.236,1.768,1.369,1.765
219.5,1.21,1.724,1.342,1.721
220.0,1.185,1.683,1.314,1.678
220.5,1.159,1.644,1.287,1.638
221.0,1.133,1.605,1.26,1.6
221.5,1.107,1.566,1.233,1.563
222.0,1.081,1.528,1.206,1.526
222.5,1.056,1.491,1.18,1.487
223.0,1.032,1.456,1.154,1.447
223.5,1.01,1.423,1.13,1.411
224.0,0.988,1.391,1.107,1.38
224.5,0.966,1.36,1.085,1.353
225.0,0.946,1.331,1.064,1.33
225.5,0.928,1.305,1.045,1.306
226.0,0.911,1.282,1.028,1.284
226.5,0.897,1.261,1.013,1.264
227.0,0.884,1.243,0.999,1.245
227.5,0.872,1.226,0.987,1.229
228.0,0.86,1.211,0.975,1.214
228.5,0.85,1.197,0.965,1.2
229.0,0.841,1.183,0.955,1.186
229.5,0.832,1.171,0.946,1.174
230.0,0.824,1.159,0.937,1.163
230.5,0.816,1.147,0.929,1.152
231.0,0.808,1.136,0.921,1.141
231.5,0.8,1.125,0.913,1.13
232.0,0.793,1.114,0.905,1.119
232.5,0.785,1.103,0.897,1.109
233.0,0.777,1.092,0.889,1.1
233.5,0.769,1.082,0.88,1.091
234.0,0.762,1.071,0.873,1.08
234.5,0.754,1.06,0.865,1.069
235.0,0.746,1.05,0.857,1.057
235.5,0.739,1.04,0.849,1.046
236.0,0.732,1.03,0.842,1.037
236.5,0.726,1.021,0.836,1.029
237.0,0.72,1.012,0.83,1.022
237.5,0.714,1.004,0.823,1.013
238.0,0.708,0.996,0.817,1.005
238.5,0.702,0.988,0.811,0.996
239.0,0.697,0.981,0.806,0.989
239.5,0.692,0.974,0.801,0.982
240.0,0.688,0.968,0.796,0.977
240.5,0.683,0.962,0.791,0.972
241.0,0.679,0.956,0.787,0.965
241.5,0.675,0.95,0.782,0.959
242.0,0.671,0.944,0.778,0.953
242.5,0.666,0.939,0.774,0.947
243.0,0.662,0.934,0.77,0.942
243.5,0.659,0.929,0.766,0.936
244.0,0.655,0.924,0.763,0.931
244.5,0.652,0.919,0.759,0.927
245.0,0.648,0.914,0.755,0.923
245.5,0.645,0.909,0.752,0.921
246.0,0.641,0.905,0.748,0.917
246.5,0.638,0.9,0.745,0.913
247.0,0.635,0.896,0.741,0.907
247.5,0.632,0.892,0.738,0.902
248.0,0.628,0.888,0.735,0.899
248.5,0.625,0.884,0.732,0.895
249.0,0.622,0.88,0.728,0.892
249.5,0.618,0.875,0.725,0.887
250.0,0.615,0.871,0.722,0.882
250.5,0.612,0.866,0.718,0.877
251.0,0.608,0.862,0.715,0.873
251.5,0.605,0.858,0.712,0.87
252.0,0.603,0.855,0.709,0.868
252.5,0.6,0.851,0.706,0.865
253.0,0.598,0.848,0.704,0.861
253.5,0.596,0.845,0.702,0.855
254.0,0.593,0.843,0.7,0.85
254.5,0.592,0.841,0.698,0.847
255.0,0.591,0.839,0.697,0.846
255.5,0.59,0.838,0.696,0.846
256.0,0.589,0.838,0.696,0.846
256.5,0.589,0.838,0.696,0.845
257.0,0.589,0.839,0.696,0.846
257.5,0.59,0.841,0.697,0.847
258.0,0.592,0.843,0.699,0.851
258.5,0.594,0.846,0.701,0.854
259.0,0.596,0.85,0.704,0.858
259.5,0.599,0.854,0.707,0.861
260.0,0.602,0.858,0.71,0.864
260.5,0.606,0.863,0.714,0.87
261.0,0.61,0.869,0.718,0.876
261.5,0.615,0.876,0.723,0.883
262.0,0.62,0.884,0.728,0.889
262.5,0.626,0.891,0.733,0.897
263.0,0.631,0.899,0.739,0.905
263.5,0.637,0.907,0.746,0.914
264.0,0.643,0.915,0.752,0.922
264.5,0.648,0.923,0.758,0.929
265.0,0.654,0.931,0.764,0.936
265.5,0.66,0.939,0.769,0.944
266.0,0.666,0.947,0.775,0.954
266.5,0.672,0.955,0.781,0.966
267.0,0.678,0.963,0.787,0.98
267.5,0.684,0.971,0.793,0.991
268.0,0.691,0.98,0.8,1.0
268.5,0.697,0.989,0.807,1.009
269.0,0.704,0.999,0.814,1.018
269.5,0.712,1.01,0.822,1.029
270.0,0.719,1.02,0.83,1.039
270.5,0.726,1.03,0.837,1.049
271.0,0.733,1.039,0.844,1.058
271.5,0.739,1.048,0.85,1.065
272.0,0.744,1.055,0.855,1.069
272.5,0.749,1.061,0.86,1.068
273.0,0.753,1.066,0.864,1.068
273.5,0.757,1.071,0.867,1.072
274.0,0.76,1.075,0.871,1.081
274.5,0.763,1.079,0.874,1.088
275.0,0.766,1.083,0.877,1.09
275.5,0.769,1.087,0.88,1.088
276.0,0.772,1.09,0.882,1.086
276.5,0.775,1.094,0.884,1.091
277.0,0.777,1.097,0.886,1.103
277.5,0.78,1.1,0.888,1.113
278.0,0.782,1.103,0.89,1.117
278.5,0.784,1.106,0.892,1.114
279.0,0.786,1.108,0.894,1.108
279.5,0.788,1.111,0.896,1.103
280.0,0.789,1.113,0.898,1.102
280.5,0.79,1.115,0.899,1.105
281.0,0.79,1.116,0.899,1.11
281.5,0.791,1.116,0.899,1.114
282.0,0.791,1.116,0.899,1.115
282.5,0.791,1.116,0.9,1.115
283.0,0.79,1.115,0.899,1.114
283.5,0.789,1.114,0.899,1.112
284.0,0.788,1.112,0.897,1.109
284.5,0.787,1.11,0.895,1.107
285.0,0.785,1.107,0.892,1.104
285.5,0.783,1.104,0.889,1.101
286.0,0.78,1.1,0.886,1.098
286.5,0.778,1.095,0.884,1.095
287.0,0.775,1.091,0.881,1.09
287.5,0.772,1.087,0.879,1.085
288.0,0.769,1.083,0.877,1.081
288.5,0.766,1.079,0.873,1.077
289.0,0.763,1.074,0.87,1.073
289.5,0.759,1.07,0.865,1.068
290.0,0.756,1.065,0.861,1.063
290.5,0.752,1.06,0.857,1.058
291.0,0.748,1.055,0.854,1.054
291.5,0.745,1.051,0.85,1.049
292.0,0.742,1.046,0.846,1.045
292.5,0.739,1.041,0.842,1.04
293.0,0.736,1.036,0.838,1.035
293.5,0.733,1.032,0.835,1.03
294.0,0.73,1.028,0.832,1.025
294.5,0.728,1.024,0.829,1.021
295.0,0.726,1.02,0.827,1.018
295.5,0.723,1.015,0.824,1.014
296.0,0.72,1.011,0.821,1.01
296.5,0.717,1.007,0.818,1.006
297.0,0.715,1.002,0.815,1.002
297.5,0.712,0.998,0.812,0.997
298.0,0.71,0.995,0.81,0.993
298.5,0.708,0.992,0.807,0.989
299.0,0.707,0.99,0.804,0.986
299.5,0.704,0.986,0.802,0.983
300.0,0.702,0.982,0.799,0.98
300.5,0.699,0.979,0.796,0.977
301.0,0.697,0.975,0.794,0.974
301.5,0.696,0.972,0.791,0.971
302.0,0.695,0.971,0.789,0.968
302.5,0.694,0.969,0.787,0.966
303.0,0.693,0.968,0.786,0.964
303.5,0.692,0.966,0.785,0.962
304.0,0.691,0.964,0.784,0.96
304.5,0.69,0.962,0.783,0.958
305.0,0.689,0.961,0.782,0.957
305.5,0.688,0.96,0.781,0.955
306.0,0.688,0.959,0.781,0.955
306.5,0.688,0.959,0.78,0.955
307.0,0.688,0.959,0.779,0.956
307.5,0.688,0.959,0.779,0.956
308.0,0.688,0.958,0.779,0.956
308.5,0.688,0.958,0.78,0.955
309.0,0.688,0.958,0.78,0.954
309.5,0.688,0.958,0.78,0.954
310.0,0.689,0.958,0.78,0.955
310.5,0.689,0.959,0.781,0.955
311.0,0.691,0.961,0.782,0.956
311.5,0.693,0.964,0.785,0.958
312.0,0.695,0.967,0.788,0.96
312.5,0.697,0.969,0.789,0.963
313.0,0.697,0.969,0.79,0.964
313.5,0.697,0.969,0.789,0.966
314.0,0.697,0.97,0.789,0.967
314.5,0.698,0.972,0.79,0.968
315.0,0.7,0.975,0.792,0.97
315.5,0.701,0.977,0.793,0.972
316.0,0.703,0.979,0.794,0.974
316.5,0.705,0.981,0.795,0.976
317.0,0.707,0.982,0.796,0.978
317.5,0.709,0.984,0.798,0.979
318.0,0.71,0.985,0.799,0.98
318.5,0.711,0.985,0.8,0.981
319.0,0.711,0.985,0.801,0.981
319.5,0.711,0.986,0.801,0.981
320.0,0.71,0.986,0.801,0.98
320.5,0.709,0.985,0.8,0.979
321.0,0.709,0.985,0.8,0.979
321.5,0.71,0.984,0.8,0.979
322.0,0.71,0.982,0.799,0.978
322.5,0.709,0.98,0.798,0.977
323.0,0.708,0.979,0.796,0.975
323.5,0.707,0.977,0.794,0.973
324.0,0.705,0.977,0.793,0.971
324.5,0.703,0.975,0.791,0.968
325.0,0.701,0.972,0.79,0.964
325.5,0.698,0.968,0.787,0.96
326.0,0.695,0.963,0.784,0.956
326.5,0.692,0.958,0.78,0.952
327.0,0.689,0.954,0.776,0.947
327.5,0.685,0.949,0.772,0.943
328.0,0.68,0.943,0.768,0.937
328.5,0.674,0.937,0.764,0.93
329.0,0.669,0.929,0.759,0.923
329.5,0.665,0.923,0.754,0.917
330.0,0.661,0.916,0.749,0.91
330.5,0.657,0.909,0.743,0.903
331.0,0.652,0.901,0.737,0.895
331.5,0.645,0.893,0.731,0.886
332.0,0.638,0.884,0.725,0.878
332.5,0.631,0.876,0.719,0.869
333.0,0.624,0.866,0.711,0.861
333.5,0.617,0.856,0.703,0.851
334.0,0.608,0.845,0.695,0.84
334.5,0.6,0.835,0.687,0.828
335.0,0.591,0.825,0.679,0.817
335.5,0.584,0.815,0.671,0.806
336.0,0.577,0.805,0.662,0.797
336.5,0.57,0.795,0.654,0.789
337.0,0.563,0.783,0.646,0.778
337.5,0.554,0.77,0.638,0.766
338.0,0.544,0.758,0.629,0.752
338.5,0.535,0.747,0.617,0.738
339.0,0.526,0.737,0.603,0.726
339.5,0.516,0.728,0.589,0.717
340.0,0.503,0.716,0.577,0.71
340.5,0.49,0.701,0.567,0.7
341.0,0.481,0.684,0.558,0.687
341.5,0.477,0.669,0.548,0.673
342.0,0.476,0.657,0.541,0.66
342.5,0.474,0.647,0.538,0.649
343.0,0.467,0.637,0.536,0.637
343.5,0.454,0.627,0.529,0.623
344.0,0.438,0.614,0.513,0.608
344.5,0.422,0.599,0.493,0.594
345.0,0.41,0.584,0.479,0.581
345.5,0.402,0.569,0.473,0.568
346.0,0.396,0.554,0.469,0.552
346.5,0.385,0.539,0.457,0.533
347.0,0.371,0.522,0.439,0.513
347.5,0.358,0.507,0.424,0.497
348.0,0.352,0.495,0.416,0.486
348.5,0.349,0.485,0.413,0.479
349.0,0.344,0.473,0.411,0.471
349.5,0.338,0.462,0.407,0.463
350.0,0.33,0.454,0.402,0.454
350.5,0.322,0.448,0.396,0.445
351.0,0.313,0.439,0.388,0.433
351.5,0.302,0.425,0.377,0.418
352.0,0.289,0.406,0.363,0.401
352.5,0.275,0.388,0.346,0.386
353.0,0.264,0.373,0.329,0.374
353.5,0.256,0.362,0.317,0.367
354.0,0.249,0.354,0.314,0.363
354.5,0.244,0.348,0.315,0.358
355.0,0.242,0.344,0.318,0.351
355.5,0.241,0.34,0.317,0.34
356.0,0.239,0.336,0.311,0.328
356.5,0.236,0.33,0.304,0.317
357.0,0.23,0.321,0.295,0.31
357.5,0.223,0.311,0.289,0.304
358.0,0.213,0.301,0.282,0.298
358.5,0.2,0.294,0.274,0.289
359.0,0.189,0.29,0.261,0.28
359.5,0.183,0.287,0.251,0.274
360.0,0.181,0.285,0.246,0.272
360.5,0.181,0.28,0.246,0.271
361.0,0.179,0.272,0.246,0.264
361.5,0.175,0.259,0.242,0.251
362.0,0.17,0.247,0.237,0.239
362.5,0.169,0.241,0.234,0.233
363.0,0.171,0.241,0.235,0.233
363.5,0.17,0.241,0.235,0.234
364.0,0.162,0.236,0.23,0.23
364.5,0.15,0.226,0.221,0.223
365.0,0.141,0.217,0.214,0.218
