Batch,scan001
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,16/10/2025
Time Collected,05:22:49
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,94.811
395.0,98.593
396.0,101.072
397.0,102.824
398.0,101.393
399.0,97.323
400.0,97.389
401.0,98.763
402.0,97.401
403.0,97.623
404.0,100.478
405.0,101.742
406.0,100.903
407.0,99.554
408.0,98.927
409.0,100.083
410.0,99.912
411.0,97.646
412.0,98.227
413.0,100.558
414.0,99.302
415.0,97.086
416.0,99.241
417.0,103.223
418.0,103.850
419.0,100.138
420.0,96.186
421.0,96.999
422.0,99.836
423.0,100.440
424.0,101.348
425.0,103.512
426.0,102.794
427.0,99.224
428.0,97.365
429.0,97.861
430.0,99.670
431.0,101.670
432.0,101.170
433.0,99.330
434.0,98.589
435.0,98.485
436.0,99.550
437.0,101.694
438.0,101.845
439.0,99.948
440.0,99.640
441.0,100.901
442.0,101.143
443.0,100.433
444.0,99.764
445.0,99.625
446.0,100.512
447.0,100.961
448.0,99.235
449.0,98.228
450.0,100.539
451.0,102.494
452.0,101.066
453.0,98.990
454.0,99.114
455.0,100.661
456.0,101.467
457.0,100.888
458.0,100.295
459.0,99.748
460.0,99.674
461.0,101.239
462.0,101.224
463.0,99.290
464.0,99.796
465.0,101.584
466.0,101.565
467.0,100.648
468.0,99.544
469.0,98.265
470.0,98.336
471.0,99.924
472.0,101.218
473.0,100.875
474.0,99.522
475.0,99.062
476.0,99.814
477.0,100.965
478.0,101.463
479.0,100.961
480.0,100.603
481.0,100.244
482.0,99.702
483.0,99.978
484.0,100.331
485.0,100.184
486.0,100.397
487.0,101.171
488.0,101.675
489.0,100.558
490.0,99.053
491.0,99.513
492.0,100.131
493.0,99.067
494.0,98.584
495.0,99.781
496.0,100.514
497.0,99.516
498.0,98.375
499.0,98.587
500.0,98.579
501.0,97.993
502.0,98.982
503.0,100.446
504.0,100.094
505.0,99.012
506.0,99.291
507.0,100.697
508.0,101.133
509.0,100.431
510.0,100.185
511.0,100.413
512.0,100.377
513.0,100.342
514.0,100.315
515.0,99.898
516.0,99.816
517.0,100.278
518.0,100.409
519.0,100.353
520.0,100.147
521.0,99.443
522.0,99.462
523.0,100.417
524.0,100.265
525.0,99.159
526.0,98.878
527.0,99.210
528.0,99.395
529.0,99.659
530.0,100.044
531.0,99.759
532.0,99.108
533.0,99.624
534.0,100.586
535.0,100.256
536.0,99.744
