Batch,scan004
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,16/10/2025
Time Collected,05:36:40
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,43.558
395.0,44.832
396.0,45.833
397.0,46.445
398.0,45.631
399.0,44.874
400.0,46.521
401.0,48.100
402.0,47.524
403.0,47.798
404.0,49.929
405.0,50.600
406.0,49.966
407.0,50.083
408.0,49.948
409.0,49.355
410.0,49.497
411.0,49.896
412.0,50.102
413.0,51.246
414.0,52.964
415.0,53.638
416.0,54.105
417.0,55.365
418.0,55.965
419.0,54.405
420.0,52.506
421.0,53.627
422.0,55.719
423.0,55.506
424.0,55.441
425.0,56.838
426.0,57.501
427.0,57.439
428.0,57.416
429.0,57.048
430.0,57.478
431.0,58.587
432.0,58.395
433.0,57.816
434.0,58.184
435.0,58.921
436.0,59.548
437.0,60.089
438.0,60.291
439.0,59.753
440.0,59.796
441.0,61.163
442.0,61.625
443.0,60.499
444.0,59.803
445.0,60.255
446.0,61.288
447.0,61.961
448.0,61.526
449.0,61.201
450.0,62.058
451.0,63.012
452.0,63.210
453.0,63.268
454.0,63.723
455.0,64.258
456.0,64.562
457.0,64.914
458.0,65.271
459.0,64.890
460.0,64.361
461.0,65.079
462.0,65.710
463.0,64.990
464.0,65.109
465.0,66.626
466.0,67.205
467.0,66.702
468.0,66.338
469.0,66.009
470.0,65.791
471.0,66.166
472.0,66.962
473.0,67.687
474.0,68.042
475.0,68.059
476.0,68.125
477.0,68.646
478.0,69.113
479.0,69.026
480.0,68.817
481.0,68.637
482.0,68.547
483.0,68.844
484.0,69.266
485.0,69.348
486.0,69.474
487.0,70.411
488.0,71.459
489.0,71.210
490.0,70.454
491.0,70.629
492.0,70.853
493.0,70.534
494.0,70.565
495.0,71.150
496.0,71.618
497.0,71.069
498.0,70.595
499.0,71.681
500.0,72.282
501.0,71.541
502.0,71.642
503.0,72.317
504.0,72.400
505.0,72.554
506.0,72.796
507.0,72.780
508.0,72.885
509.0,73.165
510.0,73.167
511.0,72.882
512.0,72.953
513.0,73.335
514.0,73.479
515.0,73.594
516.0,73.900
517.0,74.012
518.0,73.864
519.0,73.897
520.0,73.974
521.0,73.737
522.0,73.885
523.0,74.570
524.0,74.677
525.0,74.341
526.0,74.599
527.0,75.149
528.0,75.177
529.0,75.018
530.0,75.208
531.0,75.362
532.0,75.120
533.0,74.954
534.0,75.402
535.0,75.742
536.0,75.584
