Batch,scan005
Instrument ID,084303
Data Mode,%T
Sample,Sample001
Cycle,Cycle01
Date Collected,16/10/2025
Time Collected,05:40:34
Entries,Data Points
nm,%T
390.0,XXX.XXX
391.0,XXX.XXX
392.0,XXX.XXX
393.0,XXX.XXX
394.0,35.410
395.0,36.279
396.0,36.092
397.0,36.269
398.0,37.213
399.0,37.922
400.0,39.237
401.0,39.918
402.0,39.579
403.0,40.735
404.0,42.445
405.0,42.572
406.0,42.450
407.0,42.937
408.0,43.014
409.0,42.556
410.0,42.378
411.0,42.395
412.0,42.744
413.0,44.558
414.0,46.700
415.0,47.110
416.0,46.743
417.0,47.597
418.0,48.452
419.0,47.139
420.0,46.059
421.0,47.792
422.0,49.692
423.0,49.678
424.0,49.693
425.0,50.647
426.0,50.686
427.0,50.009
428.0,50.937
429.0,52.108
430.0,52.067
431.0,52.587
432.0,53.174
433.0,53.057
434.0,53.229
435.0,53.524
436.0,54.084
437.0,55.160
438.0,55.677
439.0,55.397
440.0,55.643
441.0,56.912
442.0,58.044
443.0,58.004
444.0,57.206
445.0,57.152
446.0,58.195
447.0,58.787
448.0,58.513
449.0,58.640
450.0,59.487
451.0,60.340
452.0,60.390
453.0,59.926
454.0,60.544
455.0,62.029
456.0,62.516
457.0,61.984
458.0,61.890
459.0,62.096
460.0,62.029
461.0,62.734
462.0,63.681
463.0,63.848
464.0,64.137
465.0,64.768
466.0,65.198
467.0,65.146
468.0,65.002
469.0,65.299
470.0,65.657
471.0,65.767
472.0,65.867
473.0,66.263
474.0,67.101
475.0,67.639
476.0,67.413
477.0,67.557
478.0,68.250
479.0,68.389
480.0,68.092
481.0,68.065
482.0,68.435
483.0,68.805
484.0,68.668
485.0,68.667
486.0,69.396
487.0,70.289
488.0,71.006
489.0,71.053
490.0,70.948
491.0,71.780
492.0,72.194
493.0,71.644
494.0,71.728
495.0,72.430
496.0,72.637
497.0,72.204
498.0,72.220
499.0,73.167
500.0,73.549
501.0,73.130
502.0,73.422
503.0,74.103
504.0,74.085
505.0,74.065
506.0,74.912
507.0,75.763
508.0,75.505
509.0,75.004
510.0,75.261
511.0,75.608
512.0,75.796
513.0,76.050
514.0,76.051
515.0,76.141
516.0,76.706
517.0,77.047
518.0,76.952
519.0,76.792
520.0,76.367
521.0,76.249
522.0,77.161
523.0,77.954
524.0,77.773
525.0,77.484
526.0,77.678
527.0,78.080
528.0,78.403
529.0,78.691
530.0,79.019
531.0,79.113
532.0,78.963
533.0,79.039
534.0,79.347
535.0,79.590
536.0,79.826
