nm,A,A05,A20,A50
200.0,0.0,0.0,0.0,0.0
200.5,0.0,0.0,0.0,0.0
201.0,0.0,0.0,0.0,0.0
201.5,0.0,0.0,0.0,0.0
202.0,0.0,0.0,0.0,0.0
202.5,0.0,0.0,0.0,0.0
203.0,0.0,0.0,0.0,0.0
203.5,0.0,0.0,0.0,0.0
204.0,0.0,0.0,0.0,0.0
204.5,0.0,0.0,0.0,0.0
205.0,0.0,0.0,0.0,0.0
205.5,0.0,0.0,0.0,0.0
206.0,0.0,0.0,0.0,0.0
206.5,0.0,0.0,0.0,0.0
207.0,0.0,0.0,0.0,0.0
207.5,0.0,1.416,0.0,0.0
208.0,0.0,1.314,0.0,0.0
208.5,0.0,1.243,0.0,0.0
209.0,0.0,1.198,0.0,0.0
209.5,0.0,1.164,0.0,0.0
210.0,0.0,1.129,0.0,0.0
210.5,0.0,1.086,0.0,0.0
211.0,0.0,1.036,0.0,0.0
211.5,0.0,0.989,0.0,0.0
212.0,0.0,0.952,0.0,0.0
212.5,0.0,0.925,0.0,0.0
213.0,0.0,0.902,0.0,0.0
213.5,0.0,0.878,0.0,0.0
214.0,0.0,0.853,0.0,0.0
214.5,0.0,0.828,0.0,0.0
215.0,0.0,0.804,0.0,0.0
215.5,0.0,0.78,0.0,0.0
216.0,0.0,0.758,0.0,0.0
216.5,0.0,0.737,0.0,0.0
217.0,1.881,0.717,0.0,0.0
217.5,1.812,0.696,0.0,0.0
218.0,1.748,0.676,0.0,0.0
218.5,1.689,0.657,0.0,0.0
219.0,1.636,0.639,1.45,0.0
219.5,1.588,0.622,1.4,1.36
220.0,1.543,0.605,1.351,1.316
220.5,1.5,0.59,1.307,1.276
221.0,1.458,0.575,1.269,1.24
221.5,1.417,0.56,1.234,1.204
222.0,1.377,0.546,1.2,1.169
222.5,1.341,0.532,1.167,1.136
223.0,1.307,0.519,1.135,1.105
223.5,1.276,0.507,1.106,1.077
224.0,1.246,0.495,1.079,1.051
224.5,1.217,0.484,1.053,1.026
225.0,1.189,0.474,1.03,1.002
225.5,1.163,0.464,1.008,0.979
226.0,1.14,0.455,0.988,0.959
226.5,1.119,0.447,0.97,0.94
227.0,1.099,0.438,0.952,0.923
227.5,1.081,0.43,0.936,0.907
228.0,1.063,0.423,0.92,0.891
228.5,1.046,0.416,0.905,0.877
229.0,1.03,0.409,0.891,0.863
229.5,1.014,0.403,0.877,0.849
230.0,0.999,0.396,0.864,0.836
230.5,0.984,0.391,0.85,0.823
231.0,0.969,0.385,0.837,0.81
231.5,0.955,0.379,0.825,0.798
232.0,0.941,0.373,0.812,0.785
232.5,0.928,0.368,0.8,0.773
233.0,0.914,0.363,0.788,0.762
233.5,0.902,0.357,0.777,0.751
234.0,0.889,0.352,0.766,0.74
234.5,0.877,0.347,0.755,0.73
235.0,0.865,0.343,0.745,0.72
235.5,0.854,0.338,0.735,0.71
236.0,0.843,0.334,0.726,0.701
236.5,0.832,0.33,0.717,0.693
237.0,0.822,0.326,0.708,0.685
237.5,0.813,0.322,0.7,0.677
238.0,0.804,0.319,0.693,0.669
238.5,0.796,0.315,0.686,0.662
239.0,0.789,0.312,0.679,0.655
239.5,0.782,0.31,0.672,0.649
240.0,0.775,0.307,0.666,0.643
240.5,0.769,0.305,0.66,0.639
241.0,0.763,0.302,0.655,0.634
241.5,0.757,0.3,0.651,0.63
242.0,0.752,0.299,0.647,0.626
242.5,0.748,0.297,0.643,0.622
243.0,0.744,0.295,0.64,0.619
243.5,0.741,0.293,0.636,0.616
244.0,0.738,0.292,0.634,0.614
