Batch	scan001
Instrument ID	084303
Data Mode	A
Sample	Sample001
Cycle	Cycle01
Date Collected	16/01/2025
Time Collected	02:55:44
Entries	Data Points
nm	A
200.0	XXX.XXX
200.5	XXX.XXX
201.0	XXX.XXX
201.5	XXX.XXX
202.0	XXX.XXX
202.5	XXX.XXX
203.0	XXX.XXX
203.5	XXX.XXX
204.0	XXX.XXX
204.5	XXX.XXX
205.0	XXX.XXX
205.5	XXX.XXX
206.0	XXX.XXX
206.5	XXX.XXX
207.0	XXX.XXX
207.5	XXX.XXX
208.0	XXX.XXX
208.5	XXX.XXX
209.0	XXX.XXX
209.5	XXX.XXX
210.0	XXX.XXX
210.5	XXX.XXX
211.0	XXX.XXX
211.5	XXX.XXX
212.0	XXX.XXX
212.5	XXX.XXX
213.0	XXX.XXX
213.5	XXX.XXX
214.0	XXX.XXX
214.5	XXX.XXX
215.0	XXX.XXX
215.5	XXX.XXX
216.0	XXX.XXX
216.5	XXX.XXX
217.0	1.881
217.5	1.812
218.0	1.748
218.5	1.689
219.0	1.636
219.5	1.588
220.0	1.543
220.5	1.500
221.0	1.458
221.5	1.417
222.0	1.377
222.5	1.341
223.0	1.307
223.5	1.276
224.0	1.246
224.5	1.217
225.0	1.189
225.5	1.163
226.0	1.140
226.5	1.119
227.0	1.099
227.5	1.081
228.0	1.063
228.5	1.046
229.0	1.030
229.5	1.014
230.0	0.999
230.5	0.984
231.0	0.969
231.5	0.955
232.0	0.941
232.5	0.928
233.0	0.914
233.5	0.902
234.0	0.889
234.5	0.877
235.0	0.865
235.5	0.854
236.0	0.843
236.5	0.832
237.0	0.822
237.5	0.813
238.0	0.804
238.5	0.796
239.0	0.789
239.5	0.782
240.0	0.775
240.5	0.769
241.0	0.763
241.5	0.757
242.0	0.752
242.5	0.748
243.0	0.744
243.5	0.741
244.0	0.738
244.5	0.735
245.0	0.733
245.5	0.731
246.0	0.729
246.5	0.728
247.0	0.728
247.5	0.728
248.0	0.728
248.5	0.728
249.0	0.728
249.5	0.730
250.0	0.731
250.5	0.733
251.0	0.734
251.5	0.736
252.0	0.737
252.5	0.738
253.0	0.739
253.5	0.741
254.0	0.744
254.5	0.747
255.0	0.750
255.5	0.754
256.0	0.757
256.5	0.762
257.0	0.766
257.5	0.770
258.0	0.774
258.5	0.778
259.0	0.782
259.5	0.786
260.0	0.790
260.5	0.795
261.0	0.800
261.5	0.806
262.0	0.813
262.5	0.819
263.0	0.826
263.5	0.833
264.0	0.840
264.5	0.845
265.0	0.850
265.5	0.855
266.0	0.858
266.5	0.861
267.0	0.864
267.5	0.867
268.0	0.871
268.5	0.875
269.0	0.880
269.5	0.885
270.0	0.889
270.5	0.892
271.0	0.894
271.5	0.896
272.0	0.897
272.5	0.898
273.0	0.898
273.5	0.897
274.0	0.897
274.5	0.896
275.0	0.894
275.5	0.892
276.0	0.891
276.5	0.888
277.0	0.885
277.5	0.881
278.0	0.877
278.5	0.873
279.0	0.868
279.5	0.863
280.0	0.858
280.5	0.852
281.0	0.846
281.5	0.839
282.0	0.832
282.5	0.824
283.0	0.816
283.5	0.807
284.0	0.798
284.5	0.789
285.0	0.779
285.5	0.770
286.0	0.760
286.5	0.751
287.0	0.741
287.5	0.730
288.0	0.719
288.5	0.709
289.0	0.699
289.5	0.689
290.0	0.680
290.5	0.671
291.0	0.662
291.5	0.653
292.0	0.645
292.5	0.637
293.0	0.630
293.5	0.623
294.0	0.616
294.5	0.610
295.0	0.605
295.5	0.599
296.0	0.593
296.5	0.589
297.0	0.584
297.5	0.580
298.0	0.576
298.5	0.573
299.0	0.570
299.5	0.567
300.0	0.564
300.5	0.561
301.0	0.558
301.5	0.555
302.0	0.553
302.5	0.552
303.0	0.550
303.5	0.548
304.0	0.546
304.5	0.543
305.0	0.541
305.5	0.540
306.0	0.539
306.5	0.539
307.0	0.538
307.5	0.537
308.0	0.536
308.5	0.535
309.0	0.534
309.5	0.534
310.0	0.534
310.5	0.533
311.0	0.533
311.5	0.534
312.0	0.534
312.5	0.534
313.0	0.534
313.5	0.535
314.0	0.535
314.5	0.535
315.0	0.535
315.5	0.534
316.0	0.534
316.5	0.533
317.0	0.534
317.5	0.534
318.0	0.534
318.5	0.533
319.0	0.532
319.5	0.529
320.0	0.528
320.5	0.527
321.0	0.526
321.5	0.526
322.0	0.526
322.5	0.524
323.0	0.522
323.5	0.520
324.0	0.517
324.5	0.515
325.0	0.513
325.5	0.511
326.0	0.509
326.5	0.507
327.0	0.504
327.5	0.501
328.0	0.498
328.5	0.494
329.0	0.490
329.5	0.485
330.0	0.481
330.5	0.477
331.0	0.473
331.5	0.469
332.0	0.465
332.5	0.461
333.0	0.456
333.5	0.451
334.0	0.445
334.5	0.441
335.0	0.435
335.5	0.430
336.0	0.423
336.5	0.417
337.0	0.412
337.5	0.407
338.0	0.402
338.5	0.397
339.0	0.392
339.5	0.388
340.0	0.384
340.5	0.377
341.0	0.367
341.5	0.354
342.0	0.343
342.5	0.337
343.0	0.334
343.5	0.334
344.0	0.333
344.5	0.329
345.0	0.321
345.5	0.312
346.0	0.305
346.5	0.302
347.0	0.299
347.5	0.294
348.0	0.289
348.5	0.284
349.0	0.280
349.5	0.274
350.0	0.265
350.5	0.256
351.0	0.249
351.5	0.246
352.0	0.243
352.5	0.239
353.0	0.235
353.5	0.230
354.0	0.227
354.5	0.222
355.0	0.215
355.5	0.208
356.0	0.203
356.5	0.199
357.0	0.197
357.5	0.196
358.0	0.194
358.5	0.191
359.0	0.185
359.5	0.179
360.0	0.171
360.5	0.164
361.0	0.160
361.5	0.161
362.0	0.165
362.5	0.167
363.0	0.166
363.5	0.160
364.0	0.154
364.5	0.149
365.0	0.147
365.5	0.147
366.0	0.145
366.5	0.142
367.0	0.137
