Batch	scan002
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	17/01/2025
Time Collected	01:36:36
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	75.654
395.0	75.661
396.0	76.301
397.0	76.991
398.0	76.758
399.0	77.756
400.0	79.461
401.0	78.852
402.0	76.472
403.0	74.194
404.0	74.557
405.0	77.812
406.0	78.057
407.0	74.673
408.0	74.606
409.0	76.539
410.0	75.406
411.0	74.587
412.0	75.602
413.0	75.339
414.0	74.051
415.0	73.767
416.0	74.832
417.0	74.663
418.0	73.044
419.0	72.718
420.0	73.041
421.0	73.163
422.0	73.999
423.0	73.821
424.0	71.044
425.0	69.890
426.0	72.725
427.0	74.570
428.0	74.129
429.0	74.517
430.0	73.710
431.0	70.983
432.0	71.354
433.0	74.120
434.0	74.993
435.0	74.742
436.0	73.975
437.0	72.816
438.0	73.060
439.0	74.171
440.0	74.536
441.0	73.784
442.0	72.451
443.0	72.218
444.0	73.557
445.0	74.669
446.0	74.670
447.0	74.563
448.0	75.030
449.0	75.394
450.0	74.670
451.0	73.810
452.0	74.973
453.0	76.798
454.0	76.297
455.0	74.548
456.0	73.816
457.0	73.977
458.0	74.410
459.0	75.069
460.0	75.946
461.0	76.760
462.0	77.283
463.0	77.575
464.0	77.232
465.0	76.376
466.0	76.415
467.0	77.331
468.0	77.692
469.0	77.534
470.0	77.601
471.0	78.150
472.0	79.187
473.0	79.483
474.0	78.420
475.0	77.791
476.0	78.392
477.0	78.740
478.0	78.278
479.0	78.193
480.0	78.900
481.0	79.491
482.0	79.442
483.0	79.414
484.0	79.610
485.0	79.397
486.0	79.155
487.0	79.434
488.0	80.374
489.0	81.330
490.0	81.244
491.0	80.886
492.0	81.136
493.0	81.303
494.0	81.087
495.0	80.998
496.0	81.128
497.0	81.293
498.0	81.682
499.0	82.352
500.0	82.470
501.0	82.054
502.0	82.375
503.0	82.995
504.0	82.897
505.0	82.817
506.0	83.132
507.0	83.131
508.0	82.944
509.0	83.041
510.0	83.063
511.0	82.977
512.0	83.268
513.0	83.665
514.0	83.616
515.0	83.637
516.0	84.081
517.0	84.145
518.0	83.932
519.0	84.009
520.0	83.922
521.0	83.990
522.0	84.542
523.0	84.595
524.0	84.160
525.0	84.251
526.0	84.820
527.0	85.048
528.0	84.848
529.0	84.937
530.0	85.155
531.0	84.960
532.0	84.890
533.0	85.236
534.0	85.573
535.0	85.593
536.0	85.612
