Batch	scan002
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	18/02/2025
Time Collected	10:35:29
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	54.249
395.0	55.521
396.0	57.036
397.0	56.346
398.0	55.012
399.0	56.318
400.0	59.245
401.0	60.803
402.0	60.623
403.0	60.037
404.0	59.352
405.0	59.633
406.0	60.631
407.0	60.456
408.0	61.371
409.0	63.364
410.0	62.591
411.0	61.556
412.0	62.772
413.0	63.006
414.0	62.402
415.0	63.729
416.0	65.485
417.0	65.013
418.0	63.951
419.0	65.659
420.0	68.492
421.0	68.709
422.0	67.493
423.0	67.259
424.0	67.443
425.0	67.380
426.0	67.598
427.0	68.356
428.0	68.890
429.0	68.669
430.0	68.807
431.0	69.593
432.0	69.973
433.0	70.495
434.0	71.146
435.0	70.658
436.0	70.586
437.0	72.733
438.0	73.945
439.0	71.643
440.0	70.276
441.0	72.419
442.0	73.929
443.0	73.456
444.0	73.209
445.0	73.934
446.0	74.868
447.0	75.129
448.0	75.073
449.0	75.199
450.0	75.671
451.0	75.560
452.0	74.274
453.0	73.935
454.0	75.119
455.0	75.906
456.0	75.920
457.0	76.379
458.0	77.108
459.0	77.111
460.0	77.353
461.0	77.979
462.0	77.351
463.0	76.481
464.0	77.788
465.0	79.681
466.0	79.575
467.0	78.903
468.0	79.030
469.0	79.198
470.0	79.340
471.0	80.033
472.0	80.747
473.0	80.612
474.0	80.402
475.0	80.932
476.0	81.302
477.0	80.945
478.0	80.902
479.0	81.347
480.0	81.525
481.0	81.495
482.0	81.153
483.0	81.090
484.0	81.979
485.0	82.601
486.0	82.620
487.0	82.723
488.0	82.888
489.0	83.260
490.0	83.520
491.0	83.757
492.0	84.183
493.0	84.075
494.0	83.868
495.0	83.708
496.0	83.370
497.0	83.726
498.0	84.273
499.0	84.557
500.0	84.964
501.0	84.955
502.0	84.971
503.0	85.423
504.0	85.535
505.0	85.586
506.0	85.729
507.0	85.530
508.0	85.558
509.0	85.735
510.0	85.622
511.0	85.942
512.0	86.335
513.0	85.964
514.0	85.975
515.0	86.601
516.0	86.434
517.0	86.087
518.0	86.591
519.0	87.024
520.0	86.961
521.0	86.995
522.0	86.896
523.0	86.775
524.0	87.392
525.0	88.020
526.0	88.166
527.0	88.047
528.0	87.485
529.0	87.571
530.0	88.516
531.0	88.641
532.0	88.077
533.0	87.912
534.0	87.784
535.0	87.776
536.0	88.440
