Batch	scan009
Instrument ID	084303
Data Mode	%T
Sample	Sample001
Cycle	Cycle01
Date Collected	14/02/2025
Time Collected	01:07:33
Entries	Data Points
nm	%T
390.0	XXX.XXX
391.0	XXX.XXX
392.0	XXX.XXX
393.0	XXX.XXX
394.0	31.186
395.0	32.795
396.0	34.787
397.0	34.369
398.0	33.189
399.0	33.786
400.0	35.176
401.0	36.205
402.0	36.980
403.0	37.844
404.0	39.060
405.0	40.285
406.0	41.220
407.0	41.647
408.0	40.748
409.0	40.058
410.0	41.449
411.0	42.606
412.0	42.692
413.0	43.537
414.0	45.015
415.0	45.933
416.0	45.376
417.0	44.337
418.0	45.488
419.0	48.369
420.0	49.473
421.0	48.577
422.0	48.293
423.0	49.464
424.0	50.642
425.0	50.563
426.0	50.049
427.0	49.660
428.0	50.070
429.0	51.886
430.0	53.512
431.0	54.290
432.0	54.385
433.0	53.756
434.0	53.371
435.0	53.596
436.0	54.059
437.0	54.647
438.0	55.507
439.0	55.832
440.0	54.930
441.0	54.506
442.0	56.010
443.0	58.210
444.0	58.869
445.0	57.830
446.0	57.164
447.0	57.585
448.0	57.928
449.0	57.944
450.0	58.474
451.0	59.754
452.0	60.643
453.0	60.306
454.0	60.092
455.0	61.238
456.0	62.679
457.0	63.083
458.0	62.829
459.0	62.867
460.0	63.250
461.0	63.102
462.0	62.488
463.0	62.894
464.0	64.288
465.0	65.478
466.0	66.052
467.0	66.015
468.0	65.843
469.0	65.999
470.0	66.254
471.0	66.603
472.0	67.229
473.0	67.388
474.0	67.212
475.0	67.748
476.0	68.058
477.0	67.687
478.0	68.061
479.0	68.604
480.0	68.172
481.0	68.047
482.0	68.897
483.0	69.864
484.0	70.520
485.0	70.791
486.0	71.213
487.0	71.748
488.0	71.538
489.0	71.446
490.0	72.201
491.0	72.575
492.0	72.337
493.0	72.352
494.0	72.807
495.0	73.395
496.0	73.719
497.0	73.971
498.0	74.183
499.0	73.798
500.0	73.607
501.0	74.506
502.0	75.142
503.0	74.656
504.0	74.310
505.0	74.589
506.0	74.721
507.0	74.982
508.0	75.933
509.0	76.689
510.0	76.513
511.0	76.129
512.0	76.440
513.0	76.866
514.0	76.674
515.0	76.698
516.0	77.095
517.0	77.278
518.0	77.485
519.0	77.593
520.0	77.494
521.0	77.637
522.0	77.959
523.0	78.136
524.0	78.298
525.0	78.682
526.0	79.043
527.0	79.145
528.0	79.324
529.0	79.559
530.0	79.682
531.0	79.981
532.0	80.221
533.0	80.128
534.0	80.034
535.0	80.197
536.0	80.609
